N	2gram	Tiupa_Hudo_1	Psycholo
1	и в	19	38
2	то что	4	35
3	в том	18	25
4	в самом	5	25
5	что в	6	20
6	может быть	14	19
7	и что	3	18
8	что она	2	16
9	точки зрения	10	16
10	то есть	18	15
11	если бы	3	14
12	том что	8	14
13	как бы	9	14
14	потому что	3	14
15	в этой	2	13
16	в этом	11	13
17	не только	16	12
18	таким образом	3	12
19	не в	7	12
20	что он	3	11
21	то же	10	10
22	и не	15	10
23	с точки	3	9
24	того чтобы	2	9
25	в одном	2	8
26	вовсе не	2	8
27	как и	2	8
28	и как	3	8
29	говорит что	2	8
30	как раз	3	8
31	из этого	2	8
32	для того	2	8
33	и то	4	8
34	и это	2	8
35	с другой	7	7
36	в ее	5	7
37	а не	9	7
38	не может	7	7
39	может служить	2	7
40	а в	12	7
41	заключается в	2	7
42	между тем	4	7
43	к тому	4	6
44	один из	2	6
45	тому что	2	6
46	он не	4	6
47	с одной	2	6
48	если мы	2	6
49	как это	5	6
50	и его	12	6
51	и на	2	6
52	о том	2	6
53	я не	2	5
54	в своем	2	5
55	в какой	2	5
56	одной стороны	2	5
57	иначе говоря	4	5
58	в своей	5	5
59	но и	10	5
60	другой стороны	5	5
61	в той	3	5
62	или в	2	5
63	в другом	3	5
64	в его	9	5
65	в которой	2	5
66	никогда не	2	4
67	в свою	3	4
68	по своему	2	4
69	при этом	13	4
70	и для	2	4
71	во всех	3	4
72	в самой	2	4
73	в нем	5	4
74	что и	2	4
75	ее в	2	4
76	в целом	3	4
77	как в	2	4
78	все эти	2	4
79	того что	4	4
80	сказать что	4	4
81	только в	5	4
82	одна из	2	4
83	в себе	9	4
84	на деле	3	4
85	в виду	5	4
86	место в	4	3
87	в них	2	3
88	из этих	3	3
89	и к	3	3
90	ни в	5	3
91	того же	2	3
92	одно и	3	3
93	и о	3	3
94	в основе	4	3
95	все это	2	3
96	всякий раз	2	3
97	и тем	2	3
98	состоит в	16	3
99	далеко не	2	3
100	в то	6	3
101	могла бы	2	3
102	его в	2	3
103	здесь не	2	3
104	но в	7	3
105	в данном	4	2
106	и более	2	2
107	на время	2	2
108	и другие	2	2
109	была бы	3	2
110	в этих	3	2
111	отнюдь не	2	2
112	между собой	2	2
113	и одновременно	5	2
114	в глаза	2	2
115	и ее	3	2
116	уже не	4	2
117	своей жизни	2	2
118	наших глазах	2	2
119	есть в	2	2
120	свою очередь	2	2
121	на наших	2	2
122	для него	4	2
123	от своего	2	2
124	со своей	3	2
125	образом и	2	2
126	например в	3	2
127	и который	2	2
128	но он	3	2
129	по преимуществу	2	2
130	совпадает с	2	2
131	с ее	5	2
132	дело не	2	2
133	со стороны	2	2
134	видим в	2	2
135	имеет место	2	2
136	вытекает из	2	2
137	так же	2	2
138	отношения к	2	2
139	а с	2	2
140	для читателя	2	2
141	и больше	2	2
142	и по	2	2
143	либо в	2	2
144	в качестве	24	2
145	их в	3	2
146	автора и	3	2
147	одно из	2	2
148	все прочие	3	2
149	к его	2	2
150	как к	2	2
151	представляет собой	10	2
152	но как	2	2
153	этого слова	2	2
154	в русской	3	2
155	с ним	2	2
156	том и	2	2
