N	3gram	Vygotskiy__2	Myshleni
1	в том что	17	21
2	с точки зрения	10	18
3	для того чтобы	13	10
4	заключается в том	10	7
5	на то что	6	6
6	во всяком случае	2	6
7	не может быть	8	6
8	по сравнению с	2	5
9	на этот вопрос	2	5
10	можно было бы	4	5
11	в самом деле	11	4
12	о том что	4	4
13	в конечном счете	3	4
14	в том чтобы	3	4
15	в данном случае	4	3
16	с таким образом	8	3
17	в этом отношении	5	3
18	состоит в том	2	3
19	же самое что	2	2
20	том что в	2	2
21	то же самое	6	2
22	что он не	2	2
23	само по себе	3	2
24	точки зрения социальной	2	2
25	и в самом	4	2
26	на самом деле	5	2
27	подобно тому как	2	2
