N	2gram	Tiupa_Anal_3	Myshleni
1	в этом	14	29
2	точки зрения	3	28
3	и в	18	26
4	не только	22	24
5	то что	2	24
6	таким образом	4	23
7	с точки	2	21
8	представляет собой	5	19
9	в том	9	18
10	и не	12	18
11	том что	12	17
12	как и	14	15
13	что в	9	12
14	вместе с	2	12
15	и его	13	12
16	но и	13	11
17	только не	3	11
18	в слове	5	11
19	не может	2	11
20	что они	3	10
21	по своей	2	10
22	по своему	2	9
23	в самом	5	9
24	что мы	2	9
25	в сущности	5	9
26	тем что	2	9
27	в себе	2	9
28	то же	3	8
29	что она	2	8
30	сказать что	2	8
31	что он	4	8
32	тем самым	4	8
33	той же	5	8
34	только в	2	8
35	к тому	6	7
36	прежде всего	5	7
37	может быть	9	7
38	и к	4	7
39	мы не	3	7
40	по отношению	7	6
41	именно в	3	6
42	как бы	10	6
43	в ее	3	6
44	было бы	3	6
45	во всех	2	6
46	все эти	2	6
47	все же	4	6
48	самом деле	2	6
49	а не	9	6
50	можно сказать	4	5
51	одной стороны	2	5
52	в целом	3	5
53	во второй	7	5
54	данном случае	3	5
55	с одной	2	5
56	в начале	6	5
57	могли бы	2	5
58	как это	3	5
59	с тем	2	5
60	в качестве	12	5
61	отношению к	7	5
62	как говорит	3	5
63	и для	2	5
64	в данном	4	5
65	не менее	4	4
66	никогда не	5	4
67	с другой	7	4
68	и от	2	4
69	в конце	5	4
70	если в	3	4
71	в момент	2	4
72	в его	7	4
73	о том	6	4
74	но в	2	4
75	о чем	4	4
76	еще не	6	4
77	гораздо более	2	4
78	не есть	4	4
79	как в	3	4
80	приводит к	4	4
81	это и	2	4
82	в той	2	4
83	не в	6	4
84	едва ли	3	4
85	представляется нам	2	3
86	все это	3	3
87	это не	2	3
88	из этих	3	3
89	тем не	2	3
90	очевидно что	2	3
91	для него	6	3
92	в ней	2	3
93	не является	5	3
94	в первой	8	3
95	как к	2	3
96	этом отношении	3	3
97	во втором	4	3
98	и по	2	3
99	он не	6	3
100	нуждается в	2	3
101	в первом	2	3
102	состоит в	4	3
103	были бы	3	3
104	по себе	4	3
105	есть не	2	3
106	об этом	2	3
107	о его	2	3
108	во всем	3	3
109	в то	3	3
110	но не	7	3
111	и потому	2	3
112	этого слова	2	3
113	что и	5	3
114	так и	14	3
115	как раз	7	3
116	мы можем	2	3
117	в этой	6	3
118	перед нами	4	2
119	уже в	3	2
120	столь же	4	2
121	входит в	2	2
122	ли не	4	2
123	свою очередь	4	2
124	в большинстве	2	2
125	в свою	5	2
126	на его	2	2
127	несмотря на	2	2
128	не мог	2	2
129	и той	2	2
130	в конечном	2	2
131	один из	2	2
132	в нем	2	2
133	с ее	3	2
134	в их	6	2
135	отношения к	2	2
136	лишь в	5	2
137	а в	10	2
138	мере в	2	2
139	но всегда	2	2
140	его в	3	2
141	что по	4	2
142	конечном счете	2	2
143	с этим	3	2
144	к этому	3	2
145	в случае	5	2
146	и здесь	2	2
147	то в	2	2
148	со всеми	2	2
149	о своем	2	2
150	совершенно не	2	2
151	только к	2	2
152	даже в	2	2
153	о которых	2	2
154	внимание на	4	2
155	в отличие	2	2
156	но с	2	2
157	одной и	2	2
158	что не	3	2
159	и он	2	2
160	во всяком	2	2
161	могут быть	2	2
162	и ее	2	2
163	не могла	2	2
164	вопроса о	2	2
165	ответ на	3	2
166	отличие от	2	2
167	ничего не	3	2
