N	2gram	Bakhtin_Pr_1	FransuaR
1	и в	38	65
2	то есть	46	45
3	и др	8	24
4	как бы	22	22
5	и не	42	22
6	вовсе не	2	18
7	в том	8	16
8	в этом	15	15
9	но в	4	14
10	в нем	15	13
11	прежде всего	13	11
12	и на	3	11
13	и его	16	10
14	и потому	4	10
15	не только	9	10
16	но и	9	10
17	так и	5	10
18	все эти	5	10
19	в его	43	9
20	во всех	11	9
21	все это	3	9
22	форм и	2	9
23	в своем	5	8
24	в основе	5	8
25	в дальнейшем	3	8
26	здесь в	2	8
27	и другие	2	8
28	и даже	3	8
29	за пределы	12	8
30	культуры и	3	8
31	формы и	5	7
32	его в	9	7
33	в области	11	7
34	точки зрения	8	7
35	только в	13	7
36	никогда не	5	6
37	не знает	3	6
38	том что	3	6
39	все же	6	6
40	как мы	7	6
41	в значительной	2	6
42	еще не	7	6
43	при этом	5	6
44	может быть	26	6
45	в ней	4	6
46	искусства и	3	6
47	на самом	4	6
48	и у	2	6
49	сказать что	4	6
50	с его	2	5
51	в частности	2	5
52	в них	5	5
53	отличие от	5	5
54	или иной	2	5
55	рядом с	5	5
56	и пр	2	5
57	в своей	7	5
58	той или	2	5
59	связь с	3	5
60	как в	4	5
61	как и	7	5
62	на мир	2	5
63	в своих	2	5
64	между тем	7	5
65	и все	3	5
66	связи с	2	4
67	и к	3	4
68	не в	7	4
69	и оценки	2	4
70	можно только	6	4
71	отношение к	10	4
72	совершенно не	7	4
73	в самом	7	4
74	и искусства	2	4
75	этих явлений	2	4
76	в их	10	4
77	в отличие	5	4
78	между ними	4	4
79	входит в	8	4
80	не могут	2	3
81	мы будем	3	3
82	что в	7	3
83	перестает быть	4	3
84	характерно для	2	3
85	не является	3	3
86	это не	5	3
87	и во	2	3
88	на фоне	3	3
89	в тех	3	3
90	что он	2	3
91	в ее	4	3
92	но это	3	3
93	в самой	2	3
94	связаны с	2	3
95	самом деле	6	3
96	и эта	2	3
97	к нему	10	3
98	с точки	6	3
99	то что	8	3
100	от всех	4	3
101	и тела	2	3
102	и прежде	5	3
103	не может	27	3
104	мир в	2	3
105	в известной	3	3
106	этом отношении	2	3
107	и других	2	3
108	в себя	2	3
109	в форме	4	3
110	можно говорить	2	3
111	применении к	3	3
112	менее всего	3	3
113	с другой	7	3
114	в применении	3	3
115	в других	4	3
116	конечно и	4	3
117	в более	4	3
118	в себе	4	3
119	в искусстве	12	3
120	и вообще	2	3
121	далеко не	5	3
122	но как	2	3
123	и здесь	2	3
124	с ним	5	3
125	ничего не	6	3
126	и с	17	3
127	в виду	4	3
128	с миром	4	3
129	как чисто	2	2
130	ни к	2	2
131	но не	12	2
132	поэтому в	2	2
133	и от	3	2
134	всех его	4	2
135	раз и	2	2
136	ни с	2	2
137	можно сказать	2	2
138	начало и	3	2
139	да и	3	2
140	узком смысле	2	2
141	в романе	4	2
142	основе своей	3	2
143	более того	4	2
144	от чисто	2	2
145	др в	2	2
146	от него	3	2
147	кроме того	3	2
148	одной стороны	3	2
149	и он	2	2
150	несмотря на	3	2
151	например в	3	2
152	хотя и	3	2
153	он не	3	2
154	не вполне	2	2
155	в таких	2	2
156	форме и	2	2
157	нет и	3	2
158	и для	11	2
159	в целом	3	2
160	не к	6	2
161	в большинстве	5	2
162	и именно	2	2
163	в некоторых	2	2
164	на него	3	2
165	приводит к	3	2
166	на границах	5	2
167	отношения к	6	2
168	особенно в	2	2
169	с одной	3	2
170	на них	3	2
171	и этим	6	2
172	не входит	10	2
173	мы здесь	4	2
174	того что	2	2
175	что не	4	2
176	и наконец	6	2
177	есть только	2	2
178	отметить что	7	2
179	в таком	3	2
180	или в	2	2
181	к себе	2	2
182	а иногда	2	2
183	в этих	2	2
184	быть только	5	2
185	но с	3	2
186	могут быть	5	2
187	во всем	2	2
188	о том	4	2
189	и это	3	2
190	дело в	2	2
191	в особенности	2	2
192	большинстве случаев	5	2
193	в чем	2	2
