N	2gram	Nazirov_Tv_2	FransuaR
1	и в	20	45
2	то есть	5	25
3	и не	9	15
4	не только	13	14
5	в этом	8	14
6	но в	4	14
7	в его	10	13
8	и его	9	13
9	как бы	11	12
10	что в	7	12
11	в романе	15	11
12	то же	7	11
13	в то	10	11
14	прежде всего	8	10
15	в том	8	10
16	в нем	3	10
17	но и	8	10
18	как и	6	10
19	и с	8	10
20	же время	7	9
21	вовсе не	2	8
22	и др	3	8
23	таким образом	10	8
24	так же	5	8
25	в конце	6	7
26	том что	4	7
27	не в	4	7
28	все это	6	7
29	потому что	7	7
30	что он	6	6
31	в этой	5	6
32	он не	3	6
33	так и	6	6
34	так как	3	6
35	с ним	3	5
36	одной из	3	5
37	мы видим	4	5
38	но это	5	5
39	например в	5	5
40	одним из	3	5
41	хотя и	4	5
42	не может	7	5
43	все эти	4	5
44	самом деле	2	5
45	и у	2	5
46	и на	5	5
47	его в	3	5
48	же как	3	4
49	об этом	4	4
50	и от	4	4
51	мы не	4	4
52	у него	6	4
53	тому же	2	4
54	такой же	2	4
55	но не	5	4
56	ничего не	4	4
57	своего рода	3	4
58	в самом	3	4
59	первой части	4	4
60	в первой	2	4
61	в их	3	4
62	а не	6	4
63	и даже	5	4
64	а в	4	4
65	в основе	2	4
66	только в	2	4
67	о том	5	4
68	и это	3	4
69	не менее	2	3
70	как в	4	3
71	это не	7	3
72	в одной	3	3
73	в одном	2	3
74	что на	2	3
75	для него	3	3
76	в своей	6	3
77	до сих	3	3
78	вместе с	3	3
79	сих пор	3	3
80	что она	4	3
81	связь с	2	3
82	не было	2	3
83	именно в	6	3
84	в году	16	3
85	на этот	2	3
86	и он	2	3
87	в которых	3	3
88	только для	2	2
89	и есть	2	2
90	тут же	2	2
91	и без	2	2
92	жизни в	3	2
93	говорить о	2	2
94	точку зрения	2	2
95	превращается в	3	2
96	в духе	4	2
97	к этому	3	2
98	человеческой культуры	2	2
99	отличие от	2	2
100	в начале	3	2
101	то что	3	2
102	права на	2	2
103	так например	3	2
104	известной мере	2	2
105	у нее	3	2
106	и если	2	2
107	может быть	8	2
108	том же	2	2
109	в этот	2	2
110	нет и	2	2
111	один из	3	2
112	все же	5	2
113	и отчасти	3	2
114	в целом	6	2
115	когда он	4	2
116	на него	2	2
117	в ту	2	2
118	в свете	3	2
119	так в	2	2
120	в отличие	2	2
121	и только	2	2
122	начиная с	2	2
123	при этом	8	2
124	но эта	2	2
125	в истории	2	2
126	всякого рода	2	2
127	и что	2	2
128	и наконец	2	2
129	рядом с	2	2
130	роль в	2	2
131	первая часть	4	2
132	не столько	2	2
133	между тем	3	2
134	в известной	4	2
135	и вообще	2	2
136	в чем	4	2
