N	2gram	Voloshinov_1	UchenyiS
1	и в	16	14
2	не только	7	10
3	и не	4	8
4	прежде всего	9	8
5	то что	3	7
6	в этом	9	7
7	не может	8	7
8	может быть	17	6
9	хотя бы	4	5
10	художественного творчества	4	5
11	все это	4	5
12	и только	9	5
13	то же	2	5
14	но и	4	4
15	в этой	4	4
16	конечном счете	2	4
17	конечно не	6	4
18	что такое	5	4
19	в конечном	3	4
20	но в	4	3
21	как и	2	3
22	в своей	2	3
23	в частности	2	3
24	для этого	2	3
25	для него	6	3
26	было бы	2	3
27	в области	3	3
28	ни было	2	3
29	том что	3	2
30	в том	3	2
31	мы не	2	2
32	с его	7	2
33	не есть	2	2
34	крайней мере	3	2
35	и для	2	2
36	но это	2	2
37	этом смысле	3	2
38	только в	4	2
39	и с	8	2
40	сих пор	3	2
41	могут быть	3	2
42	что он	2	2
43	до сих	3	2
44	что мы	2	2
45	т.е в	2	2
46	и через	2	2
47	в самом	2	2
48	в итоге	2	2
49	не могут	2	2
50	сводится к	2	2
51	самом деле	6	2
52	для всех	4	2
53	по крайней	3	2
54	что и	2	2
55	в его	4	2
56	на первый	2	2
57	таким образом	9	2
