N	2gram	Propp_Isto_5	Analitik
1	не только	13	22
2	и в	25	18
3	как и	7	14
4	в этом	10	14
5	но и	13	13
6	и его	9	13
7	в частности	7	12
8	том что	8	12
9	в качестве	7	12
10	и не	11	12
11	а в	3	10
12	как бы	2	10
13	может быть	17	9
14	со стороны	2	9
15	что в	8	9
16	а не	2	9
17	в том	6	9
18	с другой	9	7
19	но не	5	7
20	в его	12	7
21	в русской	3	7
22	отношению к	2	7
23	по отношению	2	7
24	не в	6	6
25	еще не	8	6
26	в этой	3	6
27	он не	4	6
28	о том	7	6
29	никогда не	3	5
30	прежде всего	6	5
31	в свою	3	5
32	того же	2	5
33	что и	6	5
34	другой стороны	8	5
35	уже не	11	5
36	мы имеем	14	5
37	представляет собой	7	5
38	не менее	4	4
39	перед нами	2	4
40	о чем	2	4
41	по себе	2	4
42	что он	22	4
43	можно сказать	2	4
44	и как	3	4
45	себя в	6	4
46	в пределах	4	4
47	и сам	2	4
48	все же	10	4
49	таким образом	9	4
50	и на	8	4
51	в данном	3	4
52	героя и	3	4
53	уже в	2	3
54	к этому	2	3
55	не всегда	4	3
56	в ее	4	3
57	во сне	2	3
58	если в	3	3
59	в целом	3	3
60	данном случае	2	3
61	как в	6	3
62	все это	4	3
63	так в	2	3
64	то же	4	3
65	его не	3	3
66	роль в	2	3
67	мы не	5	3
68	ничего не	2	3
69	с этим	5	3
70	точки зрения	2	3
71	во всем	2	3
72	в то	3	3
73	его в	9	3
74	в особенности	3	3
75	могут быть	6	2
76	все эти	8	2
77	это не	6	2
78	не как	4	2
79	в нем	7	2
80	несмотря на	2	2
81	о которых	2	2
82	тем не	4	2
83	же в	2	2
84	говорит о	2	2
85	в дальнейшем	4	2
86	с появлением	5	2
87	то в	2	2
88	одна из	2	2
89	с тем	8	2
90	очевидно что	2	2
91	одной стороны	7	2
92	совершенно не	2	2
93	например в	5	2
94	в ней	5	2
95	об этом	2	2
96	и потому	2	2
97	даже в	2	2
98	один из	2	2
99	то что	7	2
100	когда он	2	2
101	во всех	2	2
102	вместе с	22	2
103	связь с	8	2
104	в форме	3	2
105	не может	6	2
106	входит в	5	2
107	с одной	7	2
108	в себя	3	2
109	самом деле	2	2
110	и он	6	2
111	и по	2	2
112	и для	2	2
113	в иной	7	2
114	сказать что	2	2
115	обратим внимание	2	2
116	мы можем	2	2
117	тем что	10	2
118	на себя	3	2
119	и здесь	7	2
120	что мы	2	2
121	только в	7	2
122	и все	3	2
123	в свое	2	2
124	там где	6	2
