N	2gram	Tiupa_Hudo_1	Formalny
1	и в	19	38
2	в этом	11	27
3	может быть	14	23
4	и его	12	21
5	таким образом	3	20
6	и не	15	20
7	в самом	5	16
8	прежде всего	4	15
9	не в	7	15
10	не может	7	14
11	в нем	5	13
12	но и	10	13
13	в пределах	3	12
14	с его	6	11
15	в том	18	11
16	вовсе не	2	11
17	в его	9	10
18	с другими	4	10
19	как и	2	9
20	при этом	13	9
21	не только	16	9
22	на почве	3	9
23	языка в	4	9
24	отнюдь не	2	8
25	что и	2	8
26	так и	11	8
27	точки зрения	10	8
28	что в	6	7
29	по себе	2	7
30	для него	4	7
31	во втором	4	7
32	слова и	2	7
33	в своей	5	7
34	лишь в	4	7
35	уже не	4	7
36	с точки	3	7
37	художественного произведения	3	6
38	истории литературы	2	6
39	то что	4	6
40	для понимания	2	6
41	и ее	3	6
42	в этой	2	6
43	в их	5	6
44	то же	10	6
45	все эти	2	6
46	а не	9	6
47	как раз	3	6
48	могут быть	4	6
49	он не	4	6
50	только в	5	6
51	а в	12	6
52	если бы	3	5
53	или иного	3	5
54	что он	3	5
55	именно в	2	5
56	говорит в	2	5
57	же время	5	5
58	в слове	3	5
59	по преимуществу	2	5
60	во всех	3	5
61	если мы	2	5
62	и для	2	5
63	сводится к	7	5
64	в основе	4	5
65	говорить о	3	5
66	в то	6	5
67	не столько	3	4
68	не как	2	4
69	к тому	4	4
70	в сторону	2	4
71	того или	3	4
72	известной степени	3	4
73	как бы	9	4
74	и к	3	4
75	как в	2	4
76	другой стороны	5	4
77	входит в	4	4
78	не следует	4	4
79	здесь не	2	4
80	но в	7	4
81	место в	4	3
82	была бы	3	3
83	к действительности	3	3
84	и др	2	3
85	в какой	2	3
86	с другой	7	3
87	из этих	3	3
88	и как	3	3
89	о литературе	3	3
90	например в	3	3
91	не является	4	3
92	в целом	3	3
93	литературного произведения	10	3
94	быть и	2	3
95	все это	2	3
96	так в	4	3
97	до известной	2	3
98	к нему	3	3
99	того что	4	3
100	того чтобы	2	3
101	для того	2	3
102	не входит	2	3
103	или в	2	3
104	и на	2	3
105	речи и	3	3
106	хотя и	3	3
107	как к	2	3
108	слова в	2	3
109	его в	2	3
110	в области	6	3
111	времени и	2	2
112	между двумя	2	2
113	и более	2	2
114	и другие	2	2
115	никогда не	2	2
116	состоит в	16	2
117	в этих	3	2
118	в качестве	24	2
119	тому что	2	2
120	или даже	3	2
121	это не	2	2
122	произведение искусства	8	2
123	этих двух	2	2
124	между ними	4	2
125	а только	4	2
126	в ее	5	2
127	было и	2	2
128	том что	8	2
129	то в	2	2
130	но не	11	2
131	но как	2	2
132	со своей	3	2
133	и о	3	2
134	без исключения	4	2
135	совпадает с	2	2
136	значения и	2	2
137	слова как	5	2
138	даже в	3	2
139	один из	2	2
140	и тем	2	2
141	этом смысле	3	2
142	не будет	2	2
143	отношение к	5	2
144	ни в	5	2
145	ее в	2	2
146	со стороны	2	2
147	а именно	2	2
148	приводит к	5	2
149	во всей	3	2
150	превращается в	2	2
151	в той	3	2
152	этого термина	2	2
153	его организации	2	2
154	тем самым	4	2
155	и по	2	2
156	отличие от	7	2
157	и то	4	2
158	их в	3	2
159	сказать что	4	2
160	между тем	4	2
161	в отличие	7	2
162	литературных произведений	3	2
163	совершенно иной	2	2
164	к его	2	2
165	в искусстве	7	2
166	произведения искусства	4	2
167	и это	2	2
168	в художественном	4	2
169	из этого	2	2
170	в чем	2	2
171	потому что	3	2
172	как это	5	2
173	в которой	2	2
174	с ним	2	2
175	в виду	5	2
176	произведения как	3	2
