N	2gram	Ircho_Kome_2	PoTuStor
1	может быть	11	17
2	и в	26	16
3	прежде всего	4	9
4	таким образом	6	9
5	в этом	10	9
6	мы можем	3	9
7	и его	12	8
8	и с	5	8
9	точки зрения	4	8
10	не может	3	8
11	с его	5	7
12	не только	7	7
13	и это	2	6
14	и к	2	6
15	отношение к	2	5
16	ни в	5	5
17	еще не	6	5
18	как бы	2	5
19	с самого	2	4
20	в нем	6	4
21	и их	3	4
22	отнюдь не	2	4
23	но и	10	4
24	так и	12	4
25	все это	3	4
26	хотя бы	2	4
27	и все	2	4
28	так как	4	4
29	и не	14	4
30	как мы	4	4
31	и ее	2	4
32	с ними	2	4
33	и на	7	4
34	в этой	3	4
35	только в	4	4
36	в один	2	4
37	его в	4	4
38	для всех	3	4
39	но в	3	4
40	в его	4	4
41	во время	6	3
42	мы знаем	3	3
43	в этих	4	3
44	что в	9	3
45	жизни и	3	3
46	и есть	2	3
47	во всех	3	3
48	вместе с	9	3
49	сих пор	2	3
50	даже не	3	3
51	в одном	2	3
52	этом смысле	2	3
53	в том	11	3
54	а в	3	3
55	том что	9	3
56	с их	4	3
57	то что	6	3
58	на этом	2	3
59	тех же	3	3
60	едва ли	14	3
61	как это	4	3
62	во всяком	2	3
63	до сих	2	3
64	всяком случае	2	3
65	в голову	2	2
66	не менее	4	2
67	нет и	2	2
68	один из	5	2
69	что и	7	2
70	в развитии	2	2
71	ни было	2	2
72	связанных с	2	2
73	как не	2	2
74	в частности	4	2
75	современной ему	2	2
76	в них	4	2
77	того же	3	2
78	с этой	3	2
79	из этих	4	2
80	с этим	5	2
81	то же	3	2
82	к этому	5	2
83	по всему	3	2
84	что он	5	2
85	мы не	2	2
86	что на	3	2
87	у него	4	2
88	и для	4	2
89	для нас	3	2
90	меньше всего	4	2
91	да еще	2	2
92	как и	4	2
93	по своему	2	2
94	а на	2	2
95	он не	2	2
96	говорить о	2	2
97	в начале	4	2
98	на протяжении	10	2
99	было бы	8	2
100	что это	4	2
101	о том	6	2
102	в самом	4	2
103	в своей	3	2
