N	2gram	Kanaev_Sov_1	Problemy
1	и в	7	46
2	и не	6	27
3	может быть	12	23
4	как бы	4	19
5	не может	17	19
6	в нем	3	17
7	в этом	7	16
8	не только	4	14
9	как и	6	12
10	как мы	2	12
11	точки зрения	12	11
12	в одном	3	11
13	а не	3	11
14	не в	3	10
15	прежде всего	5	9
16	в том	4	9
17	в самом	2	9
18	и все	3	9
19	и к	3	9
20	в его	2	9
21	с точки	5	9
22	еще не	3	7
23	в себе	3	7
24	в каждом	8	6
25	но в	3	6
26	то же	3	6
27	все это	3	6
28	это не	4	5
29	при этом	3	5
30	друг с	2	5
31	жизни и	4	5
32	так как	4	5
33	у него	2	5
34	если же	2	5
35	если мы	4	5
36	с другом	2	5
37	так сказать	2	5
38	уже в	3	4
39	что в	2	4
40	таким образом	11	4
41	все эти	5	4
42	и наконец	5	4
43	мы не	9	4
44	мы можем	6	4
45	этих двух	2	4
46	совершенно не	2	4
47	все же	3	4
48	приводит к	2	4
49	уже не	2	4
50	самом деле	2	4
51	из этих	2	3
52	не могут	2	3
53	такой же	2	3
54	на этом	2	3
55	с помощью	4	3
56	и даже	2	3
57	в конце	3	3
58	как он	3	3
59	их в	4	3
60	и во	2	3
61	в условиях	5	3
62	ведь это	3	3
63	и что	2	3
64	было бы	3	3
65	что же	5	3
66	в отличие	2	3
67	еще более	2	3
68	тем же	2	3
69	той же	2	3
70	отличается от	3	3
71	в этой	3	3
72	и т.д	3	3
73	отличие от	2	3
74	не менее	2	2
75	вопрос о	4	2
76	или иной	2	2
77	для нас	3	2
78	но все	2	2
79	времени и	2	2
80	не дает	2	2
81	значение в	2	2
82	то и	2	2
83	в системе	3	2
84	и по	2	2
85	а в	4	2
86	только так	2	2
87	в результате	6	2
88	пока наконец	2	2
89	с этим	2	2
90	из одного	2	2
91	у нас	3	2
92	одна из	3	2
93	нет и	4	2
94	и пр	2	2
95	вместе с	4	2
96	и они	2	2
97	что такое	2	2
98	на этот	2	2
99	ничего не	6	2
100	во всяком	2	2
101	могут быть	2	2
