N	2gram	Voloshinov_1	Narrotol
1	не только	6	26
2	а не	2	17
3	но и	3	15
4	в том	2	14
5	при этом	2	14
6	и не	8	14
7	том что	2	13
8	и в	13	13
9	в этом	2	13
10	только в	6	11
11	может быть	8	10
12	в данном	2	10
13	своего рода	2	9
14	к тому	2	9
15	так и	3	9
16	а в	2	9
17	то что	6	8
18	в себе	3	8
19	не может	8	8
20	не в	3	8
21	никогда не	3	6
22	прежде всего	9	6
23	и к	2	6
24	вслед за	2	6
25	в его	7	6
26	и т.п	7	6
27	данном случае	2	6
28	все же	5	6
29	как бы	6	6
30	а также	2	6
31	но в	4	6
32	точки зрения	7	5
33	не столько	3	5
34	одной стороны	2	5
35	и тем	2	5
36	в нем	2	5
37	отношению к	3	5
38	как в	2	5
39	по отношению	3	5
40	таким образом	6	5
41	с одной	2	5
42	с другой	2	5
43	не менее	2	4
44	если бы	2	4
45	как и	3	4
46	что в	3	4
47	для него	2	4
48	не является	4	4
49	и уже	3	4
50	в своей	4	4
51	в ее	3	4
52	то же	4	4
53	в другом	2	4
54	и т.д	5	4
55	и все	3	4
56	а как	2	3
57	точку зрения	3	3
58	или иного	2	3
59	да и	3	3
60	соответствии с	2	3
61	что они	2	3
62	того или	2	3
63	для себя	2	3
64	в целом	2	3
65	все эти	2	3
66	самом деле	3	3
67	и для	3	3
68	и его	12	3
69	с ними	2	3
70	с этой	2	3
71	между тем	2	3
72	превращается в	3	2
73	хотя бы	5	2
74	на фоне	4	2
75	вовсе не	2	2
76	было бы	4	2
77	в самом	2	2
78	несмотря на	2	2
79	имеет место	2	2
80	но для	3	2
81	в процессе	5	2
82	собственно говоря	2	2
83	в течение	2	2
84	те же	2	2
85	с точки	5	2
86	не имеет	2	2
87	так же	2	2
88	роль в	2	2
89	мы не	4	2
90	в чем	2	2
91	в ней	2	2
92	в своих	2	2
93	всей своей	2	2
94	говорить о	3	2
95	героя и	2	2
96	бы в	2	2
97	в области	2	2
98	в сознании	4	2
