N	2gram	Losev_Vesc_1	Tragedij
1	и в	21	18
2	в этом	4	9
3	не только	36	8
4	и не	29	7
5	и с	8	7
6	может быть	16	7
7	как бы	12	7
8	и его	2	6
9	у него	2	6
10	но в	5	6
11	все же	4	5
12	что это	13	5
13	так и	3	5
14	это не	5	5
15	не может	17	5
16	то же	6	5
17	как и	8	5
18	в то	3	5
19	но и	18	4
20	то что	27	4
21	что в	9	4
22	все это	5	4
23	я не	4	4
24	прежде всего	9	4
25	и все	5	4
26	в нем	2	4
27	и даже	6	4
28	том что	8	4
29	но это	10	4
30	в этой	3	4
31	что я	24	4
32	и что	15	4
33	в себе	14	4
34	еще не	8	4
35	об этом	3	4
36	что вы	3	3
37	один из	3	3
38	с ее	6	3
39	что образ	2	3
40	отнюдь не	5	3
41	в своем	6	3
42	в конце	2	3
43	все эти	3	3
44	и как	8	3
45	должно быть	6	3
46	в его	2	3
47	для него	4	3
48	мог бы	5	3
49	как это	2	3
50	с ним	8	3
51	из самых	2	2
52	перед нами	2	2
53	от всего	12	2
54	что и	3	2
55	только к	2	2
56	она должна	2	2
57	как же	3	2
58	данном случае	2	2
59	то и	4	2
60	что все	2	2
61	не просто	19	2
62	ее к	2	2
63	уже не	9	2
64	бы и	5	2
65	к тому	3	2
66	и здесь	4	2
67	в ее	7	2
68	в том	8	2
69	так что	5	2
70	не в	5	2
71	тут же	2	2
72	в данном	5	2
73	и то	10	2
74	не случайно	2	2
75	одна из	5	2
76	потому что	16	2
77	ничем не	3	2
78	знает что	2	2
79	в первом	2	2
80	с тем	5	2
81	тем что	2	2
82	и ее	18	2
83	на меня	3	2
84	о том	6	2
85	его в	2	2
86	и это	14	2
87	в самом	9	2
88	ничего не	3	2
89	в одном	2	2
90	что она	15	2
91	никогда не	2	2
