N	2gram	Losev_Vesc_1	Problema
1	и в	21	44
2	вовсе не	10	37
3	и не	29	35
4	не есть	49	35
5	может быть	16	28
6	потому что	16	25
7	по себе	13	25
8	не просто	19	23
9	то что	27	23
10	в том	8	21
11	только в	14	19
12	а не	19	18
13	в этом	4	17
14	для нас	2	16
15	также и	6	16
16	сказать что	17	16
17	даже и	4	16
18	если мы	8	16
19	когда мы	6	15
20	и даже	6	14
21	не только	36	14
22	и то	10	14
23	не в	5	13
24	и т	19	13
25	т д	19	13
26	то же	6	13
27	так что	5	12
28	той или	2	12
29	но в	5	12
30	том что	8	12
31	не менее	3	10
32	то это	3	10
33	но и	18	10
34	в виду	2	10
35	отнюдь не	5	10
36	у нас	7	10
37	как и	8	10
38	тем не	3	10
39	так и	3	10
40	это не	5	9
41	и от	3	9
42	и тем	3	9
43	в нем	2	9
44	и с	8	9
45	как бы	12	9
46	так как	7	9
47	в то	3	9
48	никак не	3	9
49	в его	2	9
50	что и	3	9
51	как нечто	2	9
52	в данном	5	9
53	во всяком	3	9
54	и это	14	9
55	таким образом	8	9
56	перед нами	2	8
57	сама по	3	8
58	что в	9	8
59	только и	2	8
60	есть нечто	6	8
61	того что	8	8
62	что мы	14	8
63	при помощи	2	8
64	но это	10	8
65	было бы	14	8
66	что же	8	8
67	как раз	9	8
68	как мы	4	8
69	в себе	14	8
70	с другой	6	7
71	вещи и	20	7
72	данном случае	2	7
73	не может	17	7
74	уже не	9	7
75	еще и	8	7
76	все эти	3	7
77	мы находим	2	7
78	и что	15	7
79	мы должны	2	7
80	с ним	8	7
81	это и	6	7
82	и потому	5	7
83	мы не	6	7
84	значит что	24	7
85	никогда не	2	6
86	для этого	4	6
87	то ни	4	6
88	можно сказать	6	6
89	и если	2	6
90	но если	8	6
91	всяком случае	2	6
92	другими словами	5	6
93	жизни и	2	6
94	и только	3	6
95	но только	3	6
96	сами по	3	6
97	ясно что	8	6
98	о том	6	6
99	все же	4	6
100	мы можем	4	6
101	сам по	3	6
102	есть именно	6	5
103	в конце	2	5
104	а только	3	5
105	крайней мере	4	5
106	да и	3	5
107	что они	6	5
108	с тем	5	5
109	и есть	26	5
110	хотя и	4	5
111	в ней	12	5
112	другой стороны	2	5
113	все это	5	5
114	то и	4	5
115	в своем	6	5
116	а в	4	5
117	точки зрения	5	5
118	и здесь	4	5
119	по крайней	4	5
120	есть не	14	5
121	еще не	8	5
122	и о	3	5
123	тех или	5	5
124	с ней	2	5
125	в своей	5	5
126	собственно говоря	4	5
127	только на	3	5
128	и его	2	5
129	можно ли	7	4
130	но даже	3	4
131	тому что	2	4
132	иное как	7	4
133	есть ее	2	4
134	это значит	24	4
135	и притом	3	4
136	совершенно не	5	4
137	ни с	6	4
138	же самой	3	4
139	и без	3	4
140	отличается от	7	4
141	д и	5	4
142	есть только	7	4
143	или другой	2	4
144	чем же	3	4
145	самой вещи	14	4
146	это будет	3	4
147	не что	7	4
148	что иное	7	4
149	бы то	4	4
150	мы уже	3	4
151	нет никакого	2	4
152	тоже есть	3	4
153	в ее	7	4
154	это вовсе	2	4
155	только с	3	4
156	в чем	6	4
157	или в	2	4
158	можно было	2	4
159	нас в	3	4
160	тут же	2	4
161	тем что	2	4
162	дело в	4	4
163	ни от	5	4
164	мы говорим	5	4
165	как только	4	3
166	содержит в	4	3
167	что это	13	3
168	из себя	3	3
169	что у	5	3
170	мы возьмем	2	3
171	прежде всего	9	3
172	есть то	9	3
173	на то	4	3
174	к тому	3	3
175	идеи и	3	3
176	без всякого	4	3
177	ни было	4	3
178	и как	8	3
179	это есть	7	3
180	с самим	4	3
181	в этой	3	3
182	с самой	6	3
183	она уже	3	3
184	для него	4	3
185	кроме того	4	3
186	в самом	9	3
187	смысл вещи	12	3
188	чем не	2	3
189	и больше	9	3
190	с этой	4	3
191	ни на	3	3
192	его в	2	3
193	конце концов	2	3
194	а это	4	3
195	или как	2	3
196	с собой	2	3
197	не сама	2	3
198	если бы	5	3
199	в настоящем	2	3
200	что тут	6	3
201	отвлеченная идея	2	3
202	но тогда	3	3
203	не мешает	4	3
204	об этом	3	3
205	говорить о	6	3
206	то в	4	3
207	но не	5	3
208	действительность и	8	3
209	одно и	5	3
210	себе как	2	3
211	она не	4	3
212	есть ни	3	3
213	не значит	7	3
214	же такое	3	3
215	но уже	3	3
216	если не	3	3
217	и все	5	3
218	все равно	2	3
219	из того	2	3
220	в той	3	3
221	самом деле	4	3
222	что такое	12	3
223	хотя бы	6	3
224	то или	2	3
225	с другими	8	3
226	образ и	3	3
227	и ее	18	3
228	как оно	3	3
229	слова и	5	3
230	ничего не	3	3
231	на действительность	2	2
232	с чем	7	2
233	ведь не	3	2
234	в отношении	4	2
235	того же	5	2
236	больше ничего	8	2
237	всегда есть	3	2
238	есть образ	2	2
239	что все	2	2
240	же есть	2	2
241	но что	2	2
242	со своим	7	2
243	между собою	6	2
244	и следовательно	7	2
245	от его	2	2
246	в котором	3	2
247	с ее	6	2
248	из них	4	2
249	действительности как	2	2
250	от того	3	2
251	данной вещи	4	2
252	с одной	3	2
253	что оно	8	2
254	что смысл	3	2
255	это так	3	2
256	есть просто	5	2
257	о ней	2	2
258	в результате	3	2
259	в основе	3	2
260	с этим	3	2
261	только то	2	2
262	бы в	5	2
263	как это	2	2
264	мы имеем	7	2
265	однако это	2	2
266	в самой	2	2
267	является в	2	2
268	нисколько не	4	2
269	действительность а	2	2
270	на нас	2	2
271	и во	3	2
272	и образ	3	2
273	в понятии	4	2
274	с нею	18	2
275	для ее	2	2
276	она может	4	2
277	по существу	2	2
278	но тут	2	2
279	вещи есть	51	2
280	есть и	4	2
281	но именно	2	2
282	и может	2	2
283	когда она	4	2
284	мы говорили	2	2
285	между прочим	3	2
286	во всех	2	2
287	в слове	2	2
288	только к	2	2
289	себе не	3	2
290	для нее	2	2
291	для себя	5	2
292	дело не	2	2
293	себя не	2	2
294	себя в	10	2
295	себя или	2	2
296	по сравнению	7	2
297	нам не	2	2
298	даже не	7	2
299	только что	2	2
300	только тогда	3	2
301	образ в	2	2
302	а с	3	2
303	и сама	3	2
304	на ее	3	2
305	и у	3	2
306	и для	9	2
307	с точки	3	2
308	ничто не	2	2
309	это можно	2	2
310	от всякого	4	2
311	ничем не	3	2
312	но с	2	2
313	не то	4	2
314	определенным образом	6	2
315	как она	4	2
316	в другом	2	2
317	сравнению с	6	2
318	нечто целое	2	2
319	вещь но	6	2
