N	2gram	Kanaev_Sov_1	Problema
1	и в	7	30
2	не только	4	18
3	в этом	7	17
4	и даже	2	14
5	таким образом	11	13
6	в том	4	12
7	в его	2	12
8	и не	6	12
9	у него	2	11
10	в виде	2	10
11	для нас	3	10
12	точки зрения	12	10
13	в этой	3	10
14	все же	3	9
15	но в	3	9
16	и все	3	9
17	в конце	3	8
18	с точки	5	8
19	у нас	3	7
20	как и	6	7
21	в дальнейшем	4	7
22	может быть	12	7
23	вместе с	4	7
24	не в	3	7
25	в результате	6	7
26	прежде всего	5	6
27	уже не	2	6
28	как бы	4	6
29	в нем	3	6
30	и что	2	6
31	а в	4	6
32	так как	4	6
33	не менее	2	5
34	что в	2	5
35	в которой	2	5
36	тем не	2	5
37	в самом	2	5
38	не может	17	5
39	а не	3	5
40	мы можем	6	5
41	отнюдь не	3	4
42	ясно что	3	4
43	но все	2	4
44	при этом	3	4
45	было бы	3	4
46	и к	3	4
47	в себе	3	4
48	еще более	2	3
49	тот же	2	3
50	еще не	3	3
51	в настоящее	2	3
52	с одной	2	3
53	тем же	2	3
54	он в	3	3
55	настоящее время	2	3
56	в одном	3	3
57	не могут	2	2
58	это не	4	2
59	уже в	3	2
60	то же	3	2
61	как мы	2	2
62	в свою	2	2
63	со всеми	2	2
64	жизни и	4	2
65	на его	2	2
66	такого рода	2	2
67	всяком случае	2	2
68	из них	4	2
69	то и	2	2
70	по мнению	2	2
71	или же	2	2
72	то ни	2	2
73	все эти	5	2
74	и они	2	2
75	с помощью	4	2
76	мы не	9	2
77	самом деле	2	2
78	в науке	2	2
79	в таком	2	2
80	во всяком	2	2
81	в области	3	2
82	ничего не	6	2
