N	2gram	Losev_Vlad_2	RusskieA
1	и в	30	36
2	а а	3	25
3	не только	12	22
4	что в	12	19
5	том что	12	19
6	а н	14	18
7	в том	18	17
8	но и	8	16
9	так как	5	15
10	в этом	20	12
11	это не	2	10
12	как мы	11	10
13	как и	5	10
14	вместе с	8	10
15	и на	4	10
16	потому что	9	10
17	об этом	6	9
18	а в	11	9
19	с тем	2	8
20	у нас	6	8
21	может быть	7	8
22	и по	2	8
23	о том	4	8
24	как это	7	8
25	что и	3	7
26	так и	5	7
27	и не	18	6
28	для нас	7	6
29	при этом	5	6
30	в них	3	6
31	уже не	3	6
32	таким образом	3	6
33	мы не	2	6
34	все это	5	6
35	не имеет	2	6
36	в виде	3	6
37	то что	20	6
38	будто бы	2	6
39	все же	9	5
40	как будто	2	5
41	как бы	5	5
42	в течение	5	5
43	во многих	2	5
44	как в	3	5
45	там же	12	5
46	того как	2	5
47	в эти	7	4
48	из этих	3	4
49	к этому	6	4
50	к тому	2	4
51	по существу	3	4
52	петра i	2	4
53	связи с	8	4
54	вплоть до	3	4
55	еще в	2	4
56	во всех	3	4
57	в их	2	4
58	в россии	3	4
59	с в	4	4
60	не может	9	4
61	в связи	8	4
62	и что	5	4
63	того что	5	4
64	но это	4	4
65	г в	2	4
66	только в	6	4
67	в русском	2	4
68	не менее	7	3
69	начиная с	2	3
70	о чем	6	3
71	что это	4	3
72	в этих	4	3
73	в своем	8	3
74	но все	2	3
75	он же	2	3
76	в свою	3	3
77	и к	6	3
78	увидим ниже	2	3
79	тем не	6	3
80	в москве	6	3
81	на этом	2	3
82	в это	4	3
83	несмотря на	4	3
84	в основном	5	3
85	а также	10	3
86	в настоящее	2	3
87	и из	2	3
88	то же	4	3
89	всякого рода	6	3
90	с точки	3	3
91	на этот	4	3
92	так же	4	3
93	ничего не	2	3
94	их в	2	3
95	точки зрения	7	3
96	настоящее время	2	3
97	то есть	7	3
98	в области	3	3
99	не было	10	2
100	всех этих	3	2
101	в частности	2	2
102	но тем	2	2
103	его и	2	2
104	с этим	5	2
105	и потому	2	2
106	на все	2	2
107	в нем	4	2
108	у него	19	2
109	он был	6	2
110	судить по	4	2
111	так что	5	2
112	и как	3	2
113	в дальнейшем	5	2
114	говорится о	2	2
115	свою очередь	2	2
116	но не	3	2
117	но что	5	2
118	после того	2	2
119	новым годом	2	2
120	до конца	7	2
121	она не	2	2
122	на другие	2	2
123	том же	3	2
124	в ней	4	2
125	в его	11	2
126	года в	6	2
127	и с	14	2
128	в целом	4	2
129	с ней	2	2
130	в москву	4	2
131	и до	2	2
132	в последний	3	2
133	этого времени	3	2
134	не на	2	2
135	между прочим	7	2
136	все эти	5	2
137	в году	24	2
138	можно говорить	3	2
139	а мы	2	2
140	а не	7	2
141	и для	3	2
142	с ним	5	2
143	тут же	2	2
144	в своих	2	2
145	хотя и	6	2
146	к ней	3	2
147	это время	4	2
148	но в	8	2
149	мы должны	4	2
150	как он	2	2
151	в более	2	2
