N	3gram	Tiupa_Anal_3	Hudozhes
1	по отношению к	7	10
2	в отличие от	2	7
3	в то же	3	6
4	то же время	3	6
5	я в мире	2	6
6	той или иной	3	5
7	присутствия я в	3	5
8	в том что	7	5
9	с другой стороны	5	5
10	так и не	5	4
11	роли в миропорядке	3	4
12	и его внешней	2	4
13	и того же	3	3
14	одного и того	3	3
15	можно сказать что	2	3
16	в конечном счете	2	3
17	с точки зрения	2	3
18	всех без исключения	3	3
19	тем не менее	2	3
20	мы имеем дело	4	2
21	отношения к сообщаемому	2	2
22	сказания или анекдота	2	2
23	до известной степени	3	2
24	не в самом	2	2
25	слове о полку	2	2
26	в значительной степени	2	2
27	в имени тебе	2	2
28	сама по себе	2	2
29	как к содержанию	2	2
30	и в форме	2	2
31	индивидуального речевого замысла	2	2
32	в тарасе бульбе	3	2
33	в свою очередь	4	2
34	пушкина что в	2	2
35	тем или иным	2	2
36	кто говорит и	2	2
37	тот или иной	2	2
38	в слове о	2	2
39	со стороны адресата	2	2
40	и прежде всего	2	2
41	в миропорядке судьбы	2	2
42	с одной стороны	2	2
43	что в имени	2	2
44	о полку игореве	3	2
45	в русской литературе	3	2
46	внутренняя граница личности	2	2
