N	2gram	Losev_Vesc_1	VLabPisa
1	таким образом	8	27
2	в этом	4	26
3	и в	21	25
4	и т	19	24
5	не только	36	22
6	может быть	16	21
7	хотя бы	6	20
8	и не	29	19
9	т е	55	17
10	не может	17	17
11	в его	2	15
12	т д	19	15
13	прежде всего	9	13
14	в том	8	13
15	все это	5	12
16	как это	2	12
17	с другой	6	11
18	в силу	3	11
19	из них	4	11
20	о том	6	10
21	об этом	3	9
22	что в	9	9
23	для него	4	9
24	но и	18	9
25	то же	6	9
26	все эти	3	8
27	в своем	6	8
28	другой стороны	2	8
29	как и	8	7
30	том что	8	7
31	было бы	14	7
32	во всех	2	7
33	а не	19	7
34	у него	2	6
35	это не	5	6
36	в себе	14	6
37	идеи и	3	6
38	это и	6	6
39	то что	27	6
40	в нем	2	6
41	так и	3	6
42	бы и	5	6
43	и его	2	6
44	их в	3	6
45	в то	3	6
46	в результате	3	5
47	тому что	2	5
48	все же	4	5
49	и есть	26	5
50	действительности и	5	5
51	как бы	12	5
52	один из	3	5
53	сказать что	17	5
54	только в	14	5
55	не в	5	5
56	к тому	3	4
57	никогда не	2	4
58	перед нами	2	4
59	равно как	2	4
60	в одном	2	4
61	что все	2	4
62	можно сказать	6	4
63	в ее	7	4
64	одна из	5	4
65	в своей	5	4
66	в самом	9	4
67	должен быть	2	4
68	как раз	9	4
69	вот почему	3	4
70	с ними	3	4
71	в философии	5	4
72	чем же	3	4
73	в этой	3	4
74	и ее	18	3
75	с тем	5	3
76	и как	8	3
77	даже и	4	3
78	и от	3	3
79	в конце	2	3
80	момент в	6	3
81	только что	2	3
82	у нас	7	3
83	по существу	2	3
84	из его	2	3
85	что они	6	3
86	или в	2	3
87	с этим	3	3
88	что не	5	3
89	со своим	7	3
90	в виду	2	3
91	в котором	3	3
92	его в	2	3
93	что и	3	3
94	жизни и	2	3
95	и их	7	3
96	сводится к	2	3
97	того что	8	3
98	в слове	2	3
99	никак не	3	3
100	моментов в	2	3
101	а вот	3	3
102	точки зрения	5	3
103	она не	4	3
104	бы в	5	3
105	не менее	3	2
106	только не	2	2
107	можно ли	7	2
108	из себя	3	2
109	но даже	3	2
110	и формы	2	2
111	отличается от	7	2
112	и значит	2	2
113	по крайней	4	2
114	только очень	2	2
115	в жизни	3	2
116	не быть	3	2
117	с нею	18	2
118	вовсе не	10	2
119	по себе	13	2
120	стороны и	2	2
121	крайней мере	4	2
122	а затем	2	2
123	необходимо и	3	2
124	ли это	7	2
125	и потому	5	2
126	но не	5	2
127	но для	2	2
128	еще не	8	2
129	одной стороны	3	2
130	и может	2	2
131	для того	2	2
132	то это	3	2
133	если бы	5	2
134	мы имеем	7	2
135	ни с	6	2
136	в ней	12	2
137	действительность в	2	2
138	что она	15	2
139	конце концов	2	2
140	относится к	5	2
141	и даже	6	2
142	не вполне	2	2
143	всяком случае	2	2
144	и этот	2	2
145	отнюдь не	5	2
146	с а	4	2
147	при помощи	2	2
148	только то	2	2
149	каждой из	2	2
150	реальная действительность	2	2
151	от того	3	2
152	между прочим	3	2
153	может не	2	2
154	даже не	7	2
155	вообще и	4	2
156	ее как	2	2
157	а в	4	2
158	но то	2	2
159	еще и	8	2
160	с одной	3	2
161	что оно	8	2
162	но с	2	2
163	того чтобы	3	2
164	должны быть	4	2
165	что такое	12	2
166	между ними	3	2
167	и для	9	2
168	можно было	2	2
169	с другими	8	2
170	между собою	6	2
171	тому как	4	2
172	собою и	4	2
173	также и	6	2
174	во всяком	3	2
175	хотя и	4	2
176	подобно тому	4	2
177	говорить о	6	2
178	в другом	2	2
179	ту же	2	2
180	что мы	14	2
181	от его	2	2
182	на это	4	2
183	в чем	6	2
184	тогда когда	5	2
185	но в	5	2
186	значит что	24	2
