N	2gram	Propp_Russ_2	FransuaR
1	и в	29	45
2	не только	10	14
3	в этом	11	14
4	но в	5	14
5	во всех	3	13
6	как бы	18	12
7	во время	12	12
8	что в	22	12
9	то же	4	11
10	в то	2	11
11	прежде всего	2	10
12	в том	22	10
13	но и	8	10
14	как и	11	10
15	право на	2	10
16	и с	10	10
17	как мы	3	8
18	таким образом	6	8
19	так же	4	8
20	том что	22	7
21	не в	4	7
22	что и	2	7
23	мы видели	7	7
24	все это	10	7
25	потому что	5	7
26	и все	4	7
27	в этой	3	6
28	того чтобы	6	6
29	для того	6	6
30	связи с	2	6
31	так как	13	6
32	в них	4	6
33	это и	2	5
34	на этом	3	5
35	этого праздника	2	5
36	одним из	2	5
37	не может	5	5
38	все эти	3	5
39	на самом	2	5
40	и как	2	5
41	и на	6	5
42	его в	8	5
43	на части	9	5
44	же как	4	4
45	об этом	2	4
46	и от	3	4
47	мы не	6	4
48	но не	5	4
49	здесь в	2	4
50	кроме того	2	4
51	и о	3	4
52	а также	4	4
53	в их	2	4
54	эта связь	2	4
55	а не	4	4
56	а в	9	4
57	можно было	2	4
58	с этим	2	4
59	о том	9	4
60	связаны с	3	4
61	как это	4	4
62	не менее	2	3
63	и другие	14	3
64	как в	7	3
65	это не	5	3
66	из этих	2	3
67	что на	2	3
68	по существу	4	3
69	есть в	2	3
70	связанные с	2	3
71	то время	2	3
72	в своей	2	3
73	вместе с	6	3
74	но она	2	3
75	что она	3	3
76	связь с	3	3
77	не было	2	3
78	именно в	4	3
79	в течение	2	3
80	в году	3	3
81	того что	3	3
82	не имеет	3	3
83	и для	2	3
84	в которых	4	3
85	но он	3	3
86	там где	2	3
87	о чем	4	3
88	с тем	6	2
89	и там	3	2
90	жизни в	2	2
91	игра в	2	2
92	это в	2	2
93	к этому	5	2
94	смерть и	2	2
95	в г	2	2
96	отличие от	3	2
97	то что	5	2
98	церкви и	2	2
99	в качестве	3	2
100	для них	2	2
101	было бы	3	2
102	что это	3	2
103	к ней	2	2
104	может быть	13	2
105	том же	4	2
106	в церкви	2	2
107	это время	2	2
108	еще в	2	2
109	в этот	10	2
110	один из	2	2
111	должен быть	2	2
112	в народном	3	2
113	все же	2	2
114	не будем	3	2
115	данном случае	7	2
116	а именно	3	2
117	в свете	3	2
118	так в	2	2
119	в отличие	3	2
120	начиная с	2	2
121	при этом	6	2
122	и что	5	2
123	к нему	4	2
124	жизнь и	2	2
125	в данном	6	2
126	не столько	2	2
127	между тем	3	2
128	одно из	2	2
129	под названием	2	2
130	от земли	2	2
131	игры в	2	2
132	на эту	2	2
133	заметить что	2	2
134	в эту	3	2
