N	2gram	Losev_Vesc_1	Stilisti
1	и в	21	42
2	как бы	12	27
3	не только	36	27
4	прежде всего	9	22
5	хотя бы	6	17
6	но и	18	15
7	то же	6	15
8	и не	29	14
9	может быть	16	12
10	не может	17	12
11	точки зрения	5	11
12	как и	8	11
13	мы уже	3	11
14	и как	8	10
15	что мы	14	10
16	мы должны	2	10
17	отнюдь не	5	10
18	как мы	4	10
19	в этом	4	10
20	в то	3	9
21	то что	27	9
22	для того	2	9
23	мы не	6	9
24	все же	4	8
25	в ней	12	8
26	таким образом	8	8
27	с тем	5	8
28	что же	8	8
29	в себе	14	8
30	и это	14	8
31	никогда не	2	7
32	и от	3	7
33	и тем	3	7
34	потому что	16	7
35	так как	7	7
36	было бы	14	7
37	а не	19	7
38	того чтобы	3	7
39	и его	2	7
40	мы можем	4	7
41	только в	14	7
42	ничего не	3	7
43	другими словами	5	6
44	не в	5	6
45	в этой	3	6
46	в свою	4	6
47	но ведь	2	6
48	в конце	2	6
49	когда мы	6	6
50	в нем	2	6
51	во всех	2	6
52	так и	3	6
53	или как	2	6
54	слова в	2	5
55	независимо от	5	5
56	тому что	2	5
57	и следовательно	7	5
58	и их	7	5
59	а в	4	5
60	и с	8	5
61	как это	2	5
62	одно и	5	5
63	в его	2	5
64	в той	3	5
65	с точки	3	5
66	той же	2	5
67	слова и	5	5
68	что это	13	4
69	и без	3	4
70	к данной	2	4
71	не просто	19	4
72	можно сказать	6	4
73	к тому	3	4
74	свою очередь	4	4
75	общения и	2	4
76	в самом	9	4
77	той или	2	4
78	один из	3	4
79	все это	5	4
80	того что	8	4
81	о том	6	4
82	его в	2	4
83	бы в	5	4
84	но в	5	4
85	если бы	5	4
86	не что	7	4
87	или иную	2	4
88	у нас	7	4
89	мы видим	2	4
90	не знаем	2	4
91	ту или	2	4
92	себя в	10	4
93	а с	3	4
94	если мы	8	4
95	уже не	9	4
96	самом деле	4	4
97	и пр	6	4
98	в слове	2	4
99	можно было	2	4
100	и то	10	4
101	на это	4	4
102	как только	4	3
103	в разных	4	3
104	его и	2	3
105	что у	5	3
106	перед нами	2	3
107	это не	5	3
108	для нас	2	3
109	но что	2	3
110	и само	2	3
111	и эта	3	3
112	но для	2	3
113	хотя и	4	3
114	в котором	3	3
115	из них	4	3
116	жизни и	2	3
117	от того	3	3
118	что оно	8	3
119	и вот	2	3
120	и даже	6	3
121	их в	3	3
122	сказать что	17	3
123	и здесь	4	3
124	необходимо чтобы	3	3
125	ни на	3	3
126	свое выражение	3	3
127	в виду	2	3
128	и все	5	3
129	в одном	2	3
130	об этом	3	3
131	в ее	7	3
132	том что	8	3
133	еще не	8	3
134	тех или	5	3
135	что и	3	3
136	не будет	12	3
137	да и	3	3
138	только на	3	3
139	если не	3	3
140	слово и	4	3
141	что такое	12	3
142	между ними	3	3
143	и для	9	3
144	то или	2	3
145	конце концов	2	3
146	то мы	2	3
147	выражение в	3	3
148	понимания и	3	2
149	бы и	5	2
150	но даже	3	2
151	иное как	7	2
152	какой-то смысл	2	2
153	не нужно	2	2
154	в том	8	2
155	но это	10	2
156	для него	4	2
157	не с	7	2
158	внутри себя	3	2
159	в первой	2	2
160	для всякого	2	2
161	жизни мы	2	2
162	в отношении	4	2
163	еще и	8	2
164	все эти	3	2
165	и больше	9	2
166	должно быть	6	2
167	также и	6	2
168	даже и	4	2
169	теперь же	2	2
170	что иное	7	2
171	по своей	2	2
172	мы имеем	7	2
173	я и	6	2
174	в жизни	3	2
175	в основе	3	2
176	что то	2	2
177	же самой	3	2
178	от чего	2	2
179	с этим	3	2
180	себе в	3	2
181	с собой	2	2
182	ясно что	8	2
183	быть понято	2	2
184	есть не	14	2
185	только тогда	3	2
186	но не	5	2
187	равно как	2	2
188	тот же	3	2
189	нужно было	2	2
190	это выражение	2	2
191	мы говорили	2	2
192	и когда	4	2
193	и потому	5	2
194	и этот	2	2
195	переживания и	2	2
196	не есть	49	2
197	же такое	3	2
198	в своей	5	2
199	с ней	2	2
200	понимание и	3	2
201	как нечто	2	2
202	общение и	2	2
203	с ним	8	2
204	или в	2	2
205	тем что	2	2
206	ее с	5	2
207	как с	4	2
