N	2gram	Losev_Prob_2	Myslijsy
1	потому что	13	52
2	то есть	39	42
3	и в	35	39
4	в языке	15	33
5	может быть	18	27
6	в том	12	26
7	только в	14	25
8	что в	11	22
9	не может	13	22
10	а не	10	21
11	так как	7	21
12	не только	24	21
13	но и	16	20
14	и не	37	18
15	языка и	5	17
16	том что	19	16
17	так что	11	16
18	не в	2	15
19	в этом	17	15
20	если бы	4	14
21	так и	7	13
22	в себе	5	13
23	таким образом	4	13
24	было бы	8	12
25	точно так	3	11
26	есть только	8	11
27	мы не	7	10
28	по себе	8	10
29	что не	5	10
30	не есть	33	10
31	то что	38	10
32	и что	13	10
33	для нас	9	9
34	как и	5	9
35	мысли и	2	9
36	тем что	4	9
37	тогда когда	3	9
38	но в	6	9
39	но не	4	8
40	вместе с	2	8
41	того что	12	8
42	в слове	3	8
43	точки зрения	2	8
44	с другой	6	7
45	язык как	3	7
46	должно быть	2	7
47	в ней	2	7
48	в истории	3	7
49	с этим	5	7
50	то и	4	7
51	в этих	4	7
52	не менее	13	6
53	независимо от	2	6
54	тем не	12	6
55	и как	4	6
56	еще не	10	6
57	что на	4	6
58	как бы	4	6
59	что и	2	6
60	все же	8	6
61	и т	6	6
62	бы не	3	6
63	то же	5	6
64	при этом	3	6
65	и по	3	6
66	между собою	4	6
67	языка в	3	6
68	в каком	4	6
69	с тем	3	5
70	для всех	2	5
71	язык не	2	5
72	вовсе не	37	5
73	языка как	2	5
74	несмотря на	3	5
75	но это	6	5
76	что при	4	5
77	только тогда	3	5
78	которые мы	3	5
79	в его	7	5
80	то это	3	5
81	другой стороны	5	5
82	во всех	2	5
83	так же	5	5
84	а в	4	5
85	и для	6	5
86	не имеет	7	5
87	в таком	11	5
88	быть только	3	5
89	если же	3	5
90	язык и	2	5
91	возможно только	2	5
92	не могут	4	4
93	при таком	2	4
94	тем самым	7	4
95	вопрос о	3	4
96	с нею	2	4
97	этом смысле	5	4
98	прежде всего	11	4
99	а только	6	4
100	самого себя	2	4
101	каждый раз	3	4
102	в действительности	2	4
103	к тому	3	4
104	самого предмета	2	4
105	в своих	3	4
106	есть нечто	7	4
107	т д	6	4
108	не было	3	4
109	и притом	3	4
110	то на	2	4
111	и даже	11	4
112	этой теории	4	4
113	тому как	3	4
114	само по	2	4
115	из этих	3	4
116	в то	6	4
117	что мы	14	4
118	слова и	4	4
119	бы в	3	4
120	сама по	4	3
121	тому что	3	3
122	в них	2	3
123	что слово	3	3
124	оно не	3	3
125	и от	3	3
126	и это	5	3
127	что все	6	3
128	представить себе	4	3
129	самого начала	2	3
130	о котором	3	3
131	с самого	3	3
132	в этой	9	3
133	в своем	4	3
134	если мы	9	3
135	она не	3	3
136	одной стороны	5	3
137	по поводу	2	3
138	сколько и	2	3
139	только на	9	3
140	и их	3	3
141	что если	4	3
142	относится к	6	3
143	для того	3	3
144	никто не	3	3
145	для себя	9	3
146	в состоянии	2	3
147	и тем	4	3
148	связи с	5	3
149	о предмете	2	3
150	и той	4	3
151	в самом	5	3
152	были бы	2	3
153	на него	2	3
154	и без	5	3
155	столько же	2	3
156	то ни	3	3
157	с одной	5	3
158	одной и	2	3
159	заключается в	4	3
160	но при	2	3
161	не так	2	3
162	о языке	3	3
163	как на	2	3
164	той же	2	3
165	что для	3	3
166	или даже	3	3
167	и то	10	3
168	сказать что	24	3
169	во всяком	13	3
170	хотя и	3	3
171	он не	2	3
172	подобно тому	2	3
173	и при	2	3
174	этим последним	2	3
175	и вообще	16	3
176	мы должны	3	3
177	и все	5	3
178	с и	2	3
179	то не	3	3
180	языка а	2	3
181	и с	10	3
182	но как	6	3
183	не существует	6	2
184	и более	5	2
185	только не	3	2
186	от нас	3	2
187	и есть	4	2
188	по этому	3	2
189	в разные	2	2
190	в определении	2	2
191	по крайней	6	2
192	бы то	2	2
193	значение и	8	2
194	уже с	2	2
195	не можем	4	2
196	стороны и	4	2
197	на то	6	2
198	только по	2	2
199	что такая	3	2
200	что до	2	2
201	не что	3	2
202	но если	4	2
203	как мы	5	2
204	о которых	3	2
205	понятий в	2	2
206	уже не	8	2
207	у нас	18	2
208	но все	2	2
209	есть не	6	2
210	если не	4	2
211	не будет	11	2
212	теории и	3	2
213	все что	3	2
214	только то	3	2
215	слова то	3	2
216	с понятием	2	2
217	для них	3	2
218	того чтобы	2	2
219	мысль о	2	2
220	мы в	3	2
221	от друга	2	2
222	могли бы	3	2
223	и о	4	2
224	и если	3	2
225	никак не	11	2
226	и следовательно	4	2
227	ли в	2	2
228	в виду	8	2
229	чтобы не	2	2
230	не все	4	2
231	крайней мере	6	2
232	но уже	5	2
233	в целом	3	2
234	друг от	2	2
235	из этого	2	2
236	что же	9	2
237	предмета а	3	2
238	для всякого	2	2
239	только при	2	2
240	в их	3	2
241	тем более	10	2
242	для этого	3	2
243	ничего общего	3	2
244	и только	4	2
245	теории языка	12	2
246	и того	3	2
247	что оно	2	2
248	еще более	2	2
249	в одно	2	2
250	есть если	2	2
251	или в	2	2
252	хотя бы	12	2
253	во многих	2	2
254	в таких	3	2
255	иное как	3	2
256	даже и	18	2
257	заставляет нас	2	2
258	что иное	3	2
259	как будто	6	2
260	о том	18	2
261	при помощи	8	2
262	нет ничего	2	2
263	таком случае	10	2
264	есть в	4	2
265	когда мы	6	2
266	которые не	2	2
267	это будет	3	2
268	и которые	2	2
269	мы можем	6	2
