N	2gram	Bakhtin_Fr_5	EvropaiE
1	и в	45	37
2	в отношении	2	32
3	в пределах	2	25
4	точки зрения	4	23
5	что в	12	21
6	не только	14	18
7	с точки	2	17
8	в то	11	16
9	хотя бы	2	15
10	то же	11	15
11	в своем	11	14
12	в качестве	2	14
13	же время	9	14
14	но и	10	14
15	и не	15	14
16	но в	14	14
17	в этом	14	12
18	в их	4	11
19	в том	10	11
20	так и	6	10
21	прежде всего	10	9
22	не может	5	9
23	только в	4	9
24	так же	8	9
25	к тому	2	8
26	было бы	2	8
27	в своей	3	8
28	между тем	2	8
29	как и	10	7
30	по своему	4	7
31	того что	3	7
32	а также	4	7
33	также и	7	7
34	так как	6	7
35	вовсе не	8	6
36	том что	7	6
37	может быть	2	6
38	для того	6	6
39	как бы	12	6
40	то что	2	6
41	во всех	13	6
42	того чтобы	6	6
43	и даже	4	6
44	и на	5	6
45	то есть	25	6
46	же как	4	5
47	не в	7	5
48	но не	4	5
49	одной из	5	5
50	как мы	8	5
51	в течение	3	5
52	от этого	2	5
53	независимо от	2	4
54	именно в	3	4
55	можно сказать	2	4
56	несмотря на	2	4
57	в самом	4	4
58	в ней	8	4
59	к ней	2	4
60	даже в	2	4
61	мы не	4	4
62	и притом	2	4
63	не имеет	3	4
64	сказать что	4	4
65	как это	4	4
66	и к	5	3
67	этом отношении	5	3
68	но на	3	3
69	с тем	2	3
70	уже и	2	3
71	жизни в	2	3
72	в них	6	3
73	вообще не	3	3
74	и от	4	3
75	с другом	2	3
76	в общем	4	3
77	в известной	2	3
78	мы видели	7	3
79	мы можем	2	3
80	того же	3	3
81	друг с	2	3
82	известной степени	4	3
83	что и	7	3
84	во второй	2	3
85	когда он	2	3
86	как в	3	3
87	и только	2	3
88	и для	3	3
89	и прежде	3	3
90	как на	4	3
91	можно было	4	3
92	в которых	3	3
93	потому что	7	3
94	в данном	2	3
95	во все	2	3
96	о том	4	3
97	дело в	3	3
98	там где	3	3
99	большинстве случаев	2	3
100	мира и	8	3
101	что все	2	2
102	не могут	2	2
103	и наиболее	2	2
104	для них	2	2
105	а не	4	2
106	и во	4	2
107	с этим	4	2
108	в большинстве	2	2
109	и все	7	2
110	в одном	3	2
111	к нему	2	2
112	чем на	2	2
113	что на	3	2
114	и как	5	2
115	в сторону	2	2
116	такой же	4	2
117	есть в	3	2
118	но именно	2	2
119	что это	2	2
120	и если	2	2
121	эти последние	2	2
122	дело идет	3	2
123	он не	6	2
124	человеческой культуры	2	2
125	в его	13	2
126	если в	2	2
127	и отчасти	2	2
128	жизни и	8	2
129	вместе с	3	2
130	данном случае	2	2
131	а в	4	2
132	таким образом	8	2
133	начиная с	2	2
134	а именно	2	2
135	и что	2	2
136	ко всему	2	2
137	в значительной	2	2
138	и наконец	2	2
139	на этот	3	2
140	происходит в	2	2
141	войны и	2	2
142	мы видим	5	2
143	и та	2	2
144	и с	10	2
145	хотя и	5	2
146	в этой	6	2
147	г по	2	2
148	ведь и	3	2
149	в истории	2	2
150	бы в	4	2
151	заметить что	2	2
152	в будущее	2	2
153	в эту	2	2
