N	2gram	Tiupa_Hudo_1	TeoriaLi
1	в мире	21	24
2	не только	16	18
3	в качестве	24	17
4	тогда как	13	16
5	и не	15	16
6	я в	11	16
7	а в	12	14
8	в частности	13	13
9	и в	19	13
10	состоит в	16	13
11	эстетического отношения	11	12
12	может быть	14	12
13	так и	11	12
14	то есть	18	12
15	представляет собой	10	11
16	при этом	13	11
17	эстетического завершения	9	11
18	в этом	11	11
19	в том	18	11
20	но не	11	10
21	в тексте	9	10
22	а не	9	10
23	и его	12	10
24	эстетическое отношение	10	10
25	в его	9	9
26	внутреннего зрения	7	9
27	то же	10	9
28	в душе	8	8
29	произведение искусства	8	8
30	сводится к	7	8
31	от лат	18	8
32	что в	6	8
33	своего рода	5	8
34	такого рода	10	8
35	отношению к	9	8
36	но и	10	8
37	по отношению	9	8
38	в миропорядке	8	8
39	субъектной организации	5	8
40	кадров внутреннего	3	7
41	себя в	7	7
42	эмоциональной рефлексии	7	7
43	в себе	9	7
44	том что	8	7
45	в отличие	7	7
46	в данном	4	7
47	точки зрения	10	7
48	по своей	7	7
49	в то	6	7
50	только в	5	7
51	как это	5	7
52	отличие от	7	7
53	место в	4	6
54	с его	6	6
55	же время	5	6
56	художественной реальности	4	6
57	еще не	3	6
58	объектной организации	6	6
59	картина мира	5	6
60	модус художественности	6	6
61	присутствия я	5	6
62	эстетическая деятельность	5	6
63	присутствия в	8	6
64	лишь в	4	6
65	модуса художественности	13	6
66	как бы	9	6
67	в русской	3	6
68	но в	7	6
69	я есть	5	5
70	в рамках	8	5
71	композиционных форм	3	5
72	и одновременно	5	5
73	однако в	4	5
74	в своем	2	5
75	или иного	3	5
76	не сводится	5	5
77	или иной	7	5
78	а также	5	5
79	в ее	5	5
80	как и	2	5
81	не в	7	5
82	в пределах	3	5
83	между ними	4	5
84	в самом	5	5
85	того или	3	5
86	я с	5	5
87	роли в	4	5
88	в нем	5	5
89	как в	2	5
90	он не	4	5
91	уже не	4	5
92	тем самым	4	5
93	коммуникативного события	2	5
94	в принципе	5	5
95	жизни как	3	5
96	с другой	7	5
97	не случайно	3	5
98	между тем	4	5
99	мы имеем	6	5
100	в искусстве	7	5
101	героя и	5	5
102	художественного восприятия	4	4
103	личности и	3	4
104	не менее	3	4
105	конечном счете	5	4
106	не столько	3	4
107	личностного присутствия	4	4
108	художественности в	5	4
109	телячья головка	3	4
110	личности в	4	4
111	в свою	3	4
112	в стихотворении	3	4
113	можно сказать	5	4
114	в ходе	5	4
115	ни в	5	4
116	субъекта и	3	4
117	эмоциональная рефлексия	7	4
118	более или	5	4
119	внутреннего я	4	4
120	не предполагает	3	4
121	читателя в	3	4
122	эстетических отношений	4	4
123	в конечном	5	4
124	порядка в	4	4
125	за пределами	3	4
126	в своей	5	4
127	то что	4	4
128	отношение к	5	4
129	литературного произведения	10	4
130	по преимуществу	2	4
131	в форме	4	4
132	или менее	5	4
133	в их	5	4
134	приводит к	5	4
135	и т.п	4	4
136	не может	7	4
137	организации художественного	4	4
138	художественного языка	7	4
139	высказывания в	4	4
140	по пути	4	4
141	в слове	3	4
142	художественного впечатления	3	4
143	художественного мира	2	4
144	сказать что	4	4
145	хотя и	3	4
146	но он	3	4
147	как эстетической	4	4
148	и ее	3	4
149	говорить о	3	4
150	не знает	3	4
151	как правило	2	4
152	лирического героя	2	4
153	всего лишь	4	4
154	мира и	2	4
155	эстетический объект	4	4
156	текста как	3	4
157	художественного текста	13	4
158	слова в	2	3
159	ни к	2	3
160	по мысли	2	3
161	лирический герой	5	3
162	в порядке	2	3
163	первичной реальности	3	3
164	художественного творчества	4	3
165	и др	2	3
166	никогда не	2	3
167	в нашем	2	3
168	говоря словами	5	3
169	в этих	3	3
170	со своей	3	3
171	в отношении	3	3
172	в противоположность	3	3
173	он должен	3	3
174	в эстетический	3	3
175	художественной целостности	3	3
176	этом смысле	3	3
177	прежде всего	4	3
178	в итоге	2	3
179	художественного произведения	3	3
180	миропорядка и	3	3
181	и к	3	3
182	а только	4	3
183	тем не	3	3
184	кто говорит	5	3
185	рамках которого	3	3
186	в акте	3	3
187	зрителя слушателя	3	3
188	граница личности	3	3
189	человека к	3	3
190	свою очередь	2	3
191	по своему	2	3
192	для него	4	3
193	объекта и	3	3
194	без остатка	2	3
195	того что	4	3
196	бенвенист ритм	3	3
197	мог бы	3	3
198	например в	3	3
199	в сторону	2	3
200	может выступать	2	3
201	эстетического созерцания	3	3
202	совпадает с	2	3
203	той или	4	3
204	и потому	2	3
205	этого слова	2	3
206	авторской позиции	2	3
207	на почве	3	3
208	структуре текста	2	3
209	от гр	5	3
210	не все	2	3
211	в воображении	3	3
212	хронотоп в	2	3
213	в точке	3	3
214	с ее	5	3
215	картины мира	3	3
216	знаковой системы	8	3
217	художественного письма	5	3
218	его эстетической	3	3
219	системе ценностей	3	3
220	во времени	4	3
221	другой стороны	5	3
222	как раз	3	3
223	так в	4	3
224	ценностного центра	3	3
225	входит в	4	3
226	таким образом	3	3
227	в текстах	2	3
228	творческого акта	3	3
229	а с	2	3
230	именно в	2	3
231	мира в	2	3
232	художественного целого	3	3
233	в другом	3	3
234	и что	3	3
235	в единое	3	3
236	причастности к	2	3
237	и по	2	3
238	читателя зрителя	3	3
239	порядок в	3	3
240	своей эстетической	3	3
241	или в	2	3
242	я на	2	3
243	самим собой	4	3
244	и то	4	3
245	потому что	3	3
246	являет собой	3	3
247	нового времени	2	3
248	в основе	4	3
249	речи и	3	3
250	между двумя	2	3
251	все прочие	3	3
252	эстетическая ситуация	3	3
253	литературных произведений	3	3
254	что можно	3	3
255	в финале	2	3
256	в этой	2	3
257	и т.д	3	3
258	отношении к	2	3
259	и внешней	3	3
260	для возникновения	2	3
261	его в	2	3
262	все эти	2	3
263	законе искусства	3	3
264	в художественном	4	3
265	в произведении	3	3
266	человека с	3	3
267	эстетического объекта	4	3
268	герой не	3	3
269	элегическое я	3	3
270	ритмического ряда	3	3
271	к которому	4	3
272	внешней заданности	5	2
273	отношении обратного	2	2
274	художественное целое	2	2
275	собою в	2	2
276	во мне	2	2
277	вненаходимости бахтин	2	2
278	или говоря	3	2
279	эмоциональную рефлексию	2	2
280	текст в	3	2
281	я не	2	2
282	бытийной компетенцией	2	2
283	сама по	2	2
284	стилистическом отношении	2	2
285	греческое слово	2	2
286	эстетического адресата	2	2
287	и составляет	3	2
288	произведении искусства	2	2
289	подобных случаях	2	2
290	он тем	2	2
291	единое целое	2	2
292	оказывается в	3	2
293	о чем	2	2
294	ведет по	2	2
295	если бы	3	2
296	поскольку не	2	2
297	была бы	3	2
298	в стилистическом	2	2
299	к действительности	3	2
300	могут быть	4	2
301	за пределы	2	2
302	себя и	2	2
303	способность к	2	2
304	ролевой маски	2	2
