N	2gram	Losev_Prob_5	Myshleni
1	и речи	2	38
2	точки зрения	10	26
3	таким образом	13	26
4	в том	12	24
5	и в	30	23
6	том что	17	21
7	с точки	8	18
8	того чтобы	2	17
9	то что	18	17
10	в этом	17	17
11	так же	5	16
12	не только	18	16
13	того что	3	15
14	для того	3	15
15	что в	5	14
16	может быть	7	14
17	но и	13	14
18	как и	7	14
19	в его	12	14
20	с помощью	2	13
21	не может	5	12
22	как бы	6	11
23	сказать что	9	11
24	с другой	6	10
25	прежде всего	6	10
26	в отношении	3	10
27	в качестве	4	9
28	одной стороны	3	9
29	другой стороны	6	9
30	и не	12	9
31	между тем	2	9
32	и с	5	9
33	вместе с	7	9
34	с одной	3	8
35	и на	6	8
36	то же	2	8
37	в этой	10	7
38	в самом	5	7
39	по отношению	2	7
40	в то	4	7
41	так как	6	7
42	с тем	5	7
43	что он	7	7
44	отношению к	2	7
45	мы не	2	7
46	в другом	3	7
47	все время	3	6
48	с этой	2	6
49	и тем	3	6
50	именно в	3	6
51	потому что	13	6
52	в силу	5	6
53	о том	12	6
54	и его	6	6
55	мы можем	5	6
56	тем что	2	6
57	в себе	4	6
58	только в	9	6
59	в какой	2	5
60	то время	3	5
61	можно сказать	6	5
62	и как	6	5
63	на то	2	5
64	по себе	2	5
65	и все	9	5
66	но в	9	5
67	и более	2	5
68	по своей	2	5
69	и что	6	5
70	он не	3	5
71	так и	7	5
72	как мы	2	5
73	из этого	4	5
74	но не	7	4
75	со всей	2	4
76	в свою	2	4
77	не в	7	4
78	при этом	4	4
79	время как	3	4
80	в котором	2	4
81	все эти	2	4
82	в результате	7	4
83	в одном	3	4
84	к этому	2	4
85	и к	4	4
86	по существу	2	4
87	в чем	2	4
88	было бы	4	4
89	к тому	2	4
90	для себя	5	4
91	в своей	22	4
92	сих пор	2	4
93	как в	2	4
94	как раз	5	4
95	а с	4	4
96	хотя бы	2	4
97	ни в	4	4
98	до сих	2	4
99	только для	2	3
100	уже в	2	3
101	я не	2	3
102	в своем	11	3
103	что именно	2	3
104	мы и	2	3
105	что они	3	3
106	смысле слова	3	3
107	который в	9	3
108	то и	2	3
109	мы находим	7	3
110	его не	2	3
111	вовсе не	8	3
112	в одной	2	3
113	тогда когда	4	3
114	всяком случае	2	3
115	об этом	4	3
116	учение о	3	3
117	человека и	4	3
118	все же	9	3
119	если не	4	3
120	самом деле	2	3
121	а не	5	3
122	можно было	2	3
123	и то	5	3
124	во всяком	2	3
125	он в	3	3
126	связи с	7	3
127	факт что	2	3
128	и который	3	3
129	в которой	5	3
130	в области	2	3
131	ничего не	2	3
132	в противоположность	3	2
133	в частности	4	2
134	никогда не	7	2
135	и которая	3	2
136	другого как	2	2
137	является наиболее	2	2
138	что у	5	2
139	в конце	8	2
140	представление о	2	2
141	от них	2	2
142	в смысле	4	2
143	и наиболее	2	2
144	что его	3	2
145	но все	4	2
146	с такой	2	2
147	а скорее	2	2
148	несмотря на	6	2
149	вслед за	2	2
150	хотя и	8	2
151	один из	2	2
152	не к	2	2
153	жизни и	2	2
154	и до	2	2
155	данном случае	2	2
156	и даже	14	2
157	а в	6	2
158	что этот	5	2
159	о котором	3	2
160	от этого	3	2
161	в них	2	2
162	ясно что	4	2
163	в ее	3	2
164	только тогда	3	2
165	из всех	2	2
166	в значительной	2	2
167	но тем	2	2
168	указывает на	3	2
169	со всеми	2	2
170	когда он	2	2
171	ее в	2	2
172	на него	2	2
173	того как	5	2
174	уже не	6	2
175	в данном	2	2
176	в виде	10	2
177	его на	2	2
178	дело в	2	2
179	едва ли	4	2
