N	2gram	Voloshinov_1	Mirosoze
1	и в	12	46
2	в нем	6	22
3	может быть	14	21
4	в этом	4	20
5	никогда не	5	18
6	для него	3	18
7	и не	10	18
8	не только	4	18
9	но и	3	15
10	не может	16	15
11	как и	5	13
12	не есть	2	13
13	а не	5	13
14	прежде всего	8	12
15	в ней	6	11
16	но в	5	10
17	он не	2	10
18	в себе	3	10
19	не в	4	9
20	но это	2	8
21	как бы	13	8
22	в своем	2	8
23	так как	9	8
24	отношение к	4	8
25	она не	2	8
26	в нашем	11	7
27	и к	4	7
28	и потому	2	7
29	как в	5	7
30	хотя бы	5	7
31	и для	3	7
32	так же	3	6
33	того что	3	6
34	и здесь	2	6
35	жизни и	4	6
36	то же	5	5
37	в отношении	2	5
38	в самом	4	5
39	не способен	2	5
40	те же	2	5
41	это не	2	5
42	и все	2	5
43	то что	5	5
44	в своей	3	5
45	и его	13	5
46	в его	2	5
47	что в	2	4
48	есть уже	2	4
49	до конца	2	4
50	с его	2	4
51	в жизни	5	4
52	том что	5	4
53	что и	2	4
54	так и	4	4
55	уже не	4	4
56	себя и	2	3
57	на все	2	3
58	в такой	3	3
59	ни в	3	3
60	в том	6	3
61	не так	2	3
62	и на	4	3
63	сказать что	7	3
64	и с	3	3
65	о том	3	3
66	его в	4	3
67	нет ничего	2	3
68	с ним	3	3
69	если бы	9	3
70	в них	3	3
71	до сих	3	3
72	сих пор	3	3
73	от того	4	3
74	только в	6	3
75	отношении к	3	3
76	в творчестве	3	3
77	в чем	2	3
78	место в	2	2
79	уже в	2	2
80	в этих	2	2
81	ее и	3	2
82	все время	6	2
83	да и	3	2
84	но для	3	2
85	к нему	4	2
86	не к	3	2
87	от этой	2	2
88	по отношению	11	2
89	как к	3	2
90	и те	2	2
91	точки зрения	14	2
92	человеческого общества	2	2
93	но этот	2	2
94	между тем	3	2
95	и та	2	2
96	и самое	2	2
97	тогда когда	2	2
98	по себе	3	2
99	и что	2	2
100	оно не	2	2
101	отношению к	11	2
102	вместе с	2	2
103	быть и	3	2
104	бы не	2	2
105	в атмосфере	2	2
106	любит и	2	2
107	что не	4	2
108	ничего не	2	2
