N	2gram	Tiupa_Teor_1	UchenyiS
1	и в	18	14
2	а не	9	10
3	не только	16	10
4	и не	13	8
5	прежде всего	2	8
6	то что	3	7
7	в этом	8	7
8	не может	4	7
9	в искусстве	6	6
10	может быть	17	6
11	эстетического объекта	2	6
12	в художественном	3	5
13	все это	2	5
14	то же	7	5
15	но и	9	4
16	в этой	3	4
17	конечном счете	6	4
18	в их	2	4
19	с другой	7	4
20	в конечном	6	4
21	но в	9	3
22	как и	4	3
23	и то	2	3
24	не следует	4	3
25	в своей	6	3
26	в частности	16	3
27	произведения искусства	2	3
28	же время	5	3
29	другой стороны	5	3
30	для него	2	3
31	это не	2	3
32	в то	6	3
33	и т.д	3	3
34	в области	4	3
35	у нас	2	3
36	тех или	3	2
37	том что	9	2
38	но не	9	2
39	в том	16	2
40	не все	3	2
41	художественного произведения	4	2
42	с его	5	2
43	не в	7	2
44	и для	2	2
45	этом смысле	2	2
46	если бы	3	2
47	не случайно	5	2
48	только в	6	2
49	искусства как	2	2
50	могут быть	4	2
51	в себе	9	2
52	как раз	2	2
53	в конце	2	2
54	могли бы	2	2
55	к области	2	2
56	в самом	4	2
57	в итоге	2	2
58	не могут	2	2
59	или иных	3	2
60	превращается в	2	2
61	сводится к	5	2
62	одним из	2	2
63	что она	2	2
64	и является	2	2
65	что и	2	2
66	в его	6	2
67	между тем	5	2
68	таким образом	3	2
69	это было	2	2
