N	2gram	Nazirov_Tv_1	Problemy
1	и в	21	35
2	из подполья	13	35
3	как бы	17	31
4	и не	7	27
5	что он	6	24
6	в его	13	21
7	но в	7	19
8	не может	4	18
9	как и	12	18
10	в нем	3	16
11	то есть	12	16
12	то же	13	15
13	и все	6	15
14	но и	3	14
15	для него	6	14
16	может быть	5	14
17	все это	10	14
18	и его	6	14
19	в этом	6	14
20	что я	3	13
21	он не	8	13
22	у достоевского	28	12
23	прежде всего	4	12
24	и с	3	12
25	в то	15	11
26	не в	2	10
27	самом деле	2	10
28	же время	12	10
29	не только	7	10
30	то что	8	10
31	героя и	2	10
32	на самом	3	9
33	я не	3	8
34	самого начала	3	8
35	так и	2	8
36	с самого	3	8
37	потому что	5	8
38	все же	5	8
39	настасьи филипповны	2	7
40	так же	3	7
41	а в	6	7
42	самим собой	4	7
43	и наконец	2	7
44	творчестве достоевского	5	7
45	с ним	3	7
46	с его	11	7
47	вовсе не	5	7
48	в виде	3	7
49	таким образом	5	7
50	он сам	6	6
51	что в	12	6
52	в каждом	3	6
53	к тому	2	6
54	яков петрович	2	6
55	но это	5	6
56	в самом	3	6
57	стремится к	3	6
58	и на	7	6
59	не знает	2	6
60	но не	3	6
61	только в	5	6
62	в том	7	5
63	так что	2	5
64	в глаза	2	5
65	как к	2	5
66	и даже	3	5
67	в романах	13	5
68	когда я	2	5
69	даже в	3	5
70	как в	8	5
71	в себе	2	5
72	на протяжении	3	5
73	никогда не	3	4
74	романах достоевского	15	4
75	с другой	3	4
76	та же	4	4
77	в мире	4	4
78	сливается с	3	4
79	он боится	2	4
80	до конца	2	4
81	на его	3	4
82	же и	2	4
83	где он	2	4
84	но он	2	4
85	так как	3	4
86	у него	7	4
87	тот же	2	4
88	с которым	2	4
89	еще в	2	4
90	протяжении всего	2	4
91	в своей	4	4
92	только на	2	4
93	а не	5	4
94	что не	2	4
95	и у	2	4
96	как будто	5	4
97	в творчестве	6	4
98	что ты	2	4
99	в чем	2	4
100	уже в	3	3
101	ибо в	2	3
102	мире достоевского	3	3
103	и от	4	3
104	такой же	2	3
105	в повести	5	3
106	свое лицо	2	3
107	в него	2	3
108	в виду	2	3
109	которого он	2	3
110	с ее	3	3
111	в целом	4	3
112	из них	2	3
113	в одной	2	3
114	записок из	3	3
115	это как	3	3
116	но только	2	3
117	не мог	2	3
118	того что	3	3
119	это не	4	3
120	сказать что	2	3
121	человека с	2	3
122	себя как	2	3
123	своего собственного	2	3
124	в котором	6	3
125	эти слова	2	3
126	это и	3	3
127	том что	11	3
128	время не	2	3
129	достоевского это	4	3
130	со всеми	3	3
131	не могу	2	3
132	достоевского в	12	3
133	что и	2	3
134	героев достоевского	3	3
135	когда он	2	3
136	только что	2	3
137	так вот	2	3
138	уже не	3	3
139	так сказать	2	2
140	не менее	6	2
141	времени и	4	2
142	это уже	5	2
143	в этих	2	2
144	и мир	2	2
145	переходит в	2	2
146	что все	3	2
147	это в	3	2
148	что его	2	2
149	в дальнейшем	3	2
150	себя но	2	2
151	при этом	7	2
152	кто же	2	2
153	было в	2	2
154	хотя и	3	2
155	в своем	4	2
156	человека как	2	2
157	достоевского и	3	2
158	и по	3	2
159	а что	2	2
160	в ней	2	2
161	к ней	2	2
162	для достоевского	4	2
163	ни на	3	2
164	о том	6	2
165	в первом	2	2
166	нет ни	2	2
167	я и	3	2
168	а как	2	2
169	и та	2	2
170	однако в	2	2
171	в жизни	2	2
172	надо было	2	2
173	а затем	2	2
174	и того	2	2
175	то в	2	2
176	одной из	4	2
177	своего рода	4	2
178	вместе с	2	2
179	говорит о	3	2
180	приводит к	2	2
181	в отличие	2	2
182	и он	2	2
183	и как	4	2
184	хотя бы	5	2
185	иван карамазов	2	2
186	в которой	3	2
187	той же	3	2
188	или в	2	2
189	в рассказе	3	2
190	не случайно	4	2
191	в записках	4	2
192	связан с	3	2
193	отличие от	2	2
