N	2gram	Potebnia_M_2	KFilosof
1	может быть	23	43
2	в его	2	39
3	в нем	9	31
4	не может	12	27
5	и не	19	26
6	по отношению	2	25
7	и в	24	22
8	в котором	4	21
9	в себе	10	21
10	для меня	4	20
11	не есть	6	19
12	а не	18	17
13	и его	2	17
14	только в	11	16
15	в этом	8	13
16	для него	10	12
17	но не	12	12
18	и это	2	12
19	все эти	2	11
20	не в	13	11
21	из себя	2	10
22	это не	3	10
23	все это	2	10
24	от себя	2	10
25	во всех	7	10
26	и есть	2	9
27	в целом	3	9
28	но и	9	9
29	как бы	9	9
30	и все	3	9
31	для нее	2	9
32	и для	3	9
33	не было	6	8
34	если бы	11	8
35	было бы	13	8
36	со стороны	3	8
37	и здесь	2	7
38	во всем	2	7
39	вовсе не	9	7
40	что и	11	7
41	то что	20	7
42	в себя	2	7
43	быть только	2	7
44	в том	18	6
45	но это	3	6
46	и только	6	6
47	и их	5	6
48	уже не	4	6
49	никогда не	4	5
50	хотя бы	2	5
51	то же	12	5
52	но все	2	5
53	не имеет	6	5
54	должно быть	2	5
55	его в	3	5
56	с ним	5	5
57	но в	4	5
58	как и	7	5
59	не только	15	5
60	все же	5	5
61	там где	4	5
62	место в	4	4
63	что в	16	4
64	время и	2	4
65	ни было	3	4
66	для нас	31	4
67	при этом	13	4
68	с ними	3	4
69	между тем	6	4
70	бы быть	3	4
71	в одном	6	4
72	не как	3	4
73	том что	8	4
74	только как	6	4
75	а в	8	4
76	тем самым	4	4
77	в каком	3	4
78	в чем	7	4
79	и весь	2	3
80	независимо от	9	3
81	что это	3	3
82	не менее	5	3
83	в каждом	2	3
84	предмета в	2	3
85	в свою	6	3
86	не дает	2	3
87	не имеем	3	3
88	и тем	3	3
89	от того	5	3
90	того что	7	3
91	рядом с	3	3
92	и на	8	3
93	в ней	3	3
94	в то	6	3
95	о том	5	3
96	мы не	11	3
97	всех этих	2	3
98	тогда когда	10	3
99	этом смысле	2	3
100	не должно	2	3
101	от него	4	3
102	могла бы	3	3
103	еще не	4	3
104	бы не	5	3
105	на самом	2	3
106	самом деле	2	3
107	для того	5	3
108	что не	5	3
109	тем как	2	3
110	тем что	7	3
111	могут быть	8	3
112	в другом	2	3
113	слова в	5	2
114	а с	2	2
115	ни был	2	2
116	прежде всего	7	2
117	вопрос о	2	2
118	пространство и	2	2
119	тем не	6	2
120	и как	6	2
121	только по	3	2
122	совсем не	2	2
123	же время	2	2
124	знать что	2	2
125	себя и	2	2
126	его с	2	2
127	по себе	15	2
128	тому что	2	2
129	что есть	2	2
130	быть не	3	2
131	что за	2	2
132	и других	2	2
133	все остальные	5	2
134	потому что	49	2
135	предмет как	2	2
136	а это	2	2
137	в сознании	23	2
138	что только	2	2
139	с его	2	2
140	и то	3	2
141	с тем	4	2
142	в жизни	2	2
143	к этому	2	2
144	думать что	3	2
145	что он	4	2
146	и того	6	2
147	тот же	5	2
148	и может	3	2
149	и тот	2	2
150	кажется что	3	2
151	и потому	2	2
152	этого слова	6	2
153	оно не	3	2
154	так и	5	2
155	как в	10	2
156	вытекает из	2	2
157	чего не	2	2
158	если не	4	2
159	того чтобы	2	2
160	отношении к	2	2
161	его на	2	2
162	как оно	2	2
