N	2gram	Ircho_Kome_1	VLabPisa
1	таким образом	8	27
2	в этом	3	26
3	и в	22	25
4	и т	9	24
5	не только	10	22
6	может быть	9	21
7	и не	8	19
8	т е	13	17
9	не может	2	17
10	в его	5	15
11	т д	4	15
12	прежде всего	5	13
13	в том	11	13
14	этом отношении	3	13
15	в частности	3	12
16	все это	5	12
17	как это	3	12
18	с другой	5	11
19	в силу	2	11
20	из них	10	11
21	в качестве	4	10
22	о том	8	10
23	к этому	4	9
24	что в	6	9
25	но и	11	9
26	то же	6	9
27	т п	5	9
28	на основании	3	8
29	другой стороны	5	8
30	могут быть	3	8
31	не следует	2	8
32	в году	3	7
33	же в	4	7
34	как и	9	7
35	том что	12	7
36	было бы	2	7
37	отношению к	3	7
38	вместе с	2	7
39	по отношению	3	7
40	у него	3	6
41	в себе	2	6
42	то что	2	6
43	главным образом	3	6
44	в нем	4	6
45	так и	5	6
46	или менее	2	6
47	и его	8	6
48	между тем	5	6
49	в то	10	6
50	в результате	4	5
51	же время	4	5
52	все же	3	5
53	один из	5	5
54	в их	4	5
55	действующих лиц	4	5
56	только в	3	5
57	не в	6	5
58	к тому	6	4
59	в одном	8	4
60	в целом	3	4
61	что он	6	4
62	художественный образ	2	4
63	одна из	2	4
64	в самом	2	4
65	даже в	3	4
66	как раз	3	4
67	в них	3	4
68	чем же	2	4
69	в этой	7	4
70	в противоположность	2	3
71	во время	5	3
72	и ее	3	3
73	и как	3	3
74	и мир	2	3
75	в конце	6	3
76	одном из	4	3
77	только что	2	3
78	мы знаем	2	3
79	у нас	3	3
80	мы видели	2	3
81	из его	4	3
82	что они	4	3
83	или в	2	3
84	по поводу	4	3
85	со своим	5	3
86	вслед за	2	3
87	в котором	4	3
88	его в	3	3
89	что и	4	3
90	ее в	2	3
91	видно из	2	3
92	именно в	4	3
93	образом в	2	3
94	и по	6	3
95	при всем	2	3
96	так же	3	3
97	точки зрения	4	3
98	не менее	3	2
99	и формы	2	2
100	к сожалению	2	2
101	вовсе не	2	2
102	от них	2	2
103	ли не	4	2
104	ли это	2	2
105	до сих	2	2
106	но не	2	2
107	как известно	2	2
108	по одному	2	2
109	еще не	2	2
110	одной стороны	3	2
111	же самое	2	2
112	одной из	3	2
113	видеть в	2	2
114	конце концов	4	2
115	относится к	2	2
116	и даже	5	2
117	всяком случае	2	2
118	сих пор	2	2
119	до нас	5	2
120	между прочим	2	2
121	даже не	2	2
122	а в	6	2
123	еще и	2	2
124	с одной	3	2
125	в течение	3	2
126	из которых	2	2
127	от до	2	2
128	к этим	3	2
129	войны и	5	2
130	в своих	2	2
131	если они	2	2
132	во всяком	2	2
133	хотя и	3	2
134	он не	3	2
135	в другом	4	2
136	ту же	2	2
137	будто бы	2	2
138	в образе	3	2
139	в чем	3	2
140	в которой	6	2
141	в области	2	2
142	же как	3	2
143	в сознании	3	2
144	но в	4	2
