N	2gram	Bakhtin_sl_1	DiskursI
1	в себе	3	19
2	при этом	6	17
3	в качестве	3	16
4	и в	41	16
5	может быть	14	16
6	как и	4	16
7	в этом	12	16
8	и не	16	15
9	а не	15	14
10	в частности	2	12
11	то есть	26	12
12	но и	16	11
13	но в	8	11
14	том что	2	10
15	не только	16	10
16	такого рода	2	9
17	так и	11	9
18	не может	14	9
19	в том	3	8
20	а также	2	8
21	как в	8	8
22	прежде всего	8	7
23	в нем	30	7
24	но не	2	7
25	в данном	3	7
26	с его	4	6
27	себя в	9	6
28	еще не	4	6
29	все же	7	6
30	в своей	7	6
31	данном случае	3	6
32	то же	14	6
33	а с	2	5
34	в своем	3	5
35	с другой	5	5
36	же время	12	5
37	для него	3	5
38	и на	14	5
39	в то	14	5
40	в одном	2	4
41	одного из	2	4
42	к этому	2	4
43	в пределах	14	4
44	одной стороны	4	4
45	как бы	12	4
46	с одной	4	4
47	роль в	2	4
48	потому что	2	4
49	в основе	5	4
50	точки зрения	16	4
51	и то	2	4
52	о том	3	4
53	не является	2	4
54	перед нами	4	3
55	и может	3	3
56	могут быть	19	3
57	в этих	2	3
58	в них	6	3
59	столь же	2	3
60	это не	6	3
61	из этих	3	3
62	и все	4	3
63	или иной	9	3
64	уже не	2	3
65	не в	7	3
66	своего и	2	3
67	здесь в	4	3
68	в контексте	2	3
69	можно сказать	2	3
70	например в	2	3
71	он не	3	3
72	той или	9	3
73	в его	13	3
74	в котором	2	3
75	из них	3	3
76	и ее	3	3
77	не было	3	3
78	все эти	9	3
79	внутренней речи	3	3
80	и наконец	4	3
81	также и	3	3
82	и его	14	3
83	в другом	2	3
84	только в	6	3
85	жизни но	2	3
86	его в	3	3
87	же как	2	2
88	никогда не	3	2
89	этого жанра	2	2
90	или напротив	2	2
91	и одновременно	2	2
92	и чужого	2	2
93	и всякое	2	2
94	в большинстве	10	2
95	в целом	2	2
96	или иного	2	2
97	этом случае	2	2
98	интерес к	2	2
99	в той	10	2
100	не требует	3	2
101	того же	6	2
102	одно и	2	2
103	отношение к	7	2
104	со своим	5	2
105	в ней	4	2
106	далеко не	5	2
107	в свое	3	2
108	на почве	4	2
109	не с	2	2
110	с ее	4	2
111	с точки	8	2
112	рассказчика и	3	2
113	с ней	2	2
114	в языке	5	2
115	не на	5	2
116	входит в	4	2
117	именно в	3	2
118	по преимуществу	4	2
119	к своему	6	2
120	все это	5	2
121	другой стороны	4	2
122	речи в	4	2
123	романа и	5	2
124	и для	4	2
125	должно быть	2	2
126	а в	6	2
127	той же	2	2
128	в результате	3	2
129	и с	4	2
130	в сочетании	2	2
131	рассказ в	2	2
132	здесь не	2	2
133	но здесь	3	2
134	романного жанра	7	2
135	непосредственно и	2	2
136	между тем	2	2
137	произведения как	3	2
