N	2gram	Savitsky_E_1	Tvorches
1	и в	37	21
2	как бы	6	17
3	в то	16	15
4	в его	2	13
5	то же	15	13
6	что в	21	12
7	как и	7	12
8	же время	14	12
9	то есть	6	12
10	том что	6	11
11	как в	3	8
12	он не	2	8
13	то что	6	8
14	во многом	2	7
15	в свою	3	7
16	в том	11	7
17	тем самым	5	7
18	не только	18	7
19	и не	14	7
20	и на	6	7
21	но в	14	7
22	он сам	2	6
23	жизни в	3	6
24	и все	2	6
25	в котором	2	6
26	а в	2	6
27	в этом	12	6
28	о том	3	6
29	отнюдь не	9	5
30	по нашему	3	5
31	вовсе не	6	5
32	а не	2	5
33	может быть	6	5
34	в этой	2	5
35	таким образом	2	5
36	нашему мнению	2	5
37	хотя бы	15	5
38	в своих	2	5
39	потому что	3	5
40	как будто	2	5
41	только в	9	5
42	в своем	14	4
43	прежде всего	9	4
44	в мире	2	4
45	и как	2	4
46	из всех	3	4
47	одной из	5	4
48	в своей	8	4
49	не может	9	4
50	с большой	2	4
51	и от	3	4
52	место в	3	3
53	никогда не	3	3
54	с другой	7	3
55	что все	2	3
56	представление о	2	3
57	говорит о	3	3
58	но не	5	3
59	в самом	4	3
60	но если	5	3
61	даже в	4	3
62	жизни и	2	3
63	время в	3	3
64	но и	14	3
65	ее в	3	3
66	в их	11	3
67	и других	2	3
68	того что	7	3
69	и даже	6	3
70	и по	5	3
71	так же	9	3
72	и с	2	3
73	хотя и	2	3
74	в виде	5	3
75	в россии	5	3
76	далеко не	2	3
77	дело в	3	3
78	представляет собой	3	3
79	так как	7	3
80	ни на	3	3
81	такой же	2	2
82	и та	2	2
83	все более	9	2
84	в частности	5	2
85	в этих	2	2
86	в качестве	14	2
87	есть не	2	2
88	можно сказать	4	2
89	что и	3	2
90	влияние на	2	2
91	не в	5	2
92	то в	4	2
93	отношений между	2	2
94	иными словами	4	2
95	того же	3	2
96	не нужно	2	2
97	из них	3	2
98	к тому	8	2
99	следовало бы	2	2
100	по преимуществу	2	2
101	в ней	4	2
102	к ней	4	2
103	если в	2	2
104	себе не	3	2
105	и тем	3	2
106	не будет	3	2
107	во второй	3	2
108	когда он	3	2
109	вместе с	2	2
110	данном случае	2	2
111	так и	10	2
112	вслед за	6	2
113	во всей	2	2
114	и того	2	2
115	именно в	4	2
116	еще более	2	2
117	не означает	2	2
118	в направлении	4	2
119	и наконец	2	2
120	и притом	4	2
121	или в	2	2
122	сказать что	4	2
123	могут быть	2	2
124	в данном	3	2
125	в себе	9	2
126	каких бы	2	2
127	при помощи	2	2
128	мира в	4	2
