N	2gram	Tiupa_Teor_1	Marksizm
1	может быть	17	28
2	и в	18	19
3	как бы	5	19
4	и не	13	19
5	не может	4	18
6	точки зрения	9	17
7	то же	7	16
8	и его	8	16
9	в этом	8	15
10	таким образом	3	14
11	лишь в	6	14
12	не только	16	13
13	с точки	3	13
14	речи и	2	13
15	в нем	4	11
16	если бы	3	11
17	вовсе не	3	11
18	не в	7	10
19	в пределах	5	10
20	но и	9	10
21	том что	9	10
22	так и	10	10
23	и т.п	4	10
24	для него	2	9
25	при этом	12	9
26	в основе	3	9
27	как и	4	9
28	на почве	4	9
29	а не	9	9
30	слова в	2	8
31	отнюдь не	3	8
32	же время	5	8
33	не является	4	8
34	по отношению	4	8
35	в то	6	8
36	с его	5	8
37	отношению к	4	8
38	только в	6	8
39	никогда не	4	7
40	высказывания в	3	7
41	в том	16	7
42	его в	2	7
43	но в	9	7
44	прежде всего	2	7
45	внутренней речи	13	7
46	и для	2	7
47	к тому	2	6
48	ни в	2	6
49	и как	2	6
50	в свою	3	6
51	в самом	4	6
52	между тем	5	6
53	быть и	2	6
54	если мы	2	6
55	– не	4	6
56	свою очередь	2	5
57	– как	2	5
58	в большинстве	2	5
59	или иной	4	5
60	в контексте	3	5
61	в форме	2	5
62	в их	2	5
63	так же	2	5
64	и здесь	2	5
65	и того	3	5
66	– и	2	5
67	того же	3	5
68	в его	6	5
69	этого слова	3	5
70	в той	2	5
71	в данном	8	5
72	отношении к	2	5
73	в душе	8	4
74	тому что	2	4
75	в отношении	3	4
76	это не	2	4
77	одного и	3	4
78	в формах	2	4
79	то что	3	4
80	и тем	3	4
81	того что	4	4
82	сказать что	3	4
83	как раз	2	4
84	– в	15	4
85	– это	18	4
86	в слове	3	4
87	и ее	3	4
88	в себе	9	4
89	и т.д	3	4
90	перед нами	2	3
91	в этих	3	3
92	в какой	2	3
93	столь же	2	3
94	с другой	7	3
95	для понимания	2	3
96	как система	2	3
97	в этой	3	3
98	– с	5	3
99	одной стороны	2	3
100	– на	3	3
101	за пределы	2	3
102	значения и	2	3
103	а в	13	3
104	с одной	2	3
105	все эти	2	3
106	в другом	3	3
107	языка в	4	3
108	в ее	5	3
109	у нас	2	3
110	в качестве	24	3
111	еще не	4	3
112	одной из	2	3
113	он не	3	3
114	что и	2	3
115	не будет	2	3
116	в своей	6	3
117	в отличие	6	3
118	на основе	2	3
119	с другими	5	3
120	и то	2	3
121	могут быть	4	3
122	и это	2	3
123	речи а	2	3
124	отличие от	6	3
125	место в	5	2
126	делает его	2	2
127	что в	9	2
128	в нашем	4	2
129	не знает	3	2
130	более или	2	2
131	в узком	3	2
132	в следующей	2	2
133	во внутренней	2	2
134	одним из	2	2
135	его внешней	2	2
136	в своем	4	2
137	отношения к	2	2
138	именно в	3	2
139	и даже	2	2
140	коем случае	2	2
141	форм высказывания	2	2
142	не следует	4	2
143	к его	2	2
144	и является	2	2
145	одно слово	2	2
146	того или	3	2
147	то есть	12	2
148	в жизни	2	2
149	или иного	3	2
150	не с	3	2
151	в коем	2	2
152	– может	2	2
153	но не	9	2
154	от своего	2	2
155	внутренней и	2	2
156	внутреннего мира	2	2
157	и о	4	2
158	и потому	2	2
159	в диалоге	2	2
160	и особенно	2	2
161	себя в	6	2
162	или менее	2	2
163	приводит к	5	2
164	не на	2	2
165	соединении с	2	2
166	а с	3	2
167	на языке	2	2
168	сводится к	5	2
169	между ними	4	2
170	без исключения	4	2
171	или в	3	2
172	слова как	3	2
173	далеко не	2	2
174	и внешней	3	2
175	принадлежит только	2	2
176	всех без	3	2
177	это было	2	2
178	вместе с	2	2
