N	2gram	Tiupa_Narr_2	Literetu
1	не только	26	24
2	при этом	14	19
3	в качестве	14	17
4	но и	15	17
5	а не	17	16
6	в том	14	16
7	в частности	11	15
8	том что	13	14
9	может быть	10	13
10	тогда как	15	13
11	и не	14	12
12	в этом	13	12
13	состоит в	12	11
14	прежде всего	6	11
15	в своем	6	11
16	своего рода	9	11
17	такого рода	12	10
18	то что	8	10
19	хх века	2	10
20	художественного письма	2	9
21	или иначе	2	9
22	не в	8	8
23	в целом	3	8
24	и в	13	8
25	в тексте	8	8
26	только в	11	8
27	как это	4	8
28	не менее	4	7
29	я не	5	7
30	коммуникативного события	8	7
31	в его	6	7
32	как бы	6	7
33	уже не	4	7
34	в себе	8	7
35	в рамках	6	6
36	в жизни	6	6
37	как и	4	6
38	и сам	3	6
39	себя в	2	6
40	того что	6	6
41	точки зрения	5	6
42	то есть	9	6
43	с его	3	5
44	с этой	3	5
45	что он	5	5
46	же в	4	5
47	собственного я	2	5
48	же время	3	5
49	я в	5	5
50	в конечном	3	5
51	а также	6	5
52	для себя	3	5
53	как в	5	5
54	не может	8	5
55	то же	4	5
56	в отличие	5	5
57	тем самым	5	5
58	в данном	10	5
59	не столько	5	5
60	в то	5	5
61	отличие от	5	5
62	конечном счете	3	4
63	столь же	2	4
64	это не	3	4
65	в конце	4	4
66	другого сознания	2	4
67	в случае	2	4
68	в силу	4	4
69	представляет собой	16	4
70	и адресата	2	4
71	но не	3	4
72	еще не	2	4
73	и тем	5	4
74	все же	6	4
75	в своей	4	4
76	коммуникативное событие	6	4
77	данном случае	6	4
78	со стороны	6	4
79	так и	9	4
80	и т.п	6	4
81	никогда не	6	4
82	всего лишь	6	4
83	и его	3	4
84	ведет к	2	4
85	как раз	3	4
86	в своих	2	4
87	в этой	4	4
88	в душе	2	3
89	что в	4	3
90	с другой	5	3
91	человеческого я	5	3
92	при всей	4	3
93	сводится к	9	3
94	не должен	2	3
95	да и	3	3
96	не сводится	7	3
97	одна из	3	3
98	в культуре	2	3
99	в самом	2	3
100	несмотря на	2	3
101	у него	6	3
102	один из	3	3
103	жизни и	4	3
104	по отношению	5	3
105	а в	9	3
106	таким образом	5	3
107	более чем	2	3
108	в принципе	2	3
109	и даже	3	3
110	xix столетия	2	3
111	той же	2	3
112	потому что	2	3
113	одно из	2	3
114	к себе	7	3
115	но в	6	3
116	по своей	3	3
117	далеко не	5	3
118	в области	2	3
119	мира в	4	3
120	классического реализма	2	2
121	а как	3	2
122	коммуникативном событии	3	2
123	должна быть	2	2
124	отнюдь не	4	2
125	однако в	2	2
126	в равной	2	2
127	превращается в	2	2
128	по мысли	5	2
129	из этих	2	2
130	подобно тому	2	2
131	но при	4	2
132	в себя	4	2
133	и рецептивного	2	2
134	личность не	3	2
135	в мире	4	2
136	к тому	9	2
137	но одновременно	2	2
138	тем не	5	2
139	тому же	4	2
140	и того	3	2
141	в другом	4	2
142	что я	3	2
143	или иной	3	2
144	отношения между	2	2
145	для него	4	2
146	читателя в	4	2
147	одной стороны	5	2
148	было бы	2	2
149	по поводу	2	2
150	о своем	2	2
151	не является	4	2
152	не могло	2	2
153	из наиболее	2	2
154	в нем	5	2
155	отношению к	5	2
156	не к	4	2
157	на том	3	2
158	жизни с	2	2
159	только на	2	2
160	то и	3	2
161	в коммуникативном	3	2
162	жизни на	2	2
163	этом отношении	3	2
164	с одной	5	2
165	все эти	3	2
166	самом деле	3	2
167	бы на	2	2
168	хотя бы	2	2
169	с точки	2	2
170	на второй	2	2
171	своей собственной	2	2
172	роль в	2	2
173	в слове	3	2
174	можно было	2	2
175	тому как	2	2
176	самим собой	3	2
177	не случайно	2	2
178	между тем	3	2
179	тем более	2	2
180	нового времени	2	2
181	как правило	3	2
182	автора в	2	2
183	о том	5	2
184	как он	2	2
185	с собачкой	10	2
186	дамы с	7	2
187	которая не	2	2
188	в сознании	2	2
