N	2gram	Ircho_Kome_2	Stilisti
1	и в	26	42
2	как бы	2	27
3	не только	7	27
4	прежде всего	4	22
5	хотя бы	2	17
6	но и	10	15
7	то же	3	15
8	и не	14	14
9	может быть	11	12
10	не может	3	12
11	точки зрения	4	11
12	как и	4	11
13	отнюдь не	2	10
14	как мы	4	10
15	в этом	10	10
16	в то	6	9
17	то что	6	9
18	для того	5	9
19	мы не	2	9
20	все же	4	8
21	в ней	3	8
22	таким образом	6	8
23	с тем	5	8
24	и это	2	8
25	и от	4	7
26	же время	3	7
27	и на	7	7
28	потому что	6	7
29	так как	4	7
30	с его	5	7
31	было бы	8	7
32	того чтобы	6	7
33	и его	12	7
34	мы можем	3	7
35	только в	4	7
36	в которой	5	7
37	не в	2	6
38	в этой	3	6
39	в конце	2	6
40	в нем	6	6
41	во всех	3	6
42	так и	12	6
43	уже в	4	5
44	независимо от	5	5
45	в нашем	2	5
46	тому что	4	5
47	не является	2	5
48	и их	3	5
49	а в	3	5
50	и с	5	5
51	как это	4	5
52	в его	4	5
53	вместе с	9	5
54	в той	2	5
55	той же	3	5
56	все время	2	4
57	что это	4	4
58	в каждом	3	4
59	того времени	3	4
60	что именно	2	4
61	к тому	12	4
62	с самого	2	4
63	но все	3	4
64	в качестве	5	4
65	в самом	4	4
66	один из	5	4
67	все это	3	4
68	о том	6	4
69	его в	4	4
70	бы в	2	4
71	но в	3	4
72	если бы	9	4
73	и к	2	4
74	себя в	3	4
75	всего в	2	4
76	можно было	4	4
77	на это	2	4
78	связанных с	2	3
79	что у	4	3
80	это не	2	3
81	для нас	3	3
82	хотя и	4	3
83	в котором	3	3
84	представить себе	3	3
85	в целом	4	3
86	из них	7	3
87	жизни и	3	3
88	от того	2	3
89	и здесь	6	3
90	в начале	4	3
91	в виду	2	3
92	теперь в	2	3
93	и все	2	3
94	в одном	2	3
95	об этом	2	3
96	в ее	2	3
97	том что	9	3
98	в тех	3	3
99	еще не	6	3
100	нет и	2	3
101	так называемой	3	3
102	что и	7	3
103	да и	3	3
104	если не	2	3
105	и для	4	3
106	роль в	2	3
107	связи с	3	3
108	ответ на	3	3
109	и поэтому	3	3
110	в голову	2	2
111	место в	4	2
112	бы и	2	2
113	в частности	4	2
114	друг другу	3	2
115	в какой	2	2
116	человека в	3	2
117	не всегда	2	2
118	вопрос о	3	2
119	в мире	2	2
120	в том	11	2
121	тому же	11	2
122	и сам	3	2
123	в этих	4	2
124	отношение к	2	2
125	не говоря	2	2
126	целый ряд	2	2
127	в связи	3	2
128	не было	3	2
129	мы имеем	2	2
130	в какой-то	2	2
131	для всех	3	2
132	однако в	2	2
133	это слово	4	2
134	с этим	5	2
135	в так	2	2
136	к этому	5	2
137	с собой	2	2
138	ясно что	8	2
139	что он	5	2
140	даже на	2	2
141	только потому	2	2
142	должна была	2	2
143	чуть ли	2	2
144	но не	3	2
145	по своему	2	2
146	а на	2	2
147	тот же	2	2
148	одной из	4	2
149	как не	2	2
150	в своей	3	2
151	сих пор	2	2
152	как в	3	2
153	при всем	3	2
154	все больше	2	2
155	ли не	7	2
156	мы найдем	3	2
157	из которых	3	2
158	к нему	3	2
159	да еще	2	2
160	или в	3	2
161	тем что	3	2
162	которые в	2	2
163	в середине	4	2
