N	2gram	Losev_Dial_4	Freidism
1	таким образом	5	24
2	и не	30	23
3	– это	5	21
4	не может	11	20
5	точки зрения	14	19
6	прежде всего	11	18
7	и пр	9	15
8	в этом	11	15
9	в его	4	15
10	это –	25	14
11	мы можем	3	13
12	может быть	17	13
13	и его	7	12
14	– в	15	11
15	как и	7	11
16	как бы	14	11
17	то что	16	11
18	все эти	3	11
19	с точки	9	11
20	и потому	3	10
21	так и	5	10
22	с ним	3	10
23	но в	3	10
24	с его	5	9
25	и в	15	9
26	во всех	2	9
27	все что	2	8
28	что он	7	8
29	еще не	4	8
30	в своей	3	8
31	не только	8	8
32	все это	9	8
33	то же	9	8
34	только в	7	8
35	и все	11	8
36	оно и	3	8
37	психической жизни	2	8
38	так как	14	8
39	ни в	8	7
40	во всяком	2	7
41	один из	4	7
42	в самом	2	7
43	что же	2	7
44	– не	5	7
45	и наконец	3	7
46	сказать что	6	7
47	мы уже	3	7
48	– как	5	6
49	никогда не	2	6
50	вовсе не	6	6
51	и ее	8	6
52	за пределы	3	6
53	того что	13	6
54	в ней	5	6
55	совершенно не	3	6
56	хотя бы	4	6
57	– все	3	6
58	и с	4	6
59	но мы	2	5
60	в свою	3	5
61	можно сказать	5	5
62	не в	8	5
63	в этой	4	5
64	в чем	8	5
65	для этого	2	5
66	в то	6	5
67	что такое	5	5
68	что в	7	5
69	но и	4	5
70	в себя	5	5
71	оно –	3	5
72	для того	5	5
73	и на	5	5
74	могут быть	3	5
75	с этим	3	5
76	в каком	5	5
77	мы должны	4	5
78	не менее	2	4
79	я не	5	4
80	в котором	2	4
81	сознания и	3	4
82	то ни	4	4
83	из этих	2	4
84	в жизни	5	4
85	не дает	2	4
86	если мы	5	4
87	в собственном	3	4
88	об этом	3	4
89	же время	6	4
90	– и	4	4
91	на этом	3	4
92	при этом	2	4
93	другими словами	5	4
94	– только	3	4
95	конечно не	2	4
96	и о	8	4
97	от того	2	4
98	как раз	4	4
99	в основе	10	4
100	в нем	5	4
101	все же	2	4
102	на основании	3	4
103	не было	2	4
104	мы находим	2	4
105	уже не	9	4
106	того чтобы	5	4
107	и для	5	4
108	в которой	2	4
109	той же	5	4
110	мы не	9	4
111	с ними	4	4
112	с их	4	4
113	в данном	3	4
114	потому что	10	4
115	себя и	3	4
116	говорить о	11	4
117	не могут	2	3
118	нисколько не	2	3
119	главным образом	2	3
120	если бы	6	3
121	и есть	19	3
122	в них	2	3
123	что все	4	3
124	в себе	8	3
125	это как	2	3
126	теперь мы	7	3
127	и как	4	3
128	но это	4	3
129	учение о	5	3
130	случае не	2	3
131	она не	4	3
132	и может	2	3
133	было бы	9	3
134	ни о	3	3
135	ни на	6	3
136	и той	3	3
137	ее в	2	3
138	нет никакого	3	3
139	с ее	10	3
140	себя в	2	3
141	жизни и	4	3
142	когда он	3	3
143	вместе с	2	3
144	собственном смысле	2	3
145	со стороны	3	3
146	как в	3	3
147	одной и	3	3
148	и вот	11	3
149	и что	9	3
150	свою очередь	2	3
151	можем сказать	2	3
152	и по	2	3
153	мы имеем	5	3
154	об его	3	3
155	ничего общего	4	3
156	человека и	2	3
157	это учение	2	3
158	есть и	3	2
159	в отношении	2	2
160	или иное	3	2
161	но все	2	2
162	только не	3	2
163	что это	13	2
164	и об	3	2
165	для всех	3	2
166	быть и	3	2
167	всей его	2	2
168	и ни	2	2
169	миф и	3	2
170	это не	12	2
171	оно не	2	2
172	же что	3	2
173	факты и	2	2
174	– совершенно	4	2
175	к этому	3	2
176	это утверждение	2	2
177	в одну	3	2
178	только о	3	2
179	чувства и	2	2
180	и уже	4	2
181	тем не	2	2
182	в ее	2	2
183	да и	2	2
184	это и	9	2
185	том что	10	2
186	слово –	2	2
187	а не	18	2
188	что с	2	2
189	в нашей	2	2
190	и часто	2	2
191	на другую	4	2
192	из них	2	2
193	что мы	7	2
194	но для	2	2
195	но если	5	2
196	о нем	2	2
197	в своем	5	2
198	себе и	2	2
199	в этот	2	2
200	для нее	2	2
201	только для	3	2
202	как не	2	2
203	что она	5	2
204	в их	3	2
205	во всей	2	2
206	от этих	2	2
207	отношения к	3	2
208	что оно	7	2
209	должны быть	4	2
210	и даже	6	2
211	и притом	3	2
212	так же	4	2
213	отличие от	2	2
214	воли и	2	2
215	мы видим	4	2
216	и то	3	2
217	очень много	2	2
218	то или	3	2
219	от этого	3	2
220	чем же	2	2
221	вещи и	2	2
222	и тех	2	2
223	что и	6	2
224	и при	2	2
225	но как	2	2
226	и вообще	7	2
227	при помощи	3	2
228	общего не	2	2
229	тех же	2	2
230	в глубине	2	2
231	– мы	5	2
232	как это	2	2
233	в области	3	2
234	выйти за	5	2
235	в виду	9	2
236	возможно только	3	2
237	это было	2	2
