N	2gram	Vinokur_Ku_1	Problema
1	то что	9	38
2	и не	12	37
3	вовсе не	10	37
4	и в	24	35
5	не есть	4	33
6	не только	10	24
7	том что	21	19
8	даже и	3	18
9	о том	9	18
10	может быть	13	18
11	у нас	10	18
12	что такое	6	18
13	в этом	14	17
14	но и	6	16
15	в языке	8	15
16	только в	11	14
17	не менее	7	13
18	и что	5	13
19	потому что	23	13
20	во всяком	5	13
21	не может	7	13
22	тем не	4	12
23	в том	30	12
24	того что	9	12
25	также и	2	12
26	хотя бы	10	12
27	что в	17	11
28	прежде всего	9	11
29	так что	4	11
30	не просто	5	11
31	и даже	3	11
32	никак не	2	11
33	в таком	3	11
34	всяком случае	5	10
35	и с	5	10
36	тем более	2	10
37	еще не	5	10
38	а не	8	10
39	в данном	4	10
40	и то	3	10
41	ничего не	2	10
42	если мы	2	9
43	для нас	2	9
44	в этой	3	9
45	что же	6	9
46	уже не	8	8
47	было бы	15	8
48	в виду	5	8
49	этого термина	2	8
50	значение и	2	8
51	ясно что	3	8
52	по себе	2	8
53	как раз	8	8
54	все же	12	8
55	казалось бы	3	7
56	этом случае	2	7
57	не является	2	7
58	все эти	6	7
59	не имеет	2	7
60	того или	4	7
61	в его	12	7
62	так и	7	7
63	бы и	2	7
64	так как	9	7
65	тем самым	4	7
66	можно ли	2	6
67	с другой	7	6
68	что все	2	6
69	можно сказать	3	6
70	а только	8	6
71	ни в	2	6
72	о чем	2	6
73	так или	2	6
74	был бы	2	6
75	и т	33	6
76	а именно	2	6
77	а а	3	6
78	т д	14	6
79	в то	2	6
80	когда мы	2	6
81	на то	4	6
82	по крайней	5	6
83	относится к	2	6
84	крайней мере	5	6
85	и для	2	6
86	или иначе	2	6
87	но в	2	6
88	и вовсе	5	6
89	в области	7	6
90	в частности	4	5
91	представление о	3	5
92	или иной	3	5
93	в самом	10	5
94	языка и	8	5
95	в связи	3	5
96	или иного	3	5
97	с этим	4	5
98	так же	4	5
99	и на	4	5
100	и более	2	5
101	и все	2	5
102	этом смысле	3	5
103	как и	2	5
104	связи с	7	5
105	но уже	5	5
106	то же	8	5
107	что не	5	5
108	другой стороны	6	5
109	можно было	6	5
110	в себе	3	5
111	еще и	5	5
112	не могут	2	4
113	не говоря	2	4
114	что если	2	4
115	и есть	2	4
116	в этих	4	4
117	в своем	3	4
118	как таковой	2	4
119	и как	2	4
120	есть в	4	4
121	более или	3	4
122	в общем	3	4
123	между собою	2	4
124	как бы	7	4
125	и тем	2	4
126	что она	3	4
127	все это	6	4
128	мы говорим	2	4
129	таким образом	12	4
130	заключается в	2	4
131	а в	5	4
132	и значение	2	4
133	в результате	5	4
134	но если	2	4
135	и здесь	3	4
136	значение слова	3	4
137	тем что	8	4
138	если бы	9	4
139	что он	6	4
140	но не	5	4
141	до сих	4	4
142	тот же	2	4
143	гораздо более	3	4
144	сих пор	4	4
145	или менее	3	4
146	если не	3	4
147	на самом	2	4
148	самом деле	9	4
149	то и	2	4
150	в каком	2	4
151	слова и	4	4
152	не все	2	4
153	уже в	3	3
154	тому что	3	3
155	из этих	4	3
156	вопрос о	2	3
157	язык как	9	3
158	к тому	5	3
159	что они	4	3
160	несмотря на	3	3
161	и если	3	3
162	хотя и	3	3
163	и является	4	3
164	один из	4	3
165	то это	3	3
166	в целом	4	3
167	в их	3	3
168	для этого	3	3
169	не было	3	3
170	только и	3	3
171	при этом	6	3
172	лишь в	2	3
173	в науке	4	3
174	о языке	8	3
175	иное как	2	3
176	языка в	12	3
177	в истории	3	3
178	о котором	2	3
179	могли бы	2	3
180	но ведь	2	3
181	здесь только	2	3
182	а это	3	3
183	бы в	7	3
184	с тем	5	3
185	уже и	3	3
186	для них	2	3
187	как именно	2	3
188	что слово	3	3
189	тогда когда	6	3
190	только тогда	3	3
191	и того	2	3
192	это и	4	3
193	на том	3	3
194	оно не	3	3
195	внимание на	4	3
196	слова как	3	3
197	иной раз	2	3
198	все равно	2	3
199	можно говорить	2	3
200	для того	16	3
201	в слове	2	3
202	это только	3	3
203	в таких	4	3
204	как о	2	3
205	в той	5	2
206	не в	11	2
207	но все	2	2
208	что с	2	2
209	и мы	2	2
210	себе и	2	2
211	как они	2	2
212	в зависимости	5	2
213	в состоянии	2	2
214	сводится к	3	2
215	что оно	3	2
216	даже в	3	2
217	в системе	3	2
218	или в	2	2
219	должно быть	3	2
220	как на	3	2
221	может иметь	2	2
222	в ней	6	2
223	же и	2	2
224	мере в	6	2
225	точки зрения	14	2
226	себе в	3	2
227	во все	2	2
228	ли в	2	2
229	русском языке	4	2
230	были бы	2	2
231	в них	7	2
232	учение о	4	2
233	языка как	5	2
234	и при	2	2
235	зависимости от	6	2
236	в тех	4	2
237	в качестве	7	2
238	ли это	2	2
239	конечно не	2	2
240	и а	2	2
241	по преимуществу	2	2
242	он не	2	2
243	о нем	2	2
244	но вот	2	2
245	с историей	2	2
246	речь идет	2	2
247	что и	4	2
248	вместе с	7	2
249	того чтобы	17	2
250	свидетельствует о	2	2
251	что их	2	2
252	той же	3	2
253	роль в	4	2
254	на эту	2	2
255	во многих	2	2
256	здесь не	3	2
257	идет речь	2	2
258	здесь как	2	2
259	это было	2	2
