N	2gram	Losev_Prob_1	StatiiOP
1	и в	32	29
2	том что	12	27
3	в том	9	27
4	в этом	19	21
5	но и	9	19
6	что в	12	19
7	не только	17	19
8	о том	11	17
9	что он	7	13
10	в его	6	13
11	у пушкина	2	12
12	между прочим	2	12
13	то что	42	11
14	все это	7	11
15	в которой	2	11
16	к тому	3	10
17	таким образом	6	10
18	в своем	5	9
19	и т	11	9
20	так и	12	9
21	и не	31	9
22	потому что	16	9
23	он не	3	9
24	по поводу	4	8
25	и пр	4	8
26	как раз	13	8
27	но в	14	8
28	но все	3	7
29	с тем	5	7
30	в самом	6	7
31	в виду	6	7
32	в котором	5	7
33	в своей	8	7
34	вместе с	2	7
35	тому что	4	7
36	того как	3	7
37	для того	8	7
38	об этом	10	6
39	вовсе не	35	6
40	до сих	3	6
41	т д	10	6
42	и что	9	6
43	того чтобы	9	6
44	и его	3	6
45	и на	8	6
46	о чем	6	5
47	прежде всего	10	5
48	в качестве	2	5
49	было бы	8	5
50	обратить внимание	3	5
51	как бы	14	5
52	сих пор	3	5
53	а не	15	5
54	того что	7	5
55	между тем	2	5
56	точки зрения	3	5
57	именно в	4	4
58	с другой	3	4
59	не в	4	4
60	для него	2	4
61	кроме того	2	4
62	и о	8	4
63	хотя и	6	4
64	в нем	13	4
65	дело в	3	4
66	ничего не	10	4
67	при помощи	13	4
68	действующих лиц	2	4
69	связи с	5	4
70	и с	2	4
71	не менее	19	3
72	же как	2	3
73	что это	3	3
74	в этих	3	3
75	не является	5	3
76	но он	3	3
77	вообще не	2	3
78	оно не	3	3
79	с этим	3	3
80	на себя	2	3
81	по себе	15	3
82	ни в	7	3
83	у нас	14	3
84	меньше всего	2	3
85	так что	6	3
86	но это	8	3
87	но не	9	3
88	например в	2	3
89	никогда не	7	3
90	и даже	11	3
91	всяком случае	3	3
92	из них	3	3
93	другой стороны	3	3
94	по его	2	3
95	самом деле	6	3
96	как в	4	3
97	в их	4	3
98	не было	4	3
99	еще и	5	3
100	тем что	7	3
101	на самом	6	3
102	хотя бы	3	3
103	так же	9	3
104	во всяком	7	3
105	и здесь	6	3
106	иметь в	4	3
107	которые не	3	3
108	не то	2	3
109	в эту	2	3
110	в отношении	3	2
111	есть еще	3	2
112	с его	2	2
113	только не	3	2
114	если бы	4	2
115	по этому	3	2
116	в них	7	2
117	если не	4	2
118	для своего	2	2
119	в конце	6	2
120	конечно в	2	2
121	о которых	3	2
122	тем не	18	2
123	на тот	2	2
124	его как	2	2
125	в ее	3	2
126	только потому	3	2
127	нас не	2	2
128	говорит о	3	2
129	по существу	2	2
130	не потому	2	2
131	как и	3	2
132	и как	6	2
133	лучше сказать	2	2
134	в этой	10	2
135	что они	3	2
136	в истории	4	2
137	в то	6	2
138	по своему	9	2
139	случае не	3	2
140	в это	2	2
141	несмотря на	3	2
142	на его	2	2
143	такого рода	7	2
144	может быть	14	2
145	во внимание	2	2
146	никак не	4	2
147	и потому	2	2
148	искусства и	3	2
149	а также	4	2
150	на то	8	2
151	нет и	2	2
152	сами по	3	2
153	только в	7	2
154	ее в	2	2
155	также и	11	2
156	или менее	3	2
157	только что	2	2
158	совершенно не	6	2
159	не на	3	2
160	не может	8	2
161	этому поводу	3	2
162	то же	10	2
163	все эти	8	2
164	при этом	6	2
165	более или	3	2
166	что такое	6	2
167	на этот	3	2
168	не имеет	2	2
169	с точки	3	2
170	особенно в	2	2
171	что этот	2	2
172	в данном	9	2
173	в результате	2	2
174	сказать что	13	2
175	в каком	3	2
176	в себе	15	2
177	и вообще	4	2
178	его в	6	2
179	как он	4	2
180	и это	9	2
181	и всегда	2	2
182	и который	2	2
183	так как	11	2
184	как это	6	2
185	того же	3	2
186	в области	2	2
187	это было	2	2
