N	2gram	Tiupa_Hudo_2	DiskursI
1	в себе	9	19
2	при этом	11	17
3	состоит в	7	16
4	в качестве	4	16
5	и в	28	16
6	может быть	8	16
7	как и	11	16
8	в этом	13	16
9	и не	18	15
10	а не	14	14
11	в частности	7	12
12	в мире	7	11
13	но и	9	11
14	тогда как	7	11
15	но в	2	11
16	том что	19	10
17	не только	11	10
18	своего рода	16	10
19	со стороны	3	10
20	так и	8	9
21	не может	4	9
22	в том	15	8
23	а также	2	8
24	как в	5	8
25	не менее	5	7
26	прежде всего	3	7
27	в нем	3	7
28	но не	4	7
29	в данном	2	7
30	с его	5	6
31	отнюдь не	2	6
32	себя в	8	6
33	еще не	3	6
34	все же	2	6
35	в своей	6	6
36	данном случае	2	6
37	то же	6	6
38	тем самым	2	6
39	а с	3	5
40	что в	5	5
41	в своем	5	5
42	с другой	3	5
43	же время	4	5
44	для него	5	5
45	то что	6	5
46	и на	3	5
47	в то	6	5
48	в одном	3	4
49	художественного целого	5	4
50	одной стороны	3	4
51	как бы	5	4
52	отношению к	7	4
53	по отношению	7	4
54	с одной	3	4
55	человека в	4	4
56	роль в	2	4
57	в рассказе	21	4
58	потому что	2	4
59	в основе	2	4
60	одно из	5	4
61	точки зрения	2	4
62	в этой	5	4
63	и то	2	4
64	о том	12	4
65	не является	2	4
66	я и	6	4
67	перед нами	11	3
68	жизни в	7	3
69	[...] а	2	3
70	в этих	3	3
71	в них	3	3
72	столь же	3	3
73	это не	6	3
74	не столько	2	3
75	из этих	2	3
76	и все	7	3
77	или иной	2	3
78	в строгом	2	3
79	уже не	10	3
80	не в	13	3
81	соответствии с	3	3
82	в контексте	2	3
83	можно сказать	6	3
84	мысль о	2	3
85	он не	4	3
86	в его	11	3
87	в котором	6	3
88	из них	2	3
89	жизни и	6	3
90	и ее	3	3
91	в тексте	5	3
92	приводит к	2	3
93	чего не	2	3
94	не было	6	3
95	как на	2	3
96	и его	5	3
97	[...] в	2	3
98	в другом	2	3
99	как будто	4	3
100	только в	4	3
101	его в	2	3
102	место в	2	2
103	же как	2	2
104	жизни не	2	2
105	никогда не	5	2
106	в футляре	4	2
107	личности в	3	2
108	как уже	2	2
109	или иного	2	2
110	что на	3	2
111	что он	8	2
112	в соответствии	3	2
113	всякий раз	3	2
114	отношение к	2	2
115	чеховского творчества	2	2
116	о чем	8	2
117	со своим	3	2
118	в ряду	2	2
119	в ней	3	2
120	о любви	2	2
121	рассказа в	4	2
122	для себя	6	2
123	я с	2	2
124	не с	2	2
125	что и	4	2
126	с ее	5	2
127	с точки	2	2
128	вместе с	2	2
129	что же	2	2
130	человеческой жизни	6	2
131	именно в	2	2
132	и состоит	3	2
133	по преимуществу	3	2
134	сводится к	6	2
135	все это	3	2
136	не более	2	2
137	более чем	2	2
138	в принципе	2	2
139	жизни как	5	2
140	и для	2	2
141	а в	6	2
142	той же	2	2
143	тому как	4	2
144	являет собой	2	2
145	пока еще	3	2
146	и с	6	2
147	себя с	2	2
148	подобно тому	4	2
149	чехова в	2	2
150	говорить о	2	2
151	и это	3	2
152	здесь не	2	2
153	между тем	8	2
154	но при	3	2
