N	2gram	Bakhtin_KF_1	Analitik
1	в качестве	2	31
2	может быть	45	29
3	в том	6	27
4	не может	27	22
5	и не	26	21
6	и в	24	18
7	а не	17	17
8	но и	9	17
9	отнюдь не	6	15
10	не только	5	15
11	не в	12	14
12	как и	5	13
13	в его	40	13
14	в этом	14	13
15	том что	4	12
16	при этом	4	12
17	в себе	21	11
18	но не	12	10
19	то же	5	9
20	а в	4	9
21	в то	3	9
22	в мире	6	8
23	не есть	20	8
24	в принципе	2	8
25	но в	5	8
26	этого слова	2	7
27	тем самым	4	7
28	времени и	4	6
29	это не	10	6
30	прежде всего	2	6
31	или иной	2	6
32	же время	2	6
33	себя в	8	6
34	той или	3	6
35	должен быть	7	6
36	то что	7	6
37	в своей	10	6
38	в себя	7	6
39	по отношению	26	6
40	в основе	5	6
41	точки зрения	12	6
42	только в	16	6
43	мы имеем	5	6
44	я и	2	6
45	и того	2	5
46	и как	2	5
47	в этой	2	5
48	что в	4	5
49	как бы	9	5
50	отношению к	22	5
51	в целом	10	5
52	в их	8	5
53	сводится к	2	5
54	лишь в	8	5
55	и его	17	5
56	между тем	4	5
57	и на	3	5
58	о том	3	5
59	того что	3	4
60	могут быть	3	4
61	себя и	2	4
62	лишь при	3	4
63	по себе	2	4
64	ни в	12	4
65	для того	3	4
66	в области	2	4
67	как предмет	2	4
68	все же	5	4
69	так и	2	4
70	дело с	2	4
71	именно в	5	4
72	сознания в	2	4
73	уже не	7	4
74	ни было	4	4
75	из которых	2	4
76	с точки	9	4
77	в другом	3	4
78	с ним	5	4
79	место в	5	3
80	смысла и	2	3
81	вступает в	3	3
82	и есть	9	3
83	то ни	2	3
84	вследствие этого	2	3
85	хотя бы	4	3
86	и все	7	3
87	или иного	3	3
88	в нем	28	3
89	что он	2	3
90	еще не	4	3
91	что не	3	3
92	он не	6	3
93	о нем	4	3
94	в котором	24	3
95	дело не	2	3
96	что и	7	3
97	не будет	2	3
98	бы то	2	3
99	смысл и	6	3
100	а с	2	3
101	принципиально не	2	3
102	от себя	10	3
103	того чтобы	2	3
104	того или	3	3
105	к нему	12	3
106	могла бы	4	3
107	бы быть	5	3
108	подхода к	2	3
109	быть не	2	3
110	если бы	8	3
111	может иметь	2	2
112	и то	2	2
113	смысла в	2	2
114	никогда не	5	2
115	все эти	10	2
116	его и	2	2
117	для этого	2	2
118	и просто	2	2
119	бытия и	10	2
120	тогда когда	3	2
121	вовсе не	7	2
122	вопрос о	2	2
123	в категориях	4	2
124	его к	2	2
125	а как	2	2
126	не должен	3	2
127	основе своей	2	2
128	и потому	2	2
129	соответствии с	2	2
130	должно быть	6	2
131	отношение к	5	2
132	для него	8	2
133	было бы	8	2
134	ним и	3	2
135	и та	2	2
136	не могу	3	2
137	не о	2	2
138	нет и	3	2
139	один из	2	2
140	он может	2	2
141	научного мышления	2	2
142	события в	3	2
143	в процессе	2	2
144	не остается	2	2
145	со стороны	7	2
146	в составе	2	2
147	здесь не	3	2
148	как к	2	2
149	бы не	3	2
150	на самом	3	2
151	самом деле	3	2
152	едва ли	2	2
153	на основе	7	2
154	ни одно	5	2
155	в акте	3	2
156	героя это	2	2
157	для себя	5	2
158	в данном	2	2
159	жизни но	3	2
160	думать что	2	2
161	потому что	2	2
162	в сознании	2	2
163	мира в	6	2
