N	2gram	Savitsky_P_1	Vladivir
1	и в	14	30
2	то что	4	20
3	в этом	10	20
4	в том	9	18
5	и не	12	18
6	а н	5	14
7	и с	2	14
8	том что	4	12
9	что в	4	12
10	не только	17	12
11	в его	2	11
12	а в	4	11
13	в с	4	10
14	а также	4	10
15	не было	2	10
16	не в	5	9
17	было бы	6	9
18	потому что	3	9
19	не может	4	9
20	в то	7	9
21	н н	3	9
22	в своем	4	8
23	но и	6	8
24	но в	9	8
25	не менее	2	7
26	точки зрения	3	7
27	может быть	5	7
28	между прочим	2	7
29	для нас	2	7
30	а не	2	7
31	хотя и	3	6
32	прежде всего	3	6
33	и к	4	6
34	только в	7	6
35	в себе	3	6
36	по себе	4	5
37	тот же	3	5
38	как бы	4	5
39	в котором	4	5
40	все это	2	5
41	с этим	2	5
42	того что	2	5
43	именно в	2	4
44	с с	2	4
45	м а	2	4
46	и если	4	4
47	и мы	2	4
48	и о	5	4
49	в ней	6	4
50	в нем	3	4
51	время в	2	4
52	со стороны	2	4
53	то же	9	4
54	в начале	2	4
55	мы должны	4	4
56	в них	2	3
57	в отношении	10	3
58	хотя бы	8	3
59	же время	7	3
60	на этих	2	3
61	да и	2	3
62	и как	3	3
63	тем более	2	3
64	но не	3	3
65	никак не	2	3
66	и вселенская	3	3
67	еще более	2	3
68	с точки	3	3
69	во всех	2	3
70	отношения к	2	3
71	и вот	2	3
72	должно быть	2	3
73	не столько	2	3
74	в виде	2	3
75	и это	2	3
76	в россии	3	3
77	в области	11	3
78	в русском	2	2
79	с тем	3	2
80	и есть	2	2
81	это не	3	2
82	в общем	2	2
83	же в	4	2
84	церкви и	2	2
85	о в	5	2
86	в статье	2	2
87	в частности	2	2
88	и потому	4	2
89	для того	3	2
90	начала и	2	2
91	наряду с	3	2
92	в последние	2	2
93	есть нечто	2	2
94	россии и	4	2
95	эта идея	2	2
96	заключается в	3	2
97	в сравнении	3	2
98	которое в	2	2
99	не о	2	2
100	д д	2	2
101	я и	3	2
102	мы не	3	2
