N	2gram	Berdyaev_M_1	Marksizm
1	может быть	30	28
2	и в	28	19
3	как бы	2	19
4	и не	11	19
5	не может	28	18
6	точки зрения	4	17
7	и его	9	16
8	в этом	20	15
9	лишь в	6	14
10	не только	29	13
11	в нем	13	11
12	если бы	2	11
13	не в	16	10
14	но и	25	10
15	том что	3	10
16	для него	11	9
17	в основе	2	9
18	как и	5	9
19	это –	16	9
20	а не	25	9
21	по отношению	2	8
22	в то	2	8
23	с его	3	8
24	отношению к	2	8
25	только в	6	8
26	никогда не	14	7
27	в том	6	7
28	его в	3	7
29	но в	7	7
30	прежде всего	10	7
31	и для	2	7
32	к тому	3	6
33	и как	2	6
34	в свою	2	6
35	того чтобы	2	6
36	в самом	11	6
37	и все	10	6
38	– не	5	6
39	для того	2	6
40	хотя бы	3	6
41	смысле слова	4	5
42	к нему	7	5
43	в их	4	5
44	и на	6	5
45	к этому	2	5
46	в его	9	5
47	все же	2	5
48	в той	2	5
49	отношении к	2	5
50	должна быть	6	4
51	это не	5	4
52	то что	5	4
53	и их	3	4
54	того что	7	4
55	сказать что	2	4
56	бы в	2	4
57	а как	2	4
58	что он	10	4
59	было бы	10	4
60	конечно не	3	4
61	в себе	7	4
62	ничего не	3	4
63	не существует	2	3
64	учение о	3	3
65	в этих	4	3
66	и от	2	3
67	высшей степени	2	3
68	в этой	6	3
69	в ней	15	3
70	за пределы	4	3
71	в котором	8	3
72	в каком	2	3
73	а в	4	3
74	с этим	3	3
75	все эти	2	3
76	не имеет	3	3
77	должно быть	3	3
78	не было	18	3
79	в истории	2	3
80	о том	2	3
81	в высшей	2	3
82	так как	3	3
83	не как	4	3
84	социальной среды	3	3
85	в ее	3	3
86	у нас	5	3
87	связано с	2	3
88	до сих	2	3
89	не к	4	3
90	он не	24	3
91	относится к	2	3
92	что и	4	3
93	не есть	9	3
94	в своей	15	3
95	мысли и	2	3
96	менее всего	7	3
97	могут быть	2	3
98	и это	12	3
99	сих пор	2	3
100	место в	2	2
101	связана с	2	2
102	уже в	4	2
103	что в	10	2
104	– к	3	2
105	не знает	4	2
106	вопрос о	2	2
107	он был	14	2
108	до конца	14	2
109	о чем	2	2
110	не так	3	2
111	и у	2	2
112	одним из	2	2
113	жизни и	2	2
114	в своем	10	2
115	отношения к	4	2
116	в более	2	2
117	и с	3	2
118	даже и	2	2
119	он и	2	2
120	xix века	4	2
121	в начале	2	2
122	то есть	3	2
123	одно только	2	2
124	от этого	2	2
125	у него	17	2
126	в жизни	3	2
127	– говорит	3	2
128	различие между	2	2
129	привела к	2	2
130	но не	8	2
131	ведь это	2	2
132	мы увидим	3	2
133	и потому	10	2
134	должен быть	2	2
135	себя в	3	2
136	все –	2	2
137	приводит к	2	2
138	бы не	2	2
139	ко всем	3	2
140	и он	12	2
141	тем что	4	2
142	на протяжении	2	2
143	все его	3	2
144	от него	4	2
145	вместе с	6	2
