N	2gram	Ircho_Kome_3	Dialekti
1	и не	21	30
2	т е	16	25
3	и т	4	21
4	и в	22	18
5	ничего не	3	17
6	может быть	6	17
7	точки зрения	4	17
8	в нем	3	16
9	ни в	10	15
10	так что	6	15
11	не имеет	3	15
12	а не	4	14
13	потому что	10	14
14	что в	5	13
15	то что	4	13
16	не только	5	13
17	и даже	3	13
18	если бы	8	12
19	было бы	3	12
20	и что	6	12
21	с точки	3	12
22	в этом	8	12
23	не может	3	12
24	что он	8	11
25	как бы	3	11
26	все это	5	11
27	в себе	4	11
28	так как	11	11
29	прежде всего	5	10
30	несмотря на	4	10
31	то же	7	10
32	никогда не	3	9
33	отнюдь не	4	9
34	это не	2	9
35	в том	12	9
36	так и	4	9
37	том что	13	9
38	ясно что	6	8
39	совершенно не	2	8
40	к нему	5	8
41	вовсе не	4	7
42	но и	4	7
43	что она	4	7
44	что не	3	7
45	с другой	4	6
46	хотя бы	4	6
47	она не	2	6
48	не было	2	6
49	не в	4	6
50	его не	2	6
51	в то	6	6
52	с ним	5	6
53	но в	5	6
54	в своем	8	5
55	на то	3	5
56	и мы	3	5
57	но если	3	5
58	не с	2	5
59	все же	4	5
60	отношение к	5	5
61	в отношении	4	5
62	и он	2	5
63	а в	7	5
64	можно было	2	5
65	и с	4	5
66	говорить о	3	5
67	в виду	2	5
68	нисколько не	3	4
69	больше того	2	4
70	в конце	7	4
71	к тому	6	4
72	что эта	2	4
73	не мешает	2	4
74	во всяком	3	4
75	об этом	7	4
76	же время	5	4
77	хотя и	5	4
78	не о	3	4
79	в котором	2	4
80	то это	5	4
81	так же	4	4
82	другой стороны	2	4
83	как раз	6	4
84	как мы	2	4
85	мы можем	3	4
86	к ней	8	4
87	о том	8	4
88	как он	3	4
89	как это	5	4
90	что ни	3	3
91	тому что	2	3
92	в них	3	3
93	все равно	3	3
94	стороны и	2	3
95	не является	4	3
96	что и	8	3
97	меньше всего	4	3
98	вплоть до	2	3
99	что они	2	3
100	конечно не	3	3
101	и о	2	3
102	он не	5	3
103	в его	8	3
104	один из	3	3
105	отношения к	2	3
106	даже не	3	3
107	в их	2	3
108	в самом	9	3
109	даже если	2	3
110	но все	4	3
111	самом деле	6	3
112	только что	7	3
113	что для	2	3
114	конце концов	2	3
115	ничем не	4	3
116	в основе	2	3
117	в ней	4	3
118	нуждается в	2	3
119	и еще	3	3
120	и все	2	3
121	бы в	4	3
122	не менее	5	2
123	ничуть не	6	2
124	что их	2	2
125	а о	2	2
126	в частности	3	2
127	не знает	3	2
128	в качестве	2	2
129	сравнению с	2	2
130	того кто	2	2
131	как в	2	2
132	с этой	3	2
133	не как	2	2
134	с другими	2	2
135	к этому	6	2
136	в мире	2	2
137	ни было	2	2
138	как и	3	2
139	тому же	6	2
140	до сих	9	2
141	еще не	6	2
142	одной стороны	3	2
143	только как	2	2
144	для того	6	2
145	о чем	7	2
146	по сравнению	2	2
147	к ним	3	2
148	всяком случае	3	2
149	тем более	4	2
150	из них	5	2
151	в своей	5	2
152	дело не	2	2
153	сих пор	9	2
154	со стороны	11	2
155	т п	4	2
156	не зная	3	2
157	с этим	3	2
158	этом отношении	2	2
159	с одной	3	2
160	из того	3	2
161	если мы	2	2
162	в эпоху	2	2
163	и для	4	2
164	хотя это	2	2
165	что касается	2	2
166	он и	2	2
167	в которых	5	2
168	в другом	2	2
169	и это	2	2
170	нет ни	2	2
171	время как	2	2
