N	2gram	Medvedev_U_1	Problema
1	в его	2	43
2	и не	8	42
3	и в	14	38
4	эстетического объекта	6	37
5	не может	7	27
6	может быть	6	26
7	в художественном	5	20
8	и с	2	17
9	в этом	7	15
10	прежде всего	8	13
11	только в	2	13
12	художественного творчества	5	12
13	в искусстве	6	12
14	но не	2	12
15	художественного произведения	2	11
16	и для	2	11
17	материальной эстетики	2	11
18	в области	3	11
19	в их	4	10
20	таким образом	2	10
21	художественном творчестве	2	10
22	художественной формы	2	9
23	но и	4	9
24	не только	10	9
25	в том	2	8
26	было бы	3	8
27	то что	7	8
28	художественное произведение	5	8
29	с другой	4	7
30	не в	2	7
31	в самом	2	7
32	между тем	2	7
33	как и	3	7
34	в своей	3	7
35	не есть	2	6
36	все же	3	6
37	самом деле	2	6
38	ничего не	2	6
39	то же	5	5
40	все они	2	5
41	это не	3	5
42	формы и	2	5
43	художественном произведении	2	5
44	конечно не	4	5
45	а не	10	5
46	могут быть	2	5
47	должна быть	2	4
48	в конечном	4	4
49	другой стороны	3	4
50	и только	5	4
51	в то	3	4
52	но в	3	4
53	для поэзии	2	4
54	перестает быть	5	4
55	конечном счете	4	4
56	но конечно	2	4
57	хотя бы	5	4
58	в себе	2	4
59	то ни	3	3
60	но это	2	3
61	в противном	2	3
62	же время	3	3
63	как такового	3	3
64	все это	5	3
65	противном случае	2	3
66	формальный метод	11	3
67	а как	2	3
68	ни было	3	3
69	если бы	2	3
70	этом смысле	2	3
71	том что	2	3
72	бы то	3	3
73	вопроса о	2	3
74	не могут	2	2
75	представляется нам	2	2
76	в частности	3	2
77	искусства как	2	2
78	материала и	2	2
79	словесного творчества	2	2
80	что все	2	2
81	как таковой	2	2
82	и у	2	2
83	художественных произведений	2	2
84	этом отношении	2	2
85	этой области	3	2
86	не следует	3	2
87	же самое	2	2
88	материал как	2	2
89	в россии	4	2
90	с его	2	2
91	их и	2	2
92	не все	2	2
93	на первый	2	2
94	что он	2	2
95	у нас	3	2
96	по существу	2	2
97	в некоторых	2	2
98	что и	2	2
99	форму и	2	2
100	тем что	2	2
101	или точнее	3	2
