N	2gram	Bakhtin_Pr_4	Tragedij
1	и в	46	18
2	в романе	6	10
3	в этом	16	9
4	не только	14	8
5	он сам	2	7
6	и не	27	7
7	и на	11	7
8	и с	7	7
9	может быть	23	7
10	как бы	19	7
11	что он	6	6
12	и его	6	6
13	же время	5	6
14	у него	5	6
15	но в	6	6
16	все же	4	5
17	к жизни	2	5
18	так и	4	5
19	это не	5	5
20	не может	19	5
21	то же	6	5
22	как и	12	5
23	у достоевского	16	5
24	в то	5	5
25	но и	12	4
26	то что	4	4
27	что в	4	4
28	все это	6	4
29	прежде всего	9	4
30	и все	9	4
31	в нем	17	4
32	и даже	3	4
33	так же	3	4
34	том что	4	4
35	но это	6	4
36	в этой	3	4
37	что я	6	4
38	и что	3	4
39	в себе	7	4
40	еще не	7	4
41	об этом	2	4
42	уже в	4	3
43	достоевского в	8	3
44	с ее	3	3
45	в своем	3	3
46	в конце	3	3
47	как в	4	3
48	все эти	4	3
49	жизнь и	3	3
50	и он	6	3
51	и как	2	3
52	к нему	5	3
53	должно быть	4	3
54	в его	9	3
55	для него	2	3
56	при этом	5	3
57	и сам	5	3
58	своего рода	4	3
59	в мире	3	3
60	с ним	2	3
61	то есть	40	3
62	перед нами	12	2
63	и до	3	2
64	не могут	3	2
65	что и	3	2
66	только к	2	2
67	а что	4	2
68	и наказании	2	2
69	раз и	4	2
70	в отличие	3	2
71	романах достоевского	7	2
72	то и	2	2
73	в известной	2	2
74	но при	3	2
75	а как	2	2
76	вопрос о	2	2
77	из своих	2	2
78	этого романа	2	2
79	для достоевского	2	2
80	уже не	4	2
81	бы и	2	2
82	с его	5	2
83	отношение к	3	2
84	в преступлении	2	2
85	к тому	2	2
86	между этими	3	2
87	и здесь	4	2
88	ни в	6	2
89	в том	9	2
90	до конца	4	2
91	друг друга	6	2
92	отличие от	3	2
93	но все	2	2
94	так что	2	2
95	не в	10	2
96	в данном	2	2
97	в рассказе	2	2
98	одна из	2	2
99	потому что	4	2
100	тем что	3	2
101	он и	4	2
102	к области	2	2
103	о том	5	2
104	преступлении и	2	2
105	и это	3	2
106	в самом	9	2
107	во сне	2	2
108	я ведь	4	2
109	ничего не	2	2
110	он не	4	2
111	настасья филипповна	4	2
112	в одном	11	2
113	никогда не	6	2
114	одном из	2	2
