N	2gram	Savitsky_P_1	Myshleni
1	то что	4	26
2	в этом	10	25
3	потому что	3	21
4	в том	9	18
5	не может	4	18
6	точки зрения	3	18
7	что в	4	16
8	и в	14	16
9	того что	2	16
10	не только	17	16
11	том что	4	15
12	для того	3	14
13	и не	12	12
14	в области	11	12
15	в его	2	11
16	но не	3	10
17	было бы	6	10
18	а не	2	10
19	в силу	2	10
20	только в	7	10
21	в отношении	10	9
22	может быть	5	9
23	с точки	3	9
24	должно быть	2	8
25	если бы	4	8
26	мы должны	4	8
27	то же	9	8
28	тем самым	3	8
29	и есть	2	7
30	в нем	3	7
31	по себе	4	7
32	переход от	2	7
33	не в	5	6
34	но и	6	6
35	но в	9	6
36	в своем	4	5
37	как бы	4	5
38	в сфере	2	5
39	хотя бы	8	5
40	еще более	2	5
41	заключается в	3	5
42	в то	7	5
43	по сравнению	2	5
44	тот же	3	5
45	с другой	5	4
46	это не	3	4
47	в пределах	8	4
48	именно в	2	4
49	что мы	3	4
50	точек зрения	2	4
51	тем более	2	4
52	в качестве	9	4
53	к началу	2	4
54	могут быть	3	4
55	не менее	2	3
56	в частности	2	3
57	прежде всего	3	3
58	в смысле	6	3
59	и как	3	3
60	одной стороны	3	3
61	если в	2	3
62	и тем	2	3
63	с одной	3	3
64	как на	2	3
65	а в	4	3
66	и с	2	3
67	говорить о	2	3
68	между тем	3	3
69	мы не	3	3
70	с тем	3	3
71	с этим	2	3
72	никак не	2	3
73	друг другу	2	2
74	столь же	3	2
75	может ли	2	2
76	в тот	2	2
77	вслед за	3	2
78	в ней	6	2
79	в котором	4	2
80	из них	2	2
81	все это	2	2
82	отношения к	2	2
83	которую мы	2	2
84	сказывается в	2	2
85	в них	2	2
86	в жизни	2	2
87	стороны и	2	2
88	есть не	2	2
89	и к	4	2
90	же в	4	2
91	и потому	4	2
92	во всех	2	2
