N	2gram	Tiupa_Lite_2	VrazhdaK
1	в году	5	18
2	не только	8	9
3	в этом	9	8
4	и что	2	8
5	и в	19	8
6	но и	10	7
7	что в	4	7
8	то что	7	7
9	в нем	3	6
10	все же	2	6
11	и даже	8	6
12	как и	10	6
13	в начале	3	6
14	но в	2	6
15	и с	3	6
16	то же	12	5
17	не было	2	5
18	и не	11	5
19	у него	2	5
20	в то	9	5
21	же время	9	5
22	в россии	2	5
23	уже в	2	4
24	для нас	2	4
25	как бы	2	4
26	что он	3	4
27	с ним	2	4
28	х годов	3	4
29	в своих	2	4
30	может быть	17	4
31	при этом	6	4
32	в истории	2	4
33	о том	2	4
34	в ней	4	4
35	в виду	2	4
36	речь идет	3	3
37	я не	5	3
38	русской литературе	2	3
39	о себе	3	3
40	в конце	2	3
41	человека в	4	3
42	в том	10	3
43	и его	3	3
44	том что	7	3
45	и как	3	3
46	тем что	4	3
47	в его	4	3
48	в русской	4	3
49	одним из	3	3
50	он не	5	3
51	и т.п	10	2
52	из них	2	2
53	не менее	6	2
54	никогда не	3	2
55	вместе с	5	2
56	отнюдь не	4	2
57	в них	2	2
58	врага в	3	2
59	столь же	5	2
60	как раз	2	2
61	так в	5	2
62	не может	9	2
63	а в	3	2
64	тогда как	9	2
65	но это	3	2
66	о которой	2	2
67	уже не	2	2
68	и он	3	2
69	с точки	3	2
70	же в	2	2
71	в глазах	3	2
72	в этой	3	2
73	что я	2	2
74	и то	3	2
75	же как	2	2
76	права на	3	2
77	но как	2	2
78	точки зрения	4	2
79	в себе	6	2
80	для него	4	2
81	еще не	2	2
82	в мире	9	2
83	одна из	5	2
84	а также	2	2
85	в него	2	2
