N	3gram	Vygotskiy__2	StatiiOP
1	и т д	2	21
2	в том что	17	17
3	о том что	4	11
4	для того чтобы	13	10
5	и т п	8	9
6	можно было бы	4	8
7	с точки зрения	10	8
8	в этом отношении	5	7
9	до сих пор	5	7
10	в данном случае	4	6
11	на самом деле	5	6
12	с другой стороны	2	6
13	во всяком случае	2	6
14	в самом деле	11	5
15	не может быть	8	5
16	в этой области	2	5
17	то же время	2	4
18	в то же	2	4
19	того или иного	2	4
20	на то что	6	4
21	что и в	3	4
22	и в самом	4	3
23	так же как	4	3
24	том что в	2	3
25	только в том	4	3
26	заключается в том	10	3
27	так как в	2	2
28	в то время	3	2
29	что в этой	2	2
30	как и в	2	2
31	тем не менее	4	2
32	и в том	2	2
33	и то что	2	2
34	не в том	2	2
