N	2gram	Ircho_Kome_2	Formalny
1	и в	26	24
2	в его	4	23
3	прежде всего	4	22
4	и не	14	20
5	так и	12	18
6	не может	3	16
7	точки зрения	4	16
8	в этом	10	15
9	в нем	6	14
10	может быть	11	14
11	таким образом	6	13
12	и т	2	12
13	в своем	6	11
14	не менее	4	11
15	как и	4	11
16	в своей	3	11
17	в их	3	11
18	вовсе не	2	10
19	и ее	2	10
20	и их	3	10
21	то же	3	10
22	в ней	3	10
23	и его	12	10
24	все это	3	9
25	в то	6	9
26	в ее	2	8
27	же время	3	8
28	то что	6	8
29	как в	3	8
30	и на	7	8
31	не в	2	8
32	и с	5	8
33	место в	4	7
34	и от	4	7
35	не только	7	7
36	жизни и	3	7
37	но и	10	7
38	отнюдь не	2	6
39	и все	2	6
40	и здесь	6	6
41	было бы	8	6
42	в том	11	6
43	в этой	3	6
44	до сих	2	6
45	еще не	6	6
46	как бы	2	6
47	сих пор	2	6
48	в целом	4	6
49	а в	3	6
50	как это	4	6
51	хотя бы	2	5
52	во всех	3	5
53	в самом	4	5
54	со стороны	2	5
55	как мы	4	5
56	с другой	2	5
57	но в	3	5
58	с его	5	4
59	независимо от	5	4
60	в частности	4	4
61	и к	2	4
62	в мире	2	4
63	одной стороны	2	4
64	если бы	9	4
65	всяком случае	2	4
66	отношению к	3	4
67	по отношению	3	4
68	т п	2	4
69	в связи	3	4
70	что в	9	4
71	с одной	2	4
72	друг друга	3	4
73	в которой	5	4
74	с этой	3	4
75	во всяком	2	4
76	в истории	5	4
77	но не	3	3
78	связи с	3	3
79	в них	4	3
80	то ни	2	3
81	бы то	2	3
82	ясно что	8	3
83	что он	5	3
84	к тому	12	3
85	в каждом	3	3
86	не по	4	3
87	он не	2	3
88	один из	5	3
89	все же	4	3
90	же в	4	3
91	отношение к	2	3
92	каждой из	2	3
93	всего в	2	3
94	не было	3	3
95	не для	2	3
96	мы не	2	3
97	его в	4	3
98	целый ряд	2	3
99	наконец в	2	3
100	от всех	2	3
101	бы в	2	3
102	с тем	5	2
103	в другой	2	2
104	в нашем	2	2
105	в лице	2	2
106	это не	2	2
107	и особенно	3	2
108	с этим	5	2
109	в одном	2	2
110	вопрос о	3	2
111	идет о	2	2
112	здесь в	3	2
113	все время	2	2
114	ни было	2	2
115	ни в	5	2
116	в самой	3	2
117	но все	3	2
118	одновременно с	2	2
119	одна из	2	2
120	только в	4	2
121	ко времени	3	2
122	в действительности	2	2
123	и если	2	2
124	одной из	4	2
125	от того	2	2
126	еще в	4	2
127	нет и	2	2
128	что и	7	2
129	вместе с	9	2
130	и что	2	2
131	для этой	2	2
132	и типов	3	2
133	или иначе	3	2
134	между тем	4	2
135	от этого	2	2
136	или на	2	2
137	могла бы	3	2
138	и это	2	2
139	тех же	3	2
140	мира в	4	2
