N	2gram	Bakhtin_Fr_4	VeschiIm
1	не может	2	33
2	не только	10	31
3	может быть	2	29
4	и не	16	28
5	и в	29	26
6	то что	4	24
7	и есть	4	23
8	что я	2	16
9	только в	2	14
10	того что	3	13
11	что это	5	12
12	но и	9	12
13	сказать что	5	12
14	все же	3	12
15	в себя	2	12
16	и то	2	12
17	таким образом	20	11
18	то же	10	10
19	уже не	2	10
20	в ней	3	10
21	как бы	8	10
22	в том	7	9
23	и с	9	9
24	прежде всего	8	9
25	еще и	7	9
26	но это	4	8
27	с ее	3	8
28	в себе	3	8
29	и это	2	8
30	также и	4	7
31	в то	10	7
32	его в	9	7
33	так как	7	7
34	том что	3	7
35	есть и	4	7
36	себя в	2	7
37	и их	3	7
38	как раз	2	7
39	в этом	11	7
40	и как	3	6
41	что они	2	6
42	жизни и	4	6
43	ни с	2	6
44	со стороны	2	6
45	в результате	4	6
46	точки зрения	4	6
47	но в	12	6
48	с ним	2	6
49	это не	5	5
50	еще не	4	5
51	и до	5	5
52	как к	3	5
53	в ее	3	5
54	это и	5	5
55	но не	2	5
56	того же	5	5
57	другими словами	2	5
58	в сущности	6	5
59	и для	2	5
60	в чем	3	5
61	в своем	3	4
62	с другой	4	4
63	же время	8	4
64	и мы	2	4
65	из них	6	4
66	в их	2	4
67	и даже	3	4
68	о том	2	4
69	и все	13	4
70	как и	12	4
71	и о	5	4
72	с полной	2	4
73	между ними	2	4
74	с точки	2	4
75	что значит	3	4
76	тем что	4	4
77	же не	2	4
78	никогда не	2	3
79	к тому	2	3
80	более или	3	3
81	на этом	2	3
82	было в	2	3
83	и сам	3	3
84	в нем	5	3
85	все это	4	3
86	их в	2	3
87	но как	3	3
88	даже и	2	3
89	в жизни	2	3
90	один из	4	3
91	что он	4	3
92	мы видим	3	3
93	тот же	3	3
94	между прочим	2	3
95	в своей	5	3
96	так и	11	3
97	или менее	3	3
98	да и	2	3
99	в той	2	3
100	того чтобы	3	3
101	тому как	3	3
102	подобно тому	3	3
103	в основе	2	3
104	в частности	3	2
105	его и	2	2
106	ни в	2	2
107	кроме того	2	2
108	когда же	2	2
109	мы уже	10	2
110	у меня	2	2
111	в виду	2	2
112	но она	2	2
113	образом и	3	2
114	но только	2	2
115	в разных	3	2
116	и вот	3	2
117	в слове	2	2
118	не мог	2	2
119	бы на	2	2
120	так же	7	2
121	жизнь и	4	2
122	от всех	2	2
123	конечно и	3	2
124	в своих	2	2
125	то есть	21	2
126	мы можем	3	2
127	поэтому и	5	2
128	но они	4	2
129	о чем	2	2
130	на их	2	2
131	жизни в	2	2
132	превращается в	3	2
133	а затем	3	2
134	то в	3	2
135	на этой	2	2
136	в качестве	3	2
137	же вы	2	2
138	но оно	2	2
139	он не	3	2
140	что из	2	2
141	как в	2	2
142	и они	3	2
143	как мы	10	2
144	для того	3	2
145	и его	8	2
146	той же	3	2
147	не случайно	3	2
148	если же	2	2
149	дело в	2	2
150	в особенности	2	2
