N	2gram	Berdyaev_O_1	Myslijsy
1	потому что	9	49
2	и в	19	24
3	в душе	2	23
4	может быть	11	23
5	то что	5	20
6	и не	13	19
7	а не	11	18
8	в том	5	18
9	что в	4	16
10	по себе	2	15
11	не только	11	15
12	было бы	3	13
13	не в	11	13
14	не может	4	12
15	что и	2	11
16	для него	5	10
17	в себе	3	10
18	так что	2	10
19	так как	2	10
20	в нем	10	9
21	как бы	3	9
22	но и	13	9
23	а в	5	8
24	том что	2	8
25	и на	2	8
26	в этом	12	8
27	могут быть	3	8
28	не могут	3	7
29	быть может	3	7
30	прежде всего	9	7
31	мысль о	2	7
32	как и	6	7
33	того что	3	7
34	тем что	2	7
35	не есть	2	6
36	не было	9	6
37	не имеет	2	6
38	уже в	2	5
39	с ним	3	5
40	что они	2	5
41	что не	4	5
42	о том	3	5
43	так и	2	5
44	для того	3	5
45	все же	2	5
46	в которой	2	5
47	в человеке	9	4
48	никогда не	9	4
49	что он	3	4
50	еще не	3	4
51	в самом	5	4
52	от него	7	4
53	с тем	2	4
54	в других	2	4
55	но в	2	4
56	с чем	2	3
57	это не	3	3
58	и от	3	3
59	и все	10	3
60	человека и	10	3
61	хотя и	2	3
62	о которой	2	3
63	все что	3	3
64	в самой	9	3
65	его в	2	3
66	человека в	11	3
67	и для	2	3
68	его не	2	3
69	что для	2	3
70	и то	2	3
71	одно из	2	3
72	в этих	3	3
73	и есть	3	2
74	и его	4	2
75	человеческой природы	20	2
76	что у	2	2
77	но он	7	2
78	при чтении	2	2
79	хотя бы	3	2
80	то к	2	2
81	что все	2	2
82	к этому	2	2
83	вопрос о	10	2
84	с его	4	2
85	все эти	4	2
86	совсем не	2	2
87	было для	2	2
88	у него	22	2
89	к ней	2	2
90	в его	7	2
91	и потому	2	2
92	не все	2	2
93	ни с	7	2
94	все это	6	2
95	что есть	2	2
96	того чтобы	4	2
97	ко всем	2	2
98	должно быть	2	2
99	сказать что	2	2
100	даже и	2	2
101	в другом	2	2
102	это было	3	2
