N	2gram	Losev_Vlad_2	OGranits
1	и в	30	13
2	и его	6	12
3	прежде всего	6	9
4	не может	9	8
5	и не	18	8
6	может быть	7	8
7	точки зрения	7	7
8	в его	11	7
9	таким образом	3	6
10	не только	12	6
11	то что	20	6
12	только в	6	6
13	мы должны	4	6
14	как бы	5	6
15	все же	9	5
16	с точки	3	5
17	хотя бы	3	5
18	и наконец	4	5
19	то же	4	4
20	в своей	5	4
21	все это	5	4
22	еще и	6	4
23	только и	3	4
24	в двух	2	4
25	мы не	2	4
26	было бы	9	4
27	но в	8	4
28	что в	12	3
29	никогда не	7	3
30	но и	8	3
31	так и	5	3
32	что же	8	3
33	в их	2	3
34	и все	7	3
35	здесь мы	3	3
36	да и	3	3
37	как и	5	3
38	не в	9	3
39	в которой	4	3
40	и то	5	3
41	не столько	3	3
42	г в	2	3
43	в себе	6	3
44	с этим	5	3
45	и для	3	3
46	так как	5	3
47	еще в	2	2
48	не менее	7	2
49	для себя	5	2
50	уже в	3	2
51	с этой	4	2
52	в нем	4	2
53	в целом	4	2
54	данном случае	2	2
55	а не	7	2
56	в отношении	3	2
57	не на	2	2
58	в них	3	2
59	в связи	8	2
60	собственно говоря	2	2
61	а в	11	2
62	в течение	5	2
63	все эти	5	2
64	вовсе не	4	2
65	те же	3	2
66	разумеется что	2	2
67	к тому	2	2
68	и к	6	2
69	как в	3	2
70	в общем	2	2
71	в чем	2	2
72	не имеет	2	2
73	в том	18	2
74	наконец в	3	2
75	так же	4	2
76	не мог	8	2
77	том что	12	2
78	в своих	2	2
79	в данном	3	2
80	в этом	20	2
81	учение о	3	2
82	при этом	5	2
83	для него	9	2
84	тот же	5	2
85	и может	2	2
86	кажется что	2	2
87	несмотря на	4	2
88	мы уже	2	2
89	его на	3	2
90	в области	3	2
91	нет ничего	3	2
92	в самом	2	2
93	и при	2	2
94	только его	2	2
95	в ней	4	2
96	а также	10	2
