N	2gram	Losev_Dial_3	Istorich
1	и в	24	25
2	что он	13	22
3	и т	24	20
4	т д	23	18
5	может быть	13	17
6	т е	48	16
7	не только	23	13
8	но и	9	13
9	в его	2	12
10	и не	27	11
11	уже не	5	11
12	так как	6	11
13	все же	3	10
14	в этом	8	10
15	тем что	3	10
16	с другой	4	9
17	и его	5	9
18	таким образом	13	9
19	в виде	8	9
20	что в	7	8
21	мы знаем	3	8
22	том что	8	8
23	еще не	2	8
24	другой стороны	2	8
25	все эти	3	8
26	и что	15	8
27	и на	3	8
28	в частности	2	7
29	как и	7	7
30	но это	5	7
31	то что	14	7
32	в мифе	13	7
33	одной стороны	3	7
34	в нем	3	7
35	при помощи	3	7
36	с одной	3	7
37	превращается в	6	7
38	потому что	7	7
39	и здесь	2	7
40	только в	5	7
41	о том	6	7
42	это не	4	6
43	прежде всего	8	6
44	что и	6	6
45	себя в	2	6
46	на небо	2	6
47	не может	19	6
48	и он	2	6
49	не в	3	6
50	или в	2	6
51	могут быть	2	6
52	в том	5	6
53	что это	12	5
54	ясно что	7	5
55	с этим	3	5
56	показывает что	2	5
57	как мы	2	5
58	для нас	2	5
59	но не	2	5
60	например в	2	5
61	в ней	2	5
62	так же	4	5
63	миф о	3	5
64	мы не	5	5
65	не менее	11	4
66	если не	3	4
67	что у	2	4
68	что все	14	4
69	все еще	2	4
70	и тем	2	4
71	тем не	10	4
72	мы уже	3	4
73	же как	2	4
74	из себя	2	4
75	а именно	2	4
76	все это	6	4
77	то же	6	4
78	в истории	4	4
79	его на	2	4
80	он не	5	4
81	и это	4	4
82	же можно	2	4
83	никогда не	7	3
84	и как	8	3
85	и все	6	3
86	что его	5	3
87	в то	5	3
88	и пр	6	3
89	о нем	4	3
90	на себя	3	3
91	то это	9	3
92	по которому	2	3
93	на этом	2	3
94	в особенности	7	3
95	и она	2	3
96	для того	3	3
97	к нему	3	3
98	друг друга	3	3
99	его не	2	3
100	а в	2	3
101	в данном	2	3
102	их в	2	3
103	и с	6	3
104	это же	3	3
105	они не	2	3
106	никто не	2	3
107	и вообще	2	3
108	в жертву	2	3
109	или же	3	3
110	е в	4	3
111	чтобы она	2	2
112	перед нами	3	2
113	уже и	3	2
114	у него	2	2
115	из нее	2	2
116	на них	2	2
117	только тогда	3	2
118	тогда когда	5	2
119	вовсе не	13	2
120	вопрос о	5	2
121	по себе	20	2
122	меня в	2	2
123	на то	3	2
124	так что	8	2
125	об этом	6	2
126	же в	2	2
127	с этой	5	2
128	по существу	2	2
129	что миф	7	2
130	мы и	4	2
131	одна из	3	2
132	это значит	24	2
133	она не	3	2
134	жизни и	5	2
135	несмотря на	2	2
136	если бы	6	2
137	из которых	3	2
138	что знание	3	2
139	как таковое	3	2
140	от себя	4	2
141	но для	2	2
142	как бы	3	2
143	и потому	2	2
144	из двух	3	2
145	этого мы	2	2
146	ее в	2	2
147	со стороны	2	2
148	говорит о	4	2
149	совершенно не	2	2
150	и для	2	2
151	этого мифа	2	2
152	и они	2	2
153	также не	3	2
154	самом деле	6	2
155	а не	26	2
156	того что	12	2
157	и по	2	2
158	что этот	2	2
159	так в	2	2
160	то в	2	2
161	сказать что	4	2
162	точки зрения	25	2
163	во всем	3	2
164	что мы	8	2
165	из них	3	2
166	и этим	3	2
167	а если	3	2
168	ничего не	17	2
169	значит что	24	2
170	это было	3	2
