N	2gram	Vygotskiy__5	DiskursI
1	в себе	5	19
2	при этом	8	17
3	состоит в	3	16
4	в качестве	2	16
5	и в	30	16
6	может быть	11	16
7	как и	6	16
8	в этом	14	16
9	и не	6	15
10	а не	8	14
11	в частности	4	12
12	в отличие	2	12
13	отличие от	2	12
14	то есть	13	12
15	но и	6	11
16	но в	5	11
17	том что	21	10
18	не только	16	10
19	со стороны	3	10
20	так и	3	9
21	не может	9	9
22	в том	27	8
23	как в	3	8
24	прежде всего	4	7
25	в нем	7	7
26	ни в	3	7
27	но не	7	7
28	в данном	3	7
29	с его	2	6
30	еще не	5	6
31	все же	7	6
32	в своей	4	6
33	данном случае	3	6
34	то же	7	6
35	в своих	5	6
36	в противоположность	2	5
37	а с	5	5
38	что в	24	5
39	в своем	6	5
40	с другой	9	5
41	для него	3	5
42	героя в	3	5
43	то что	37	5
44	и на	3	5
45	в то	2	5
46	в одном	2	4
47	к этому	3	4
48	одной стороны	12	4
49	как бы	19	4
50	по отношению	2	4
51	этом отношении	3	4
52	с одной	12	4
53	человека в	3	4
54	в рассказе	2	4
55	потому что	23	4
56	в основе	7	4
57	точки зрения	7	4
58	в этой	5	4
59	и то	9	4
60	о том	10	4
61	не является	2	4
62	перед нами	2	3
63	могут быть	8	3
64	в этих	3	3
65	в них	4	3
66	это не	3	3
67	из этих	3	3
68	и все	4	3
69	или иной	2	3
70	и того	2	3
71	и как	7	3
72	не в	8	3
73	можно сказать	2	3
74	мысль о	4	3
75	он не	3	3
76	той или	2	3
77	в его	4	3
78	из двух	3	3
79	еще в	2	3
80	в котором	2	3
81	из них	2	3
82	жизни и	6	3
83	но она	2	3
84	приводит к	2	3
85	все эти	2	3
86	и наконец	3	3
87	как на	11	3
88	и его	6	3
89	в басне	2	3
90	одного и	2	3
91	в другом	3	3
92	не знает	2	3
93	как будто	6	3
94	только в	5	3
95	что ни	3	2
96	как все	2	2
97	же как	2	2
98	никогда не	9	2
99	в целом	5	2
100	это в	3	2
101	этом случае	2	2
102	с таким	2	2
103	стороны и	4	2
104	что на	3	2
105	на первый	2	2
106	в той	3	2
107	что он	17	2
108	всякий раз	2	2
109	времени и	3	2
110	того же	2	2
111	должна быть	2	2
112	одно и	3	2
113	о чем	4	2
114	со своим	2	2
115	в ней	4	2
116	отношения между	2	2
117	не с	2	2
118	что и	3	2
119	с точки	2	2
120	с той	2	2
121	вместе с	12	2
122	заключает в	4	2
123	действие и	3	2
124	именно в	6	2
125	чем не	2	2
126	по преимуществу	2	2
127	в себя	2	2
128	сводится к	5	2
129	все это	2	2
130	другой стороны	5	2
131	и для	6	2
132	должно быть	2	2
133	а в	4	2
134	той же	3	2
135	повести белкина	2	2
136	в результате	4	2
137	и с	2	2
138	и это	8	2
139	дело в	2	2
140	на примере	4	2
141	мы имеем	8	2
