N	2gram	Nazirov_Vr_1	Myslijsy
1	и в	8	39
2	может быть	4	27
3	в том	3	26
4	что в	7	22
5	не может	2	22
6	не только	9	21
7	в нем	6	20
8	но и	7	20
9	и не	5	18
10	том что	3	16
11	в этом	8	15
12	в себе	2	13
13	таким образом	2	13
14	то что	7	10
15	и что	8	10
16	для нас	4	9
17	как и	6	9
18	там же	2	9
19	тем что	3	9
20	но в	6	9
21	вместе с	2	8
22	точки зрения	2	8
23	в ней	4	7
24	в истории	4	7
25	это не	4	7
26	не менее	2	6
27	и как	3	6
28	еще не	2	6
29	как бы	4	6
30	все же	6	6
31	то же	5	6
32	при этом	4	6
33	несмотря на	4	5
34	но это	2	5
35	в его	3	5
36	так же	4	5
37	а в	2	5
38	и его	3	5
39	между тем	5	5
40	никогда не	2	4
41	с нею	2	4
42	в свою	2	4
43	же время	5	4
44	для него	2	4
45	в своих	4	4
46	не было	5	4
47	и даже	6	4
48	в то	5	4
49	в них	2	3
50	столь же	2	3
51	и во	3	3
52	и это	2	3
53	в этой	2	3
54	в своем	3	3
55	в своей	2	3
56	в мире	2	3
57	связи с	3	3
58	по мнению	2	3
59	не мог	2	3
60	с ним	4	3
61	в глазах	2	3
62	и то	2	3
63	он не	3	3
64	с точки	2	3
65	и все	7	3
66	и с	6	3
67	но как	2	3
68	но он	3	2
69	на то	3	2
70	же в	2	2
71	уже не	2	2
72	после этого	2	2
73	и о	3	2
74	одним из	3	2
75	в виду	4	2
76	его с	2	2
77	что к	2	2
78	тем более	2	2
79	тогда как	2	2
80	том же	2	2
81	к ним	2	2
82	в начале	6	2
83	его на	2	2
84	о том	4	2
85	при помощи	2	2
86	б и	2	2
