N	2gram	Berdyaev_M_1	Narrotol
1	не только	29	32
2	может быть	30	25
3	но и	25	23
4	и не	11	20
5	и в	28	19
6	то есть	3	19
7	в том	6	18
8	в этом	20	17
9	том что	3	14
10	не в	16	14
11	а не	25	12
12	то что	5	11
13	а в	4	11
14	не может	28	10
15	точки зрения	4	10
16	в его	9	9
17	в мире	10	9
18	в себе	7	8
19	как и	5	7
20	к тому	3	7
21	все же	2	7
22	как в	2	7
23	по отношению	2	7
24	с его	3	6
25	что он	10	6
26	отношению к	2	6
27	но не	8	6
28	в той	2	6
29	на протяжении	2	6
30	о том	2	6
31	но в	7	6
32	и как	2	5
33	себя в	3	5
34	не все	2	5
35	уже не	4	5
36	к нему	7	5
37	и его	9	5
38	в основе	2	5
39	в этой	6	5
40	за собой	2	4
41	прежде всего	10	4
42	в нем	13	4
43	у него	17	4
44	было бы	10	4
45	как бы	2	4
46	о нем	2	4
47	хотя бы	3	4
48	отличается от	2	4
49	не мог	3	4
50	сказать что	2	4
51	только в	6	4
52	и с	3	4
53	не существует	2	3
54	жизни в	2	3
55	что в	10	3
56	могут быть	2	3
57	никогда не	14	3
58	уже в	4	3
59	в свою	2	3
60	это и	4	3
61	может не	2	3
62	на том	3	3
63	в ней	15	3
64	он не	24	3
65	мог бы	4	3
66	один из	4	3
67	не есть	9	3
68	жизни и	2	3
69	когда он	3	3
70	в ее	3	3
71	особенно в	3	3
72	истории в	2	3
73	и он	12	3
74	и на	6	3
75	будто бы	3	3
76	тем что	4	3
77	по своей	2	3
78	в то	2	3
79	как будто	2	3
80	бы не	2	2
81	он сам	6	2
82	должна быть	6	2
83	себя и	3	2
84	в своем	10	2
85	не как	4	2
86	быть может	7	2
87	личности в	2	2
88	она может	2	2
89	различие между	2	2
90	его как	2	2
91	его личности	3	2
92	о своей	2	2
93	для него	11	2
94	она не	4	2
95	он уже	6	2
96	и когда	2	2
97	и потому	10	2
98	нет и	5	2
99	не имеет	3	2
100	нет у	3	2
101	в самую	5	2
102	приводит к	2	2
103	отношение к	4	2
104	отношения к	4	2
105	не было	18	2
106	все эти	2	2
107	человека в	13	2
108	одним из	2	2
109	и для	2	2
110	это не	5	2
111	в иной	3	2
112	одно из	3	2
113	и все	10	2
114	его в	3	2
115	когда мы	2	2
116	мира и	5	2
117	ничего не	3	2
118	истории и	2	2
119	о чем	2	2
