N	2gram	Medvedev_F_3	Analitik
1	в этом	18	18
2	и в	27	16
3	не только	9	16
4	литературного произведения	4	16
5	так и	21	15
6	как и	14	14
7	в том	7	12
8	но и	10	12
9	и не	30	12
10	том что	4	12
11	могут быть	4	10
12	как бы	8	10
13	при этом	8	10
14	а не	17	10
15	в пределах	8	9
16	лишь в	9	9
17	и даже	2	9
18	в этой	2	9
19	ничего не	2	9
20	в данном	6	8
21	отнюдь не	8	8
22	в целом	4	8
23	к тому	4	7
24	в себе	3	7
25	то что	8	7
26	о том	4	7
27	с другой	6	6
28	в самом	11	6
29	и на	3	6
30	говорить о	2	6
31	может быть	25	6
32	как это	4	6
33	но в	6	6
34	в сторону	2	5
35	как система	2	5
36	произведения в	6	5
37	данном случае	4	5
38	не менее	7	4
39	только не	2	4
40	в своем	2	4
41	столь же	3	4
42	в конце	3	4
43	можно сказать	3	4
44	уже не	3	4
45	не в	12	4
46	за пределы	2	4
47	но не	5	4
48	того же	3	4
49	в сущности	2	4
50	имеет место	3	4
51	совпадает с	2	4
52	и является	4	4
53	внутренней речи	2	4
54	и тем	3	4
55	отношению к	3	4
56	во всех	3	4
57	как в	4	4
58	все это	7	4
59	как раз	8	4
60	по отношению	3	4
61	не может	24	4
62	на этом	2	4
63	и его	19	4
64	то же	15	4
65	точки зрения	16	4
66	только в	8	4
67	место в	10	3
68	никогда не	5	3
69	как о	2	3
70	на фоне	3	3
71	прежде всего	4	3
72	или иной	2	3
73	этого слова	2	3
74	одной из	2	3
75	тем не	2	3
76	его от	2	3
77	было бы	6	3
78	в действительности	9	3
79	что и	2	3
80	проявляется в	2	3
81	из них	2	3
82	со стороны	4	3
83	только на	4	3
84	если бы	12	3
85	этом отношении	3	3
86	литературное произведение	3	3
87	как мы	8	3
88	тому как	5	3
89	в результате	5	3
90	случае в	3	3
91	тем что	5	3
92	подобно тому	4	3
93	сводится к	5	3
94	романа в	3	3
95	бы в	6	3
96	в эту	2	3
97	и все	8	3
98	в общем	2	2
99	художественного произведения	7	2
100	того что	3	2
101	была бы	2	2
102	вообще не	2	2
103	и иной	2	2
104	этом смысле	2	2
105	к этому	2	2
106	вовсе не	28	2
107	художественного восприятия	2	2
108	вследствие этого	3	2
109	из своих	2	2
110	по себе	4	2
111	он был	4	2
112	отличие от	2	2
113	превращается в	2	2
114	же время	7	2
115	что в	8	2
116	она не	4	2
117	еще не	6	2
118	в своей	6	2
119	ни с	2	2
120	не о	3	2
121	еще в	3	2
122	в котором	2	2
123	даже в	2	2
124	не есть	4	2
125	с ее	2	2
126	и их	5	2
127	в отличие	2	2
128	вместе с	6	2
129	дело не	2	2
130	что она	2	2
131	жизнью и	2	2
132	другой стороны	5	2
133	в нас	2	2
134	отношения к	2	2
135	таким образом	18	2
136	той же	3	2
137	т е	32	2
138	те же	3	2
139	но эта	2	2
140	художественная реальность	2	2
141	или точнее	2	2
142	и для	6	2
143	с точки	14	2
144	высказывания и	5	2
145	так же	9	2
146	роль в	4	2
147	в таком	2	2
148	не следует	3	2
149	никак не	3	2
150	между тем	7	2
151	и во	2	2
152	одну из	2	2
153	он и	3	2
154	к его	3	2
155	на протяжении	2	2
156	это только	2	2
157	в то	7	2
158	в его	7	2
159	в поэзии	3	2
160	его в	7	2
161	же является	2	2
162	в этих	3	2
163	в произведении	3	2
164	сказать что	3	2
165	произведения как	6	2
