N	2gram	Ircho_Kome_2	Problema
1	и в	26	30
2	в своей	3	22
3	то что	6	18
4	н э	7	18
5	не только	7	18
6	том что	9	17
7	в этом	10	17
8	но и	10	13
9	таким образом	6	13
10	потому что	6	13
11	в том	11	12
12	в его	4	12
13	и не	14	12
14	в н	5	12
15	о том	6	12
16	в своем	6	11
17	у него	4	11
18	так что	5	11
19	для нас	3	10
20	точки зрения	4	10
21	в этой	3	10
22	все же	4	9
23	но в	3	9
24	только в	4	9
25	и все	2	9
26	в конце	2	8
27	вовсе не	2	8
28	хотя и	4	8
29	что он	5	7
30	как и	4	7
31	связи с	3	7
32	но не	3	7
33	может быть	11	7
34	вместе с	9	7
35	так и	12	7
36	до нас	4	7
37	в связи	3	7
38	мы находим	2	7
39	не в	2	7
40	с другой	2	6
41	прежде всего	4	6
42	и для	4	6
43	как бы	2	6
44	в нем	6	6
45	что и	7	6
46	тут же	2	6
47	и что	2	6
48	а в	3	6
49	и его	12	6
50	и на	7	6
51	его в	4	6
52	так как	4	6
53	не менее	4	5
54	с тем	5	5
55	что в	9	5
56	что у	4	5
57	в которой	5	5
58	v в	14	5
59	в силу	2	5
60	в самом	4	5
61	и их	3	5
62	еще в	4	5
63	не может	3	5
64	и у	2	5
65	того как	3	5
66	и с	5	5
67	мы можем	3	5
68	если не	2	4
69	в частности	4	4
70	отнюдь не	2	4
71	нового времени	2	4
72	ни в	5	4
73	ясно что	8	4
74	об этом	2	4
75	но все	3	4
76	того же	3	4
77	было бы	8	4
78	и сам	3	4
79	в качестве	5	4
80	iii в	6	4
81	iv в	34	4
82	в период	3	4
83	и к	2	4
84	или в	3	4
85	под названием	2	4
86	в то	6	4
87	из этого	2	4
88	едва ли	14	4
89	же не	2	4
90	в самой	3	3
91	все время	2	3
92	и другие	2	3
93	однако в	2	3
94	еще более	2	3
95	в духе	2	3
96	не всегда	2	3
97	же в	4	3
98	в ее	2	3
99	что его	3	3
100	не столь	2	3
101	в начале	4	3
102	тот же	2	3
103	то время	3	3
104	как будто	4	3
105	после того	2	3
106	еще не	6	3
107	одной стороны	2	3
108	для того	5	3
109	он не	2	3
110	в до	2	3
111	с одной	2	3
112	к нему	3	3
113	в других	2	3
114	время как	2	3
115	и после	2	3
116	от этого	2	3
117	в ней	3	3
118	что касается	3	3
119	этом смысле	2	3
120	в одном	2	3
121	в виду	2	3
122	мира в	4	3
123	в них	4	2
124	том числе	3	2
125	в какой	2	2
126	по всему	3	2
127	хотя бы	2	2
128	как в	3	2
129	это не	2	2
130	с этой	3	2
131	уже в	4	2
132	за то	4	2
133	один из	5	2
134	представление о	2	2
135	к этому	5	2
136	и был	2	2
137	что именно	2	2
138	здесь в	3	2
139	к тому	12	2
140	то же	3	2
141	как мы	4	2
142	он был	2	2
143	да и	3	2
144	ли не	7	2
145	в античной	2	2
146	до сих	2	2
147	по поводу	3	2
148	в это	2	2
149	жизни и	3	2
150	мы имеем	2	2
151	вслед за	2	2
152	всяком случае	2	2
153	в котором	3	2
154	ii в	4	2
155	отношению к	3	2
156	бы то	2	2
157	из них	7	2
158	и за	2	2
159	наряду с	6	2
160	в середине	4	2
161	отношение к	2	2
162	при всем	3	2
163	по отношению	3	2
164	то ни	2	2
165	мы не	2	2
166	того чтобы	6	2
167	можно было	4	2
168	во всяком	2	2
169	больше чем	5	2
170	между тем	4	2
171	тем что	3	2
172	в одной	2	2
173	это время	3	2
174	сих пор	2	2
