N	3gram	Bakhtin_Pr_4	formyVre
1	то же время	5	9
2	как мы уже	2	8
3	в то же	5	6
4	в конце романа	2	5
5	и в других	2	4
6	в том числе	4	4
7	к себе самому	3	4
8	до сих пор	8	3
9	с самим собою	3	3
10	по отношению к	5	3
11	не может быть	8	3
12	друг на друга	2	2
13	мы уже сказали	2	2
14	той или иной	2	2
15	с точки зрения	9	2
16	как и в	3	2
17	в этом романе	2	2
18	том числе и	3	2
19	дело в том	2	2
20	в отличие от	3	2
21	как если бы	2	2
22	как раз и	3	2
23	с самим собой	2	2
24	и в сущности	2	2
25	здесь не место	2	2
26	в том что	2	2
27	но и в	2	2
28	в строгом смысле	2	2
