N	2gram	Losev_Prob_3	StatiiOP
1	и в	44	25
2	в этом	17	24
3	у пушкина	6	22
4	в том	21	20
5	что в	8	19
6	что он	9	19
7	может быть	28	19
8	тем что	4	19
9	что это	3	16
10	том что	12	15
11	в этой	3	14
12	в его	9	12
13	то что	23	12
14	не только	14	12
15	в этих	2	11
16	так что	12	11
17	прежде всего	3	10
18	таким образом	9	10
19	и не	35	10
20	но и	10	9
21	и т	13	8
22	все это	5	8
23	о том	6	8
24	это было	2	8
25	это не	9	7
26	было бы	8	7
27	с этим	2	7
28	не может	7	7
29	что такое	3	7
30	точки зрения	5	7
31	в то	9	7
32	в конце	5	6
33	не в	13	6
34	только в	19	6
35	пушкина и	3	6
36	как бы	9	6
37	как в	5	6
38	как на	2	6
39	а в	5	6
40	то же	13	5
41	потому что	25	5
42	с другой	7	5
43	на то	3	5
44	ни в	8	5
45	об этом	3	5
46	такого рода	6	5
47	в котором	2	5
48	и это	9	5
49	а не	18	5
50	того что	8	5
51	другой стороны	5	5
52	он не	8	5
53	так и	10	5
54	мы имеем	2	5
55	но в	12	5
56	с тем	5	4
57	всяком случае	6	4
58	по крайней	5	4
59	это в	2	4
60	а как	2	4
61	крайней мере	5	4
62	у нас	10	4
63	как и	10	4
64	это есть	3	4
65	но это	8	4
66	в начале	2	4
67	то в	3	4
68	что здесь	5	4
69	в качестве	3	4
70	можно сказать	6	4
71	если бы	3	4
72	и к	6	4
73	в ней	5	4
74	а также	4	4
75	и тем	9	4
76	в своей	5	4
77	в целом	6	4
78	из этого	3	4
79	отличается от	4	4
80	не было	5	4
81	из которых	2	4
82	с точки	2	4
83	в чем	4	4
84	и для	2	4
85	и с	9	4
86	время как	4	4
87	сказать что	16	4
88	во всяком	9	4
89	в каком	4	4
90	все же	6	4
91	в которой	2	4
92	то время	4	4
93	ничего не	3	4
94	что все	2	3
95	уже в	3	3
96	и более	2	3
97	все они	2	3
98	тому что	4	3
99	нельзя сказать	2	3
100	в стихотворении	2	3
101	и здесь	5	3
102	всех этих	2	3
103	его как	3	3
104	с этой	3	3
105	для него	3	3
106	тем более	3	3
107	и что	7	3
108	кроме того	3	3
109	и если	6	3
110	между прочим	2	3
111	о которых	3	3
112	конце концов	3	3
113	все эти	7	3
114	нет никакого	4	3
115	не является	11	3
116	в их	2	3
117	как раз	8	3
118	в связи	7	3
119	по мнению	2	3
120	уже не	7	3
121	что мы	8	3
122	не так	3	3
123	другое дело	2	3
124	и его	5	3
125	что для	3	3
126	в виде	6	3
127	говорить о	3	3
128	в другом	2	3
129	связи с	8	3
130	так как	9	3
131	а с	2	2
132	не был	2	2
133	скупой рыцарь	2	2
134	при помощи	8	2
135	за себя	2	2
136	i и	2	2
137	не менее	10	2
138	для его	3	2
139	никогда не	6	2
140	для этого	6	2
141	и у	2	2
142	что у	3	2
143	как о	5	2
144	не столько	2	2
145	и во	2	2
146	но также	2	2
147	вовсе не	37	2
148	и ее	3	2
149	значит и	3	2
150	или иной	8	2
151	к тому	3	2
152	как мы	8	2
153	на котором	2	2
154	без всякого	3	2
155	но все	3	2
156	что они	5	2
157	есть в	3	2
158	но не	3	2
159	а то	3	2
160	того же	2	2
161	до сих	2	2
162	только тогда	2	2
163	еще не	5	2
164	и может	2	2
165	это за	3	2
166	в самом	3	2
167	во всех	2	2
168	нас к	2	2
169	слова как	2	2
170	в виду	10	2
171	на себе	3	2
172	и такие	3	2
173	гораздо более	5	2
174	тем не	10	2
175	каждый раз	3	2
176	и за	2	2
177	вместе с	2	2
178	дело не	2	2
179	сих пор	2	2
180	и тогда	3	2
181	только что	2	2
182	нас не	5	2
183	и только	6	2
184	в отношении	2	2
185	т д	13	2
186	с ее	2	2
187	эту вещь	2	2
188	с одной	2	2
189	не просто	23	2
190	от того	2	2
191	мы находим	7	2
192	этого термина	2	2
193	заключается в	4	2
194	самом деле	3	2
195	произведения и	2	2
196	и по	2	2
197	и всегда	2	2
198	его не	2	2
199	мы не	7	2
200	или в	4	2
201	между собою	2	2
202	в которых	3	2
203	то он	2	2
204	в результате	2	2
205	то и	5	2
206	ни на	3	2
207	могут быть	2	2
208	он и	2	2
209	но как	4	2
210	этого слова	5	2
211	жизни но	2	2
212	том смысле	3	2
213	здесь только	7	2
214	и ни	3	2
215	с которыми	2	2
216	не имеет	9	2
217	то есть	34	2
