N	2gram	Berdyaev_M_1	VelikijI
1	великого инквизитора	5	36
2	во имя	10	32
3	и не	11	20
4	и в	28	16
5	свободы и	10	12
6	то что	5	9
7	так как	3	9
8	в истории	2	8
9	к богу	3	8
10	и потому	10	7
11	на земле	2	7
12	а не	25	7
13	свободной любви	4	6
14	человека и	14	6
15	не есть	9	6
16	бога и	10	5
17	в мире	10	5
18	как бы	2	5
19	великом инквизиторе	5	5
20	но и	25	5
21	все это	6	5
22	что есть	5	5
23	того что	7	5
24	в боге	3	5
25	о великом	4	4
26	и есть	14	4
27	нет у	3	4
28	и я	5	4
29	что он	10	4
30	в нем	13	4
31	как и	5	4
32	свободы совести	3	4
33	все что	2	4
34	мира сего	2	4
35	в котором	8	4
36	против бога	4	4
37	добра и	5	4
38	потому что	16	4
39	в этом	20	4
40	в ней	15	4
41	и все	10	4
42	в его	9	4
43	любовь к	2	3
44	с его	3	3
45	всемирной истории	2	3
46	должна быть	6	3
47	что в	10	3
48	в этих	4	3
49	в них	4	3
50	христос не	2	3
51	в конце	7	3
52	в жизни	3	3
53	в том	6	3
54	не в	16	3
55	христа в	5	3
56	и мы	2	3
57	к тому	3	3
58	этого мира	3	3
59	никогда не	14	3
60	во христе	5	3
61	что и	4	3
62	жизни и	2	3
63	в своей	15	3
64	бы и	3	3
65	не было	18	3
66	лишь в	6	3
67	и что	2	3
68	к чему	2	3
69	не имеет	3	3
70	хотя бы	3	3
71	и для	2	3
72	должно быть	3	3
73	от этого	2	3
74	все эти	2	3
75	нет ничего	7	3
76	но в	7	3
77	уж конечно	2	2
78	не могут	5	2
79	с тем	9	2
80	божественной жизни	2	2
81	человека как	2	2
82	это не	5	2
83	прежде всего	10	2
84	от свободы	2	2
85	и свободы	4	2
86	есть уже	4	2
87	для нас	3	2
88	том что	3	2
89	от него	4	2
90	но не	8	2
91	не к	4	2
92	конечно не	3	2
93	для него	11	2
94	для них	3	2
95	того чтобы	2	2
96	ивана карамазова	7	2
97	и во	2	2
98	свободе и	4	2
99	не только	29	2
100	нет и	5	2
101	один из	4	2
102	на том	3	2
103	и зла	5	2
104	не хотел	3	2
105	всего в	2	2
106	в бога	2	2
107	те которые	9	2
108	истории и	2	2
109	тем что	4	2
110	уже не	4	2
111	не так	3	2
112	для человека	3	2
113	его не	3	2
114	а в	4	2
115	в человека	4	2
116	с ним	2	2
117	духа и	4	2
118	людей и	2	2
119	могут быть	2	2
120	вера в	3	2
121	самого себя	2	2
122	о свободе	18	2
123	только в	6	2
124	и это	12	2
