N	2gram	Nazirov_Vr_1	Problema
1	в его	3	43
2	и не	5	42
3	и в	8	38
4	не может	2	27
5	может быть	4	26
6	как бы	4	22
7	отнюдь не	2	19
8	и с	6	17
9	и его	3	16
10	в нем	6	15
11	в этом	8	15
12	отношение к	2	10
13	таким образом	2	10
14	но и	7	9
15	его в	3	9
16	не только	9	9
17	место в	2	8
18	в том	3	8
19	и как	3	8
20	точки зрения	2	8
21	то что	7	8
22	что в	7	7
23	между тем	5	7
24	как и	6	7
25	еще не	2	7
26	в своей	2	7
27	а в	2	6
28	на основе	2	6
29	все же	6	6
30	с точки	2	6
31	отношения к	2	6
32	то же	5	5
33	в своем	3	5
34	это не	4	5
35	при этом	4	5
36	никогда не	2	5
37	рядом с	2	5
38	далеко не	3	5
39	с ним	4	5
40	в них	2	5
41	и о	3	5
42	не менее	2	4
43	в ней	4	4
44	в виду	4	4
45	в то	5	4
46	о том	4	4
47	но в	6	4
48	в романе	6	4
49	в себе	2	4
50	но это	2	3
51	же время	5	3
52	несмотря на	4	3
53	все это	4	3
54	и даже	6	3
55	и все	7	3
56	том что	3	3
57	он не	3	3
58	в мире	2	3
59	и это	2	3
60	я не	3	2
61	столь же	2	2
62	на то	3	2
63	в нашей	2	2
64	в свою	2	2
65	и у	3	2
66	в котором	6	2
67	в связи	3	2
68	не было	5	2
69	и что	8	2
70	в своих	4	2
71	к себе	2	2
72	но как	2	2
73	в начале	6	2
74	в истории	4	2
75	в россии	5	2
76	в него	2	2
77	с его	3	2
78	и во	3	2
79	к этому	3	2
80	на первый	2	2
81	что он	4	2
82	этот момент	2	2
83	связи с	3	2
84	одна из	2	2
85	том же	2	2
86	человека в	3	2
87	и он	2	2
88	тем что	3	2
89	и ее	2	2
90	в чем	3	2
