N	2gram	Voloshinov_2	NovoeSre
1	а не	9	17
2	не может	18	16
3	и в	19	16
4	и не	19	11
5	что в	2	9
6	жизни и	2	8
7	он не	3	8
8	в том	7	8
9	не будет	3	7
10	как и	9	7
11	в этом	15	7
12	может быть	28	7
13	с его	8	6
14	никогда не	7	6
15	в высшей	3	6
16	не знает	2	6
17	не в	10	6
18	высшей степени	3	6
19	лишь в	14	6
20	ни в	6	6
21	должен быть	2	5
22	в нем	11	5
23	в жизни	2	5
24	xix века	2	5
25	в ней	3	5
26	не только	13	5
27	то что	4	4
28	это не	4	4
29	и все	6	4
30	не было	3	4
31	не имеет	3	4
32	и для	7	4
33	должно быть	3	4
34	прежде всего	7	4
35	о том	3	4
36	и потому	2	4
37	но и	10	3
38	не есть	3	3
39	не существует	3	3
40	должна быть	4	3
41	в своей	3	3
42	в истории	3	3
43	с другой	3	3
44	вопрос о	2	3
45	стремится к	2	3
46	во всех	6	3
47	и пр	25	3
48	к тому	6	3
49	в ее	3	3
50	в основе	9	3
51	смысле слова	5	3
52	конечно не	4	3
53	еще не	3	3
54	за пределы	3	3
55	сказать что	4	3
56	это было	2	3
57	на протяжении	2	2
58	все время	2	2
59	каждого человека	2	2
60	себя в	2	2
61	нем нет	2	2
62	место в	2	2
63	у него	2	2
64	вместе с	2	2
65	бытия в	2	2
66	так и	10	2
67	мысли и	3	2
68	и формы	3	2
69	и т.п	10	2
70	формы и	2	2
71	и от	3	2
72	а в	3	2
73	с одной	3	2
74	все эти	3	2
75	того чтобы	6	2
76	одной стороны	3	2
77	и даже	2	2
78	хотя бы	6	2
79	но не	2	2
80	так же	5	2
81	мы не	2	2
82	том что	10	2
83	в смысле	6	2
84	связана с	2	2
85	в русском	4	2
86	одна из	7	2
87	и с	2	2
88	могут быть	3	2
89	с этим	3	2
90	и на	5	2
91	не к	3	2
92	в себе	4	2
93	ли это	2	2
94	в то	8	2
95	и это	3	2
96	не имеют	3	2
97	но для	2	2
98	но в	7	2
