N	3gram	Medvedev_F_3	Psycholo
1	в том что	3	17
2	для того чтобы	4	13
3	в самом деле	4	11
4	с точки зрения	14	10
5	не может быть	14	8
6	и т п	5	8
7	то же самое	3	6
8	в художественном произведении	3	5
9	в этом отношении	3	5
10	на самом деле	12	5
11	в данном случае	4	4
12	тем не менее	2	4
13	сами по себе	2	3
14	в конце концов	2	3
15	и не может	4	2
16	то же время	7	2
17	и те же	3	2
18	к тому что	2	2
19	бы то ни	4	2
20	во всяком случае	6	2
21	подобно тому как	4	2
22	в то же	7	2
23	и т д	6	2
24	одни и те	3	2
25	с другой стороны	5	2
26	то же что	2	2
