N	2gram	Bakhtin_Pr_1	Dialekti
1	не есть	6	54
2	и не	42	27
3	а не	5	26
4	точки зрения	8	25
5	и в	38	24
6	и т	14	24
7	не только	9	23
8	не может	27	19
9	ничего не	6	17
10	и есть	2	16
11	и что	2	15
12	что все	2	14
13	в таком	3	14
14	то что	8	14
15	с точки	6	14
16	может быть	26	13
17	таким образом	10	13
18	и даже	3	13
19	что он	2	13
20	вовсе не	2	13
21	что это	2	12
22	того что	2	12
23	есть только	2	12
24	не менее	4	11
25	не имеет	9	11
26	тем не	3	10
27	отнюдь не	19	10
28	ни в	11	9
29	но и	9	9
30	есть не	2	9
31	прежде всего	13	8
32	и как	8	8
33	отличается от	2	8
34	том что	3	8
35	в этом	15	8
36	в виде	2	8
37	что в	7	7
38	никогда не	5	7
39	в самом	7	7
40	другими словами	2	7
41	в особенности	2	7
42	что оно	2	7
43	в виду	4	7
44	ясно что	3	7
45	как и	7	7
46	я не	2	6
47	должна быть	4	6
48	кроме того	3	6
49	все это	3	6
50	и только	4	6
51	и с	17	6
52	о том	4	6
53	если бы	3	6
54	и все	3	6
55	оно не	3	6
56	что и	2	6
57	не на	5	6
58	то же	5	6
59	самом деле	6	6
60	и пр	2	6
61	в том	8	5
62	но это	3	5
63	ничего нет	2	5
64	только как	6	5
65	хотя и	3	5
66	точка зрения	3	5
67	и его	16	5
68	в то	4	5
69	как это	2	5
70	в них	5	5
71	и к	3	5
72	было бы	8	5
73	он не	3	5
74	так и	5	5
75	что не	4	5
76	только в	13	5
77	с другой	7	4
78	это не	5	4
79	первый план	2	4
80	не могут	2	4
81	или иной	2	4
82	хотя бы	4	4
83	можно только	6	4
84	сказать что	4	4
85	нет и	3	4
86	на первый	2	4
87	у нас	2	4
88	говорить о	3	4
89	в истории	2	4
90	конечно не	5	4
91	я должен	2	4
92	в чем	2	4
93	и это	3	4
94	не было	2	3
95	все же	6	3
96	за пределы	12	3
97	в своем	5	3
98	и от	3	3
99	была бы	2	3
100	можно и	2	3
101	его как	3	3
102	не в	7	3
103	она не	2	3
104	же время	3	3
105	одной стороны	3	3
106	случае не	2	3
107	в основе	5	3
108	есть таким	2	3
109	в нем	15	3
110	не больше	3	3
111	с одной	3	3
112	все эти	5	3
113	того или	2	3
114	должно быть	5	3
115	коем случае	2	3
116	и на	3	3
117	мир в	2	3
118	во всем	2	3
119	себя как	5	3
120	ни к	2	3
121	тем что	2	3
122	он должен	2	3
123	в коем	2	3
124	на то	2	3
125	одна из	2	3
126	движения и	2	3
127	все что	3	3
128	и о	5	3
129	но она	2	3
130	как бы	22	3
131	и прежде	5	3
132	тем самым	4	3
133	для того	2	3
134	из которых	2	3
135	должны быть	4	3
136	раз и	2	3
137	к нему	10	3
138	в слове	3	3
139	и ее	2	3
140	не знает	3	3
141	и этим	6	3
142	в частности	2	2
143	вообще не	7	2
144	следовательно не	2	2
145	как таковой	2	2
146	лишь как	4	2
147	на этом	2	2
148	еще не	7	2
149	не можем	2	2
150	при этом	5	2
151	несмотря на	3	2
152	например в	3	2
153	той или	2	2
154	себя и	3	2
155	не вполне	2	2
156	но совершенно	2	2
157	совершенно не	7	2
158	и тем	3	2
159	и тела	2	2
160	себя самого	4	2
161	не имеют	2	2
162	другой стороны	4	2
163	они не	3	2
164	его не	2	2
165	а в	6	2
166	объект и	4	2
167	быть только	5	2
168	в своих	2	2
169	также и	3	2
170	в ней	4	2
171	и здесь	2	2
172	я нахожу	2	2
173	и потому	4	2
174	слово в	2	2
175	но в	4	2
176	но они	4	2
177	с его	2	2
178	перестает быть	4	2
179	до степени	2	2
180	и во	2	2
181	в их	10	2
182	или иного	2	2
183	начало и	3	2
184	но как	2	2
185	по существу	2	2
186	но не	12	2
187	со всеми	3	2
188	себя в	2	2
189	природы и	3	2
190	на них	3	2
191	бытия в	3	2
192	говорить и	2	2
193	для науки	2	2
194	как мы	7	2
195	и у	2	2
196	и он	2	2
197	и для	11	2
198	событие как	2	2
199	или в	2	2
200	в данном	4	2
201	бы то	3	2
202	могут быть	5	2
203	в себе	4	2
204	и вообще	2	2
205	души и	2	2
206	в его	43	2
207	может и	4	2
