N	2gram	Ircho_Kome_3	RusskieA
1	и в	22	36
2	не только	5	22
3	что в	5	19
4	том что	13	19
5	в том	12	17
6	т е	16	17
7	в и	2	17
8	но и	4	16
9	так как	11	15
10	во время	6	14
11	в этом	8	12
12	в других	3	11
13	это не	2	10
14	как мы	2	10
15	как и	3	10
16	и т	4	10
17	вместе с	9	10
18	и на	2	10
19	потому что	10	10
20	об этом	7	9
21	а в	7	9
22	с тем	4	8
23	состоит в	2	8
24	из них	5	8
25	может быть	6	8
26	один из	3	8
27	е в	2	8
28	о том	8	8
29	как это	5	8
30	что они	2	7
31	что и	8	7
32	так и	4	7
33	между тем	2	7
34	представляют собой	2	7
35	и не	21	6
36	при этом	7	6
37	в них	3	6
38	таким образом	12	6
39	мы не	2	6
40	все это	5	6
41	не имеет	3	6
42	то что	4	6
43	видно что	2	6
44	этом случае	2	5
45	все же	4	5
46	как бы	3	5
47	в течение	3	5
48	в которых	5	5
49	как в	2	5
50	тому что	2	4
51	к этому	6	4
52	к тому	6	4
53	в г	2	4
54	по существу	2	4
55	представляет собой	3	4
56	после этого	2	4
57	еще не	6	4
58	связи с	5	4
59	вплоть до	2	4
60	не совсем	2	4
61	во всех	2	4
62	в их	2	4
63	не может	3	4
64	в связи	4	4
65	и что	6	4
66	тем что	5	4
67	г в	2	4
68	не менее	5	3
69	о чем	7	3
70	в качестве	2	3
71	в своем	8	3
72	но все	4	3
73	в одном	2	3
74	представление о	2	3
75	в свою	7	3
76	и к	3	3
77	тем не	3	3
78	вывод что	2	3
79	совпадают с	4	3
80	несмотря на	4	3
81	к ним	3	3
82	а также	2	3
83	не с	2	3
84	приводит к	3	3
85	то же	7	3
86	в уже	2	3
87	с точки	3	3
88	на этот	3	3
89	так же	4	3
90	ничего не	3	3
91	их в	3	3
92	точки зрения	4	3
93	далеко не	3	3
94	в области	2	3
95	в дом	14	2
96	не было	2	2
97	что ему	2	2
98	до того	2	2
99	в частности	3	2
100	между собой	4	2
101	только для	2	2
102	с этим	3	2
103	в образе	2	2
104	в нем	3	2
105	у него	4	2
106	его от	2	2
107	он был	4	2
108	такое же	2	2
109	так что	6	2
110	в силу	2	2
111	свою очередь	6	2
112	до конца	4	2
113	она не	2	2
114	отнюдь не	4	2
115	чем в	3	2
116	когда он	4	2
117	в ней	4	2
118	должно было	3	2
119	в его	8	2
120	в доме	10	2
121	ii в	2	2
122	и с	4	2
123	в целом	3	2
124	судя по	3	2
125	что она	4	2
126	в какой	3	2
127	а не	4	2
128	для обозначения	2	2
129	и для	4	2
130	после чего	2	2
131	с ним	5	2
132	тут же	4	2
133	в своих	2	2
134	он так	3	2
135	мы можем	3	2
136	хотя и	5	2
137	себя и	2	2
138	к ней	8	2
139	на себя	4	2
140	и здесь	4	2
141	но в	5	2
142	как он	3	2
143	и поэтому	4	2
